"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"1",36.540001,37.369999,36.310001,37.290001,2073300,36.096565
"2",37.34,39.07,37.290001,37.740002,3399200,36.532164
"3",37.549999,37.599998,36.18,36.299999,2622400,35.138248
"4",36.330002,37.099998,36.080002,36.990002,1865100,35.806167
"5",36.849998,37.740002,36.790001,37.720001,1818400,36.512804
"6",38.959999,40.34,38.360001,40.290001,5057100,39.000553
"7",40.32,40.32,39.439999,40,2838400,38.719833
"8",40.110001,40.419998,39.689999,39.959999,2341200,38.681112
"9",40,40.419998,39.889999,40.110001,2928700,38.826313
"10",40.09,40.560001,39.82,40.400002,1612000,39.107033
"11",40.34,40.740002,40,40.240002,1924800,38.952154
"12",40.150002,40.48,39.82,40.209999,2058700,38.923111
"13",40.240002,40.610001,39.709999,40.57,1908900,39.27159
"14",40.43,40.990002,40.25,40.349998,2924600,39.05863
"15",40.43,40.790001,40.279999,40.470001,1504400,39.174792
"16",40.509998,40.880001,40.279999,40.5,1607900,39.203831
"17",40.599998,41.209999,40.509998,40.869999,1723800,39.561988
"18",40.950001,41.82,40.860001,41.759998,1158100,40.423504
"19",41.549999,41.82,41.450001,41.59,1403500,40.258946
"20",41.459999,41.689999,41,41.639999,2582500,40.307345
"21",41.68,42.860001,41.43,41.790001,2651600,40.452546
"22",41.049999,42.049999,40.759998,41.779999,2063300,40.442864
"23",41.610001,41.779999,40.84,41.240002,1802600,39.920149
"24",41.84,42.07,41.459999,41.779999,1381400,40.442864
"25",41.689999,41.939999,40.869999,41.02,1785500,39.707189
"26",41.27,41.720001,41.049999,41.540001,1419400,40.210547
"27",41.639999,42.02,41.119999,41.25,2281000,39.929828
"28",41.720001,43.369999,41.5,42.830002,3991300,41.459263
"29",42.57,43.240002,42.400002,42.849998,2729800,41.47862
"30",42.919998,44.330002,42.509998,44.09,2727400,42.678936
"31",44.52,45.689999,44.09,44.720001,4048100,43.288774
"32",44.77,46.200001,44.77,46.099998,4265400,44.624606
"33",45.860001,46.080002,45.580002,45.68,1493200,44.218049
"34",45.860001,46.549999,45.860001,46.080002,1637900,44.605249
"35",46.060001,46.59,41.880001,43.43,12551200,42.040059
"36",43.880001,44.5,43.09,43.139999,5399000,41.759339
"37",42.950001,43.040001,41.939999,41.970001,2275700,40.626786
"38",41.990002,42.560001,41.060001,41.220001,2468000,39.900789
"39",41.349998,42.119999,41.32,41.689999,2733500,40.355745
"40",41.5,42.02,41.150002,41.330002,1725800,40.007269
"41",41.029999,41.82,40.869999,41.5,1610900,40.171827
"42",41.740002,41.950001,40.849998,40.869999,1210500,39.561988
"43",40.939999,40.939999,40.27,40.700001,1766300,39.397431
"44",40.990002,41.709999,40.700001,41.639999,1496000,40.307345
"45",41.619999,41.630001,40.610001,40.93,1688600,39.620069
"46",41.209999,41.369999,40.419998,41.34,1388500,40.016947
"47",41.490002,41.900002,40.790001,41.830002,2229400,40.491267
"48",41.869999,41.889999,39.400002,39.639999,4259100,38.371354
"49",40.060001,40.740002,39.950001,40.650002,2660200,39.349032
"50",40.799999,41.290001,40.740002,40.880001,2092000,39.57167
"51",40.860001,41.380001,40.060001,41.330002,2297000,40.007269
"52",41.669998,41.73,40.310001,40.490002,4969000,39.194152
"53",43.68,44.5,42.380001,42.900002,8578300,41.527022
"54",43.580002,43.580002,41.880001,42.41,3461100,41.052703
"55",42.439999,42.950001,41.900002,42.77,2403700,41.401182
"56",42.970001,43.110001,42.57,42.990002,1102800,41.614142
"57",42.75,43.200001,42.25,43.169998,1807900,41.788378
"58",42.939999,42.98,42.110001,42.200001,1811600,41.16409
"59",42.290001,43.950001,42.23,43.75,3073200,42.676041
"60",44,44.080002,43.419998,43.529999,1673900,42.46144
"61",43.599998,44.490002,43.540001,44.439999,2270300,43.349102
"62",44.310001,45.25,43.77,45.240002,2771200,44.129467
"63",45.099998,45.41,44.189999,44.279999,1992500,43.193029
"64",44.150002,44.279999,43.060001,43.16,2607100,42.100524
"65",43.43,43.560001,42.75,43.139999,2247600,42.081014
"66",43.060001,43.990002,42.98,43.959999,1941900,42.880885
"67",44.029999,44.400002,43.470001,43.610001,1705400,42.539478
"68",43.580002,43.779999,43.189999,43.509998,1180600,42.441931
"69",43.450001,45.450001,43.290001,44.849998,2744800,43.749037
"70",44.849998,44.959999,43.950001,44.02,2246900,42.939413
"71",44,44.389999,43.52,44.23,1859600,43.144258
"72",44.330002,44.43,43.27,43.380001,2494600,42.315125
"73",43.330002,43.459999,43.02,43.380001,1320300,42.315125
"74",43.349998,43.349998,42.380001,42.380001,1320000,41.339672
"75",42.349998,43.279999,42.110001,43.169998,2118700,42.110277
"76",43.330002,43.68,42.060001,42.060001,2076000,41.027528
"77",42.060001,42.619999,41.669998,42.040001,1597800,41.008018
"78",41.740002,42.369999,41.419998,42.060001,1350000,41.027528
"79",42,42.139999,41.189999,41.200001,2084000,40.188638
"80",41.119999,41.139999,40.279999,40.380001,2326400,39.388767
"81",40.32,41.119999,39.610001,40.880001,2509500,39.876494
"82",41.130001,41.490002,40.439999,40.459999,1854100,39.466802
"83",40.5,40.59,39.549999,39.560001,2483600,38.588897
