"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"1",55.16,55.240002,54.970001,55.119999,660600,53.999481
"2",54.970001,54.970001,54.400002,54.43,594800,53.323509
"3",54.200001,54.200001,53.419998,53.66,685500,52.801985
"4",53.639999,54,53.619999,53.849998,697600,52.988946
"5",53.709999,53.860001,53.450001,53.66,678800,52.801985
"6",53.610001,54.259998,53.599998,54.080002,1090000,53.215271
"7",53.98,54.130001,53.66,53.959999,935700,53.097187
"8",54.02,54.330002,53.91,54.200001,1363500,53.333351
"9",54.25,54.810001,54.209999,54.439999,2063700,53.569512
"10",54.43,54.669998,54.220001,54.599998,855000,53.726953
"11",54.459999,54.860001,54.439999,54.560001,1105300,53.687596
"12",54.400002,55.400002,54.330002,55.290001,1682700,54.405923
"13",55.23,55.25,54.299999,54.669998,2085000,53.795834
"14",54.509998,54.900002,54.389999,54.810001,1394400,53.933598
"15",54.73,54.889999,54.240002,54.740002,1105000,53.864718
"16",54.889999,55.43,54.810001,54.919998,1169100,54.041836
"17",54.799999,55.150002,54.720001,54.93,730400,54.051678
"18",55.009998,55.5,54.91,55.439999,542500,54.553522
"19",55.189999,55.41,55.040001,55.220001,527600,54.337042
"20",55.240002,55.32,54.790001,55.099998,934800,54.218958
"21",55.240002,55.299999,55,55.209999,736500,54.3272
"22",54.709999,55.540001,54.66,55.099998,1126400,54.218958
"23",55.169998,55.630001,54.889999,55.59,1091200,54.701125
"24",55.759998,56.169998,55.630001,56.150002,1235400,55.252172
"25",56.139999,56.57,56.049999,56.52,1470400,55.616255
"26",56.650002,56.860001,56.389999,56.77,2122800,55.862257
"27",56.5,56.880001,56.209999,56.220001,1542600,55.321052
"28",56.330002,56.950001,56.18,56.91,1035600,56.000018
"29",56.669998,56.790001,56.43,56.529999,578800,55.626093
"30",56.73,56.98,56.630001,56.900002,946300,55.99018
"31",56.84,56.880001,56.52,56.580002,605800,55.675297
"32",56.73,56.75,56.439999,56.580002,1019200,55.675297
"33",56.290001,56.75,56.290001,56.59,1027000,55.685135
"34",56.5,56.700001,56.009998,56.560001,1298300,55.655616
"35",56.889999,56.939999,55.560001,56.349998,2102800,55.448971
"36",56.470001,57.07,56.330002,57.02,1742400,56.10826
"37",56.560001,56.779999,56.310001,56.400002,1883300,55.498175
"38",56.110001,56.540001,56.080002,56.099998,1192400,55.202968
"39",56.220001,56.299999,55.700001,55.939999,1274000,55.045527
"40",55.799999,56.18,55.330002,55.419998,1134700,54.533841
"41",55.389999,55.630001,54.970001,55.02,1135200,54.140239
"42",55.169998,55.669998,54.790001,54.860001,1418400,53.982798
"43",54.98,55.279999,54.889999,55.200001,1350400,54.317362
"44",55.450001,55.919998,55.34,55.389999,1088900,54.504322
"45",55.27,55.619999,55.130001,55.25,1048100,54.366561
"46",55.540001,55.990002,55.490002,55.900002,1282100,55.006169
"47",56.009998,56.16,55.849998,55.919998,1081700,55.025846
"48",56.130001,56.360001,55.43,55.799999,1937400,54.907766
"49",56.110001,56.830002,56.099998,56.68,1649700,55.773696
"50",56.720001,57.310001,56.709999,56.91,1714100,56.000018
"51",56.939999,57.220001,56.759998,57.189999,1285000,56.27554
"52",57.200001,57.639999,56.970001,57.32,948100,56.403462
"53",57.189999,57.330002,56.900002,57.139999,624300,56.22634
"54",57.349998,57.650002,57.169998,57.490002,1446900,56.570746
"55",57.5,57.639999,57.27,57.299999,583700,56.383781
"56",57.25,57.34,56.830002,56.98,627700,56.068898
"57",56.799999,57.009998,56.68,56.709999,641100,55.803215
"58",56.599998,56.860001,56.419998,56.75,654800,55.842577
"59",56.91,57.299999,56.689999,57.060001,884500,56.147621
"60",57.150002,57.360001,57,57.27,691800,56.354262
"61",57.5,58.139999,57.360001,57.82,1440900,56.895467
"62",57.759998,58.549999,57.75,58.509998,1370800,57.574433
"63",58.5,58.860001,58.23,58.349998,1540100,57.416991
"64",58.240002,58.360001,57.59,57.66,1536100,56.738026
"65",57.580002,58.16,57.549999,58.049999,1047000,57.121789
"66",57.759998,57.889999,57.360001,57.490002,1605300,56.570746
"67",57.439999,57.5,56.759998,57.02,1084400,56.343474
"68",57.060001,57.150002,56.740002,56.900002,791600,56.224899
"69",56.759998,57.16,56.490002,56.990002,1078100,56.313831
"70",57.02,57.27,56.720001,56.889999,1015600,56.215015
"71",56.970001,57.23,56.93,56.950001,1132700,56.274305
"72",57.23,57.470001,57.119999,57.259998,2767900,56.580624
"73",57.130001,57.310001,56.799999,57.150002,1262900,56.471933
"74",57.02,57.34,56.900002,56.900002,1209200,56.224899
"75",56.869999,57.759998,56.68,57.630001,1183000,56.946237
"76",57.459999,57.560001,56.52,56.529999,1575000,55.859286
"77",56.549999,56.82,56.369999,56.669998,907900,55.997624
"78",55.939999,56.669998,55.73,56.490002,1012400,55.819764
"79",56.459999,56.669998,56.189999,56.299999,906100,55.632015
"80",56.110001,56.23,55.619999,55.700001,876300,55.039136
"81",55.810001,56,55.259998,55.630001,971900,54.969967
"82",55.810001,56.689999,55.810001,56.490002,2191500,55.819764
"83",56.66,56.799999,56.360001,56.48,962400,55.80988
"84",56.029999,56.110001,55.209999,55.220001,1461000,54.564831
"85",55.169998,56.59,55.169998,56.509998,1834100,55.839523
"86",56.439999,56.470001,55.049999,55.09,950000,54.436373
"87",55.130001,55.509998,54.279999,54.290001,1259900,53.645865
"88",54.360001,54.360001,53.18,53.23,1282500,52.59844
"89",53.470001,53.66,53.209999,53.310001,1658300,52.677493
"90",52.560001,52.810001,51.380001,52.400002,1606900,51.77829
"91",51.540001,52.540001,51.439999,52.380001,1008800,51.758527
"92",52.970001,53.700001,52.68,53.41,1566200,52.776305
"93",53.029999,53.77,53.029999,53.740002,1068200,53.102392
"94",53.990002,54.82,53.869999,54.700001,1565000,54.051
"95",54.700001,55.189999,54.439999,54.459999,1208900,53.813846
"96",55.18,55.43,54.939999,55.240002,1184700,54.584594
"97",55.23,55.900002,55.09,55.77,906300,55.108305
"98",55.689999,55.799999,55.259998,55.57,923400,54.910677
"99",55.93,56.57,55.689999,56.549999,1307600,55.879049
"100",56.669998,56.779999,55.759998,56.200001,1653500,55.533203
"101",56.200001,57.860001,56.200001,57.389999,1883100,56.709083
"102",58.189999,59.240002,58.16,58.389999,2369200,57.697218
"103",58.619999,58.75,58.139999,58.330002,1062400,57.637933
"104",58.18,58.549999,58.029999,58.23,1169000,57.539117
"105",58.599998,58.869999,58.200001,58.790001,1087900,58.092474
"106",58.91,59.029999,58.66,58.919998,613700,58.220929
"107",58.950001,58.98,58.27,58.380001,961200,57.687339
"108",58.220001,58.66,57.189999,58.580002,899900,57.884966
"109",58.57,58.68,58.299999,58.490002,922200,57.796034
"110",58.34,58.93,58.34,58.91,1213800,58.211049
"111",59.049999,59.310001,58.810001,59.299999,1154200,58.596421
"112",59.349998,59.57,58.990002,59.119999,3000100,58.418557
"113",59.02,59.540001,58.810001,59.459999,936300,58.754523
"114",59.360001,59.959999,59.25,59.799999,1203600,59.090489
"115",59.759998,59.849998,59.349998,59.779999,764000,59.070726
"116",59.540001,59.810001,59.360001,59.700001,656300,58.991677
"117",60.150002,60.25,59.810001,59.900002,957200,59.189305
"118",59.950001,60.220001,59.93,60.110001,682400,59.396812
"119",60.299999,60.689999,60.009998,60.459999,999100,59.742658
"120",60.509998,60.91,60.369999,60.759998,835100,60.039098
"121",60.900002,61.66,60.68,61.189999,599200,60.463996
"122",60.830002,61.689999,60.68,61.43,963100,60.70115
"123",61.540001,61.66,61.32,61.419998,830700,60.691267
"124",61.34,61.830002,61.200001,61.740002,702800,61.007474
"125",61.790001,61.959999,61.41,61.650002,635400,60.918541
"126",61.650002,61.889999,61.41,61.619999,624100,60.888895
"127",61.5,61.799999,60.919998,61.279999,699400,60.552929
"128",60.619999,61.400002,60.5,61.349998,698800,60.622098
"129",61.139999,61.27,60.580002,60.84,1289300,60.11815
"130",60.93,61.540001,60.77,60.990002,870500,60.266372
"131",60.290001,60.75,60.23,60.330002,1410100,59.849716
"132",60.380001,60.709999,59.709999,60.450001,1450800,59.96876
"133",60.349998,61.139999,59.950001,60.16,1116600,59.681068
"134",60.259998,61.509998,60.040001,61.5,1208300,61.0104
"135",62.150002,63.599998,61.970001,63.59,1371600,63.083762
"136",63.759998,64.300003,62.919998,63.07,2939800,62.567901
"137",63.259998,63.759998,63.25,63.549999,1143300,63.044079
"138",63.77,64.150002,63.700001,64.040001,583100,63.53018
"139",63.990002,64.150002,63.560001,63.619999,470900,63.113522
"140",63.91,63.919998,63.459999,63.509998,363300,63.004397
"141",63.43,63.689999,63.209999,63.560001,611800,63.054002
"142",63.349998,63.450001,63.119999,63.16,424000,62.657185
"143",63.41,63.459999,62.18,62.200001,661900,61.704828
"144",62.330002,63.029999,61.82,62.41,666300,61.913155
"145",62.16,62.240002,60.740002,61.330002,952900,60.841755
"146",61.389999,61.73,60.360001,61.25,1190000,60.76239
"147",61.799999,62.299999,61.360001,62.259998,925200,61.764348
"148",62.830002,63.189999,62.709999,63.139999,907200,62.637343
"149",63.279999,63.41,62.619999,62.93,569200,62.429016
"150",62.889999,63.169998,62.419998,62.73,659200,62.230608
"151",63.049999,63.98,62.209999,62.869999,944900,62.369492
"152",62.09,62.34,61.549999,62.220001,585000,61.724669
"153",62.43,62.639999,61.869999,62.299999,749300,61.80403
"154",62.16,63.34,62.110001,63.290001,846600,62.786151
"155",63.450001,63.790001,62.650002,63.290001,654500,62.786151
"156",62.869999,63.189999,62.41,62.73,753300,62.230608
"157",63.009998,63.959999,62.5,63.84,644900,63.331771
"158",63.860001,64.419998,63.639999,64.010002,773600,63.50042
"159",63.869999,64.209999,63.48,64.050003,640400,63.540103
"160",63.279999,63.43,62.470001,63.139999,1048100,62.637343
"161",63.709999,63.759998,62.360001,62.41,1080200,61.913155
"162",62.400002,63.5,62.200001,63.360001,1103000,62.855593
"163",63.040001,63.240002,62.360001,62.43,1439600,61.932997
"164",62.860001,63.009998,61.650002,63,1123500,62.498459
"165",63.25,64.389999,62.990002,64.330002,1101700,63.817872
"166",64.290001,64.860001,63.810001,64.489998,1378700,63.976595
"167",64.449997,64.790001,63.080002,64.010002,1842100,63.50042
"168",64.050003,64.599998,63.630001,63.93,1467700,63.421055
"169",63.470001,63.880001,63.220001,63.610001,1231100,63.103603
"170",63.869999,64.839996,63.75,64.68,688000,64.165084
"171",64.739998,65.360001,64.690002,65.150002,969000,64.631344
"172",65.360001,66.190002,65.360001,66.190002,762600,65.663065
"173",66.199997,66.57,66.040001,66.519997,701900,65.990433
"174",66.25,66.959999,66.25,66.910004,902800,66.377335
"175",66.580002,67.400002,66.57,67.25,1075300,66.714624
"176",67.330002,67.709999,67.080002,67.690002,972400,67.151124
"177",67.610001,68.980003,67.43,68.68,2837000,68.133241
"178",68.68,68.790001,67.82,68.209999,1208200,67.666981
"179",68.059998,68.400002,67.93,68.160004,865600,67.617384
"180",67.970001,68.449997,67.910004,68.010002,998100,67.468576
"181",68.050003,68.309998,67.870003,68.139999,751300,67.597539
"182",67.889999,68.029999,67.440002,67.589996,1104300,67.051914
"183",67.480003,68.300003,67.349998,68.239998,765200,67.696741
"184",67.900002,67.989998,67.279999,67.610001,948400,67.071759
"185",67.330002,67.5,66.699997,67.010002,788700,66.476537
"186",67.279999,67.370003,66.849998,67.25,578600,66.714624
"187",66.900002,67.019997,65.970001,66.099998,809000,65.573778
"188",66.019997,66.769997,66.019997,66.620003,675200,66.089643
"189",66.260002,66.290001,65.089996,65.099998,940100,64.581739
"190",65.029999,65.239998,64.5,64.599998,1016400,64.085719
"191",64.739998,66.269997,64.739998,66.25,1087400,65.722585
"192",66.019997,66.18,64.949997,65.300003,812100,65.035385
"193",65.699997,66.650002,65.610001,66.639999,885100,66.369951
"194",66.199997,66.620003,66.050003,66.349998,584800,66.081126
"195",66.139999,67.800003,66.099998,67.489998,972400,67.216505
"196",67.5,67.760002,67.190002,67.610001,659700,67.336022
"197",68.18,68.75,67.699997,68.330002,1571800,68.053105
"198",68.290001,68.889999,68.059998,68.529999,920000,68.252292
"199",68.389999,68.599998,67.980003,68.139999,1293300,67.863873
"200",68.120003,68.190002,67.529999,67.540001,2031400,67.266306
"201",67.300003,67.720001,66.879997,67.419998,947000,67.146789
"202",67.25,67.690002,66.739998,67.07,1150100,66.798209
"203",67.580002,68.580002,67.550003,68.279999,760000,68.003305
"204",68.050003,68.580002,67.830002,68.059998,736200,67.784195
"205",67.940002,68.040001,67.169998,67.699997,1008600,67.425653
"206",67.809998,68.449997,67.540001,68.080002,924700,67.804118
"207",67.410004,68.470001,67.339996,68.150002,1185900,67.873834
"208",68.080002,68.330002,67.830002,67.889999,727100,67.614886
"209",67.839996,68.510002,67.839996,68.510002,762500,68.232376
"210",68.529999,68.550003,67.75,68.080002,920500,67.804118
"211",65.870003,66.07,63.27,65.5,6919100,65.234572
"212",65.209999,65.739998,64.550003,64.690002,2453000,64.427856
"213",64.629997,65,64.209999,64.360001,2167800,64.099192
"214",64.57,64.959999,63.93,64.309998,2473600,64.049392
"215",64.209999,64.629997,63.82,64.080002,1749600,63.820328
"216",63.610001,63.720001,62.939999,63.330002,2382200,63.073367
"217",63.630001,64.290001,63.57,63.939999,2001600,63.680892
"218",64.050003,64.849998,64.050003,64.089996,1915300,63.830282
"219",64.110001,64.68,63.75,64.279999,1622600,64.019514
"220",64.160004,64.669998,63.990002,64.510002,1324800,64.248586
"221",64.519997,64.529999,63.98,64.110001,1146300,63.850205
"222",64.379997,64.379997,63.84,64.010002,1392900,63.750612
"223",63.860001,64.410004,63.52,64.279999,1462700,64.019514
"224",64.110001,64.589996,64.010002,64.150002,1636400,63.890044
"225",60.950001,63.790001,60.790001,62.490002,4084400,62.236771
"226",62.700001,63.150002,62.18,63.110001,2016400,62.854257
