"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"1",155.300003,155.300003,154.360001,154.649994,577500,152.295873
"2",154.589996,154.589996,153.130005,153.440002,458000,151.1043
"3",152.809998,153.350006,152.389999,152.690002,674000,150.365717
"4",152.75,153.800003,152.399994,153.539993,791500,151.202769
"5",153.050003,153.619995,152.649994,153,507600,150.670996
"6",152.880005,155.059998,152.880005,154.690002,527600,152.335272
"7",154.839996,156.220001,154.399994,156,611300,153.625329
"8",156.050003,156.5,153.949997,154.25,650200,151.901968
"9",155.5,156,154.169998,155.570007,1022300,153.201882
"10",155.460007,156.179993,154.779999,156.089996,667700,153.713955
"11",156.089996,160.270004,155.910004,157.899994,1520900,155.4964
"12",157.479996,158.330002,155.720001,155.940002,1100400,154.005143
"13",155.929993,157.270004,154.770004,157.080002,1069100,155.130997
"14",157.080002,160.75,156.410004,160.419998,1404400,158.429552
"15",161,161.110001,159.050003,160.690002,672100,158.696206
"16",161.149994,164.009995,160.440002,161.630005,1085300,159.624545
"17",161.630005,162.490005,161.240005,161.449997,732400,159.446771
"18",162.020004,163.369995,162,162.880005,415800,160.859035
"19",162.520004,162.910004,161.580002,161.880005,736200,159.871443
"20",161.699997,161.880005,160.449997,160.880005,944300,158.883851
"21",161.190002,163.240005,160.770004,162.919998,881000,160.898532
"22",161.100006,161.509995,159.800003,159.970001,662100,157.985138
"23",160.190002,160.190002,158.399994,159.130005,565900,157.155564
"24",160.089996,160.389999,158.970001,159.460007,412100,157.481472
"25",158.860001,159.720001,158.509995,158.860001,467000,156.88891
"26",159.029999,159.649994,157.779999,158,639200,156.03958
"27",157.679993,158.240005,156.889999,157.190002,534000,155.239633
"28",157.690002,158.130005,156.529999,157.690002,560500,155.733429
"29",157.25,158.369995,156.960007,157.770004,411100,155.812438
"30",157.960007,160.059998,157.139999,159.229996,530100,157.254315
"31",159.429993,159.720001,158.449997,159.5,292400,157.520969
"32",160.270004,161.839996,159.740005,161.520004,423700,159.515909
"33",161.130005,161.509995,159.440002,159.639999,416200,157.659231
"34",159.960007,160.600006,158.949997,159.919998,362300,157.935756
"35",159.949997,160,158.279999,158.330002,693800,156.365487
"36",158.830002,159.860001,158.470001,159.350006,652600,157.372836
"37",157.580002,158.619995,155.639999,155.860001,809300,153.926133
"38",155.970001,156.919998,153.869995,154.550003,788500,152.63239
"39",154.550003,156.600006,154.240005,156.300003,837100,154.360676
"40",154.649994,157.460007,154.190002,156.570007,1446200,154.62733
"41",152.220001,158,152.220001,156.880005,1953900,154.933482
"42",159.100006,159.960007,157.509995,158.119995,1345500,156.158086
"43",158.139999,160.550003,157.270004,160.440002,645700,158.449308
"44",161.5,163.419998,161.009995,162.759995,1031500,160.740514
"45",162.669998,163.880005,161.779999,162.779999,1262600,160.76027
"46",162.699997,162.850006,159.949997,162.240005,1141900,160.226977
"47",162.130005,163.339996,161.199997,163.179993,577400,161.155301
"48",164.039993,164.509995,162.169998,163.539993,846100,161.510835
"49",164.580002,166.350006,164.070007,165.360001,575400,163.30826
"50",165.729996,167.029999,165.729996,167,530500,164.927911
"51",166.419998,169.910004,165.830002,169.330002,995000,167.229003
"52",169.539993,170,168.410004,169.270004,731700,167.169749
"53",169.5,170.830002,168.809998,169.770004,583800,167.663546
"54",170.289993,170.729996,169.649994,169.960007,624400,167.851191
"55",169.899994,169.899994,168.639999,169,805800,166.903095
"56",169.75,170.630005,168.660004,169.679993,635700,167.574651
"57",168.449997,169.270004,167.289993,169.050003,658700,166.952478
"58",169,169.350006,167.919998,169.199997,517800,167.100611
"59",169.289993,170.339996,168.839996,169.809998,611200,167.703043
"60",169.899994,170.009995,168.720001,169.050003,596400,166.952478
"61",169.75,173.460007,169.75,172.460007,1096800,170.320171
"62",171.660004,172.990005,171.059998,172.899994,582400,170.754699
"63",172.380005,173.360001,172.220001,172.5,426700,170.359668
"64",174.309998,174.470001,172.919998,173.520004,745100,171.367017
"65",173.509995,174.759995,173.25,174.699997,733600,172.532368
"66",174.139999,174.979996,172.880005,173.270004,676100,171.120119
"67",172.970001,174.089996,172.970001,173.789993,920600,171.633656
"68",173.460007,174.009995,170.759995,170.990005,986800,168.868409
"69",171,172.600006,170.630005,172.600006,732700,170.458434
"70",173.100006,173.389999,171.619995,172.779999,578000,170.636193
"71",172.800003,173.809998,172.240005,172.839996,567300,170.695446
"72",173.899994,173.960007,171.660004,171.979996,1377700,169.846116
"73",171.880005,172.589996,169.289993,169.839996,1061700,167.732669
"74",169.679993,170.570007,169.160004,170.009995,955700,167.900558
"75",170.190002,170.809998,166.759995,167.600006,1403700,165.959751
"76",167.130005,167.440002,163.850006,164.919998,1151100,163.305971
"77",165.889999,166.059998,163.100006,165.639999,838300,164.018926
"78",164.669998,166.190002,164.369995,165.029999,597600,163.414896
"79",164.889999,165.699997,163.759995,164.729996,694800,163.117829
"80",164.800003,164.800003,161.839996,163.360001,975300,161.761241
"81",163.270004,167.339996,162.860001,167.119995,1126200,165.484438
"82",167.509995,168.440002,166.220001,166.399994,772100,164.771483
"83",166.759995,167.520004,163.979996,164.389999,804400,162.78116
"84",163.479996,164.820007,162.929993,163.119995,914800,161.523585
"85",163.509995,166.300003,162.779999,166.110001,886400,164.484328
"86",165.220001,166.119995,162.850006,163.039993,1044000,161.444366
"87",163.389999,164.289993,160.429993,160.429993,799300,158.859908
"88",160.160004,160.199997,157.220001,157.529999,768000,155.988296
"89",158.949997,159.270004,156.850006,157.729996,853200,156.186336
"90",155.539993,157.389999,153.389999,156.720001,1047600,155.186226
"91",154.509995,159.509995,153.5,157.669998,793500,156.126925
"92",158.929993,159.509995,155.559998,156.25,1174900,154.720824
"93",155.309998,157.470001,154.029999,157.199997,912400,155.661524
"94",157.679993,161.220001,157.669998,161.160004,602900,159.582775
"95",161.210007,162.990005,160.559998,160.570007,476800,158.998553
"96",161.380005,163.350006,160.860001,161.179993,727800,159.602568
"97",161.029999,161.029999,159.479996,160.25,1148900,158.681677
"98",160.25,161.539993,158.479996,161.350006,1071000,159.770918
"99",161.059998,161.470001,158.960007,160.919998,1167700,159.345118
"100",157.669998,167,157.520004,161.789993,2436800,160.206599
"101",161.550003,166.589996,160.970001,166.110001,952200,164.484328
"102",167.100006,167.949997,164.279999,164.839996,908500,163.226753
"103",164.75,166.559998,164.320007,165.679993,684900,164.058528
"104",165.479996,165.5,162.309998,164.149994,718200,162.543503
"105",164.610001,165.690002,164,164.779999,536200,163.167342
"106",165.470001,171.600006,165.309998,171.389999,872800,169.712653
"107",170.919998,174.899994,170.779999,174,1387400,172.29711
"108",174.369995,175.449997,171.580002,171.919998,762000,170.237464
"109",171.080002,172.460007,170.399994,171.070007,657700,169.395792
"110",170.940002,173.419998,169.899994,172.929993,839400,171.237574
"111",172.830002,174.149994,171.509995,173.169998,746800,171.475231
"112",173.419998,174.729996,172.470001,174.240005,727400,172.534766
"113",173.789993,176.410004,173.119995,176.050003,805100,174.32705
"114",175.580002,176.720001,174.639999,176.559998,723600,174.832053
"115",176,179.779999,175.610001,179.660004,948800,177.901721
"116",178.740005,182.020004,178.110001,179.779999,1038600,178.020541
"117",181.410004,182.5,179.429993,180.050003,945000,178.287903
"118",180.520004,181.800003,178.809998,181.320007,605100,179.545478
"119",181.320007,183.479996,181.149994,182.639999,857600,180.852552
"120",182.619995,183.279999,181.570007,182.070007,501600,180.288138
"121",182.589996,185.139999,182.520004,184.899994,511000,183.090428
"122",183.830002,184.259995,180.649994,181.279999,1002800,179.505861
"123",181.770004,182.779999,180.220001,180.580002,630800,178.812715
"124",180.550003,183.399994,180.050003,183.279999,633600,181.486288
