"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume","EBAY.Adjusted"
"1",48.650002,48.810001,48.169998,48.25,35990300,48.25
"2",48.299999,48.900002,48.139999,48.830002,15313700,48.830002
"3",48.869999,49.119999,48.5,48.560001,13596500,48.560001
"4",48.779999,49.27,48.610001,49.040001,9072000,49.040001
"5",48.919998,49.169998,48.740002,49,7707800,49
"6",48.900002,49.220001,48.779999,49.060001,8633700,49.060001
"7",49.189999,49.740002,48.860001,49.66,9222700,49.66
"8",49.700001,49.799999,49.5,49.599998,11921700,49.599998
"9",49.740002,49.75,48.950001,49.34,18571600,49.34
"10",49.470001,49.66,48.900002,49.389999,9423200,49.389999
"11",49.389999,49.490002,48.759998,48.849998,11606400,48.849998
"12",48.799999,49.5,48.669998,49.32,8941700,49.32
"13",49.5,49.669998,49.029999,49.470001,8076200,49.470001
"14",49.580002,50.18,49.43,50.080002,11044100,50.080002
"15",50.189999,50.189999,49.799999,50.060001,10604100,50.060001
"16",50.189999,50.669998,50.07,50.5,8805200,50.5
"17",50.509998,50.799999,50.5,50.549999,9345300,50.549999
"18",50.959999,51.080002,50.619999,50.939999,4612000,50.939999
"19",50.93,50.98,50.610001,50.740002,7219300,50.740002
"20",50.610001,50.77,50.009998,50.18,13072000,50.18
"21",50.299999,50.93,50.009998,50.93,8425600,50.93
"22",50.220001,50.540001,49.740002,50.34,8327000,50.34
"23",51,51.830002,51,51.5,13892900,51.5
"24",51.25,51.310001,50.669998,51.16,9402500,51.16
"25",51.450001,51.490002,50.529999,50.82,9431100,50.82
"26",51.029999,51.18,50.5,50.700001,13817400,50.700001
"27",51.099998,51.84,50.830002,51.029999,21706700,51.029999
"28",50.93,51.639999,50.580002,51.48,12948700,51.48
"29",51.27,51.860001,51.040001,51.700001,9922500,51.700001
"30",51.869999,52.290001,51.709999,52.049999,10423500,52.049999
"31",52,52.720001,51.869999,52.66,13881000,52.66
"32",52.52,53.5,52.52,53.23,16257600,53.23
"33",52.779999,53.099998,52.540001,52.75,11250800,52.75
"34",52.91,53.09,52.23,52.93,9402700,52.93
"35",53.099998,53.380001,52.75,53.209999,12015300,53.209999
"36",53.279999,53.580002,52.759998,53.23,9101900,53.23
"37",52.939999,53.060001,52.66,52.830002,11514200,52.830002
"38",52.779999,52.91,52.139999,52.529999,12844200,52.529999
"39",52.41,53.130001,52.240002,53.060001,11999300,53.060001
"40",53.009998,53.32,52.82,53.259998,10997100,53.259998
"41",52.959999,53.689999,52.799999,53.459999,10209800,53.459999
"42",53.68,54.25,53.419998,53.560001,10049600,53.560001
"43",53.580002,54.169998,53.150002,54.09,10326800,54.09
