"","NFX.Open","NFX.High","NFX.Low","NFX.Close","NFX.Volume","NFX.Adjusted"
"1",37.939999,38.48,37.810001,38.27,2055900,38.27
"2",38.049999,39.009998,37.919998,38.93,1757800,38.93
"3",39.23,39.98,38.779999,39.27,4243200,39.27
"4",39.310001,40.490002,38.93,40.450001,3630200,40.450001
"5",40.630001,41.669998,40.27,41.599998,4489500,41.599998
"6",41.5,42.049999,41.02,41.720001,2773100,41.720001
"7",41.75,42.880001,41.630001,42.830002,2990800,42.830002
"8",42.84,43.060001,42.290001,42.740002,3429600,42.740002
"9",42.900002,43.330002,42.639999,43.23,4907400,43.23
"10",43.310001,44.009998,43.240002,43.599998,3687700,43.599998
"11",43,43.310001,42.07,42.27,4463300,42.27
"12",42.209999,43.939999,42.200001,43.700001,3005200,43.700001
"13",43.490002,43.669998,42.84,43.66,1482300,43.66
"14",43.490002,43.77,43.119999,43.529999,2114900,43.529999
"15",43.540001,44.259998,43.5,44.200001,1884800,44.200001
"16",44.209999,44.400002,43.630001,43.889999,1713000,43.889999
"17",43.970001,44.240002,43.369999,43.779999,1648500,43.779999
"18",43.130001,43.77,43.02,43.59,1233500,43.59
"19",43.5,43.66,43.029999,43.09,1190700,43.09
"20",42.950001,43.759998,42.73,43.540001,2380000,43.540001
"21",43.52,43.799999,43.049999,43.709999,2049200,43.709999
"22",43.220001,43.540001,42.610001,43.060001,1718800,43.060001
"23",43.119999,43.150002,41.57,41.919998,3323700,41.919998
"24",42.200001,42.869999,41.759998,42.330002,2461400,42.330002
"25",42.119999,42.400002,40.959999,41.470001,2316000,41.470001
"26",41.82,42.779999,41.77,42.68,2096800,42.68
"27",44.060001,44.599998,43.389999,43.549999,5654600,43.549999
"28",43.330002,44.32,42.540001,44.130001,2448200,44.130001
"29",44,44.630001,43.810001,44.48,1177400,44.48
"30",44.709999,45,44.400002,44.82,1919500,44.82
"31",44.900002,45.049999,44.419998,44.919998,1524900,44.919998
"32",45.080002,45.43,44.830002,44.98,910300,44.98
"33",44.73,44.84,44.049999,44.639999,973200,44.639999
"34",44.639999,44.919998,43.720001,44,1965700,44
"35",43.810001,44.139999,43.43,43.470001,3767400,43.470001
"36",42.700001,42.900002,40.470001,41.48,8542800,41.48
"37",41.259998,41.259998,40.299999,40.299999,2711600,40.299999
"38",39.959999,40.09,38.799999,39.330002,3585900,39.330002
"39",39.290001,40.450001,39.189999,40.25,2479900,40.25
"40",39.900002,40.060001,39.130001,39.790001,2479600,39.790001
"41",39.860001,40.830002,39.650002,39.689999,2402600,39.689999
