"","CTL.Open","CTL.High","CTL.Low","CTL.Close","CTL.Volume","CTL.Adjusted"
"1",36.869999,37.029999,36.779999,36.93,3444000,34.889147
"2",36.860001,36.950001,36.349998,36.43,3854100,34.416779
"3",36.389999,36.48,36.119999,36.389999,2960200,34.378988
"4",36.450001,37.009998,36.380001,36.950001,3458100,34.908042
"5",36.869999,37.119999,36.740002,37.060001,2710000,35.011964
"6",37.02,37.09,36.549999,36.619999,3192700,34.596277
"7",36.650002,36.98,36.639999,36.93,2257900,34.889147
"8",37.009998,37.310001,36.970001,37.290001,2701000,35.229253
"9",37.389999,37.48,36.650002,36.700001,5038600,34.671858
"10",36.810001,36.810001,36.400002,36.73,2348200,34.700199
"11",36.75,36.830002,36.32,36.360001,2644900,34.350647
"12",36.389999,36.41,35.880001,36.150002,3883900,34.152253
"13",36.189999,36.43,36.049999,36.16,2913900,34.161699
"14",36.119999,36.130001,35.689999,35.779999,4245300,33.802698
"15",35.889999,36.310001,35.849998,36.200001,2820500,34.199489
"16",36.220001,36.439999,35.950001,36.32,2351100,34.312857
"17",36.18,36.240002,35.700001,35.939999,4104500,33.953856
"18",35.98,36.150002,35.720001,36.080002,2071600,34.086122
"19",36.049999,36.360001,35.970001,36.119999,2077100,34.123909
"20",36.169998,36.689999,36.099998,36.5,3767000,34.48291
"21",36.560001,36.740002,36.389999,36.59,4921600,34.567936
"22",36.389999,36.93,36.290001,36.779999,3474100,34.747435
"23",36.689999,36.889999,36.610001,36.77,1672700,34.737989
"24",36.900002,37.150002,36.73,36.889999,2284000,34.851357
"25",36.889999,37.119999,36.779999,36.990002,4163600,34.945833
"26",37.099998,37.27,36.990002,37.119999,4220300,35.068646
"27",37,37.209999,36.709999,36.720001,1906300,34.690753
"28",36.830002,37.029999,36.619999,36.950001,2058600,34.908042
"29",36.810001,37.200001,36.709999,37.02,3000400,34.974174
"30",37.139999,37.48,37.049999,37.310001,2846200,35.248148
"31",37.18,37.669998,37.150002,37.57,3176800,35.493778
"32",37.57,37.810001,37.549999,37.68,2263200,35.5977
"33",37.619999,37.950001,37.509998,37.580002,2122600,35.503228
"34",37.709999,37.900002,37.540001,37.709999,3858700,35.626041
"35",45.43,45.669998,38.790001,39.900002,51803400,37.695018
"36",39.810001,40.23,39.57,39.77,8045900,37.572201
"37",39.549999,39.919998,39.119999,39.240002,8057100,37.071491
"38",39.110001,39.310001,38.720001,39.060001,4679200,36.901439
"39",39.049999,39.490002,38.650002,39.459999,3985900,37.279331
"40",39.220001,39.43,38.959999,39.290001,3797600,37.118728
"41",39.119999,39.139999,38.580002,38.77,3466800,36.627464
"42",38.990002,39.669998,38.25,38.950001,4882100,36.797517
"43",39.080002,39.869999,38.939999,39.860001,5045400,37.657228
"44",39.919998,40.400002,39.869999,40.27,5237100,38.04457
"45",40.25,40.880001,40.200001,40.77,5161200,38.516938
"46",40.810001,40.990002,40.419998,40.470001,5806200,38.233518
"47",40.610001,40.689999,40.330002,40.509998,3504500,38.271305
"48",40.580002,40.650002,40.139999,40.400002,3481100,38.167387
"49",40.639999,40.709999,40.290001,40.419998,2704000,38.186278
"50",40.5,40.75,40.25,40.66,2019100,38.413017
"51",40.759998,40.93,40.5,40.790001,3056300,38.535834
"52",40.790001,41.389999,40.75,40.91,3367500,38.649201
"53",40.790001,40.869999,40.549999,40.799999,1860900,38.545279
