"","CHK.Open","CHK.High","CHK.Low","CHK.Close","CHK.Volume","CHK.Adjusted"
"1",29.490004,29.579998,29.200007,29.220005,6563100,27.135714
"2",29.179998,30.119999,29.150001,30.030006,8585000,27.887938
"3",30.11,30.799999,30.060003,30.490002,11102200,28.315122
"4",30.549996,30.570006,30.160006,30.470003,5664100,28.296549
"5",30.590003,30.659999,30.389999,30.450003,7308800,28.277976
"6",30.37,30.600003,30.259997,30.549996,5315800,28.370837
"7",30.529999,30.760002,30.350002,30.700006,5915200,28.510146
"8",30.669999,30.840006,30.470003,30.720005,6368600,28.528719
"9",30.829996,31.209998,30.690006,30.890002,11171100,28.686589
"10",30.900002,31.430002,30.77,31.300002,8652000,29.067343
"11",31.290002,31.489998,30.22,30.269997,11336700,28.11081
"12",30.460003,31.030002,30.419996,31.020002,8673400,28.807316
"13",31.049999,31.059999,30.450003,30.519999,7662300,28.342979
"14",30.320003,30.580005,30.200003,30.399997,11456100,28.231537
"15",30.430006,31.100006,30.37,31.079998,8593800,28.863033
"16",29.700001,29.92,28.93,29.24,9808800,28.702077
"17",29.309999,29.440001,29.049999,29.25,6665100,28.711894
"18",29.280001,29.530001,29.110001,29.5,3204300,28.957295
"19",29.360001,29.4,27.959999,28.139999,12493400,27.622314
"20",28.02,28.65,27.610001,28.610001,11760600,28.083668
"21",28.57,29.33,28.530001,29.309999,8702600,28.770789
"22",29.08,29.25,28.700001,29.02,7077700,28.486125
"23",28.99,29.09,28.139999,28.18,7520900,27.661579
"24",28.26,28.57,28.190001,28.26,6440600,27.827005
"25",28.190001,28.360001,27.219999,27.459999,8121700,27.039261
"26",27.68,27.959999,27.540001,27.84,5578000,27.41344
"27",27.690001,27.969999,26.780001,26.82,8661000,26.409068
"28",26.959999,27.18,26.84,27,5939000,26.58631
"29",26.99,26.99,26.540001,26.76,6348900,26.349987
"30",26.719999,27,26.610001,26.85,7459300,26.438609
"31",26.940001,27.1,26.629999,27.08,6341100,26.665084
"32",27.09,27.58,26.870001,27.299999,8843700,26.881713
"33",27.15,27.27,26.889999,27.01,6966300,26.596157
"34",27.059999,27.24,26.700001,26.84,8105600,26.428762
"35",26.57,27.27,26.35,27.059999,10541400,26.64539
"36",26.959999,27.18,26.74,27.01,9507700,26.596157
"37",26.860001,26.91,26.370001,26.370001,8819900,25.965964
"38",26.35,26.42,25.9,26.07,6492700,25.670559
"39",26.190001,26.9,25.959999,26.83,9431300,26.418915
"40",26.59,26.68,25.83,26.059999,12331600,25.660712
"41",25.540001,26.41,25.49,26.190001,13289400,25.788721
"42",26.530001,26.66,25.75,25.93,8447100,25.532705
"43",26.02,26.67,25.75,26.59,6623700,26.182592
"44",26.82,26.82,26.370001,26.41,5122700,26.00535
"45",26.4,26.4,25.67,25.860001,6586900,25.463778
"46",25.860001,26.09,25.67,25.75,6002500,25.355462
"47",25.870001,25.98,25.41,25.65,6054700,25.256994
"48",25.639999,25.84,25.49,25.549999,8566300,25.158526
"49",25.719999,25.74,25.379999,25.459999,5811600,25.069905
"50",25.6,26.16,25.58,26.15,9090400,25.749333
"51",25.9,26.370001,25.799999,26.33,5903700,25.926576
"52",26.280001,26.51,25.92,26.459999,5245900,26.054583
"53",26.309999,26.450001,26,26.02,4858600,25.621326
"54",26.25,26.799999,26.16,26.74,4901300,26.330293
"55",26.76,26.91,26.41,26.459999,5424900,26.054583
"56",26.41,26.719999,26.360001,26.43,4796600,26.025044
"57",26.43,27.139999,26.290001,26.98,7550100,26.566616
"58",27.02,27.24,26.709999,27.200001,5177100,26.783246
"59",27.1,27.15,26.709999,26.799999,6701300,26.389374
"60",26.91,27.08,26.440001,26.49,5757600,26.084124
"61",26.58,26.809999,25.940001,26.030001,6389600,25.631173
"62",26,26.18,25.860001,26.17,5117600,25.769027
"63",26.07,26.07,25.32,25.58,6978200,25.188067
"64",25.73,26.17,25.379999,25.59,8094000,25.197914
"65",25.52,25.59,24.92,25.530001,9021400,25.138834
"66",25.25,25.370001,24.780001,25.35,7488800,24.961591
"67",25.280001,25.299999,24.82,24.91,6489100,24.528333
"68",24.91,25.219999,24.709999,25.049999,5326300,24.666187
"69",25.02,25.459999,24.940001,25.360001,5398000,24.971438
"70",25.309999,25.639999,25.27,25.35,5304000,24.961591
"71",25.389999,25.42,24.620001,24.77,5588600,24.390478
"72",24.84,25,24.620001,24.67,6101800,24.29201
"73",24.67,24.700001,24.209999,24.309999,5959300,23.937525
"74",24.26,24.52,24.190001,24.26,5708000,23.888292
"75",24.23,24.25,23.639999,23.93,9998900,23.563348
"76",23.93,24,23.209999,23.34,9525500,22.982388
"77",23.27,23.65,23.059999,23.5,5562500,23.139937
"78",23.16,23.73,22.959999,23.639999,10219000,23.277791
"79",23.6,23.65,22.77,22.99,8149600,22.63775
"80",23.02,23.209999,22.299999,22.43,7161800,22.086331
"81",22.27,22.360001,21.43,22.23,13222200,21.889395
"82",22.290001,22.299999,21.48,21.75,14443300,21.41675
"83",21.690001,21.879999,21.27,21.33,13937700,21.003185
"84",21.209999,21.42,20.879999,20.93,10313500,20.609314
"85",20.82,20.889999,20.120001,20.629999,21215600,20.313909
"86",20.42,20.49,19.129999,19.18,23464000,18.886127
"87",19.030001,19.610001,18.42,18.969999,23194200,18.765442
"88",18.9,19.219999,17.799999,17.83,18287500,17.637736
"89",18.030001,18.32,17.389999,17.49,17325300,17.301402
"90",16.959999,17.9,16.690001,17.77,23731600,17.578383
"91",19.549999,21,19.190001,20.790001,38739800,20.565818
"92",20.99,21.209999,19.99,20.16,20884000,19.942611
"93",20.16,20.75,20.049999,20.639999,10404000,20.417434
"94",20.780001,21.73,20.73,21.66,16580300,21.426436
"95",22.08,22.58,21.549999,21.57,25912800,21.337406
"96",21.879999,22.280001,21.74,21.790001,13924100,21.555035
"97",21.629999,21.74,21.26,21.6,10028100,21.367083
"98",21.02,21.09,20.35,20.790001,11017200,20.565818
"99",20.940001,21.65,20.75,21.6,7308900,21.367083
"100",21.799999,22.190001,21.32,21.59,7609200,21.357191
"101",21.5,21.639999,20.969999,21.35,8140900,21.119779
"102",21.57,22.219999,21.219999,22.18,9481400,21.940829
"103",22.440001,22.84,21.75,21.790001,14199600,21.555035
"104",21.459999,21.620001,20.950001,21.290001,10429900,21.060427
"105",22.42,23.15,22.049999,22.76,15950600,22.514575
"106",22.41,22.860001,21.709999,22.76,13362700,22.514575
"107",22.73,24.110001,22.73,23.41,17391500,23.157565
"108",23.809999,24.219999,22.620001,22.9,10941000,22.653064
"109",22.9,23.719999,22.77,23.43,11120600,23.17735
"110",23.139999,23.59,22.959999,23.41,11261600,23.157565
"111",23.17,23.17,22.389999,22.709999,14330600,22.465113
"112",22.83,23.299999,22.450001,23.209999,11698700,22.959721
"113",23.459999,23.719999,22.809999,23.379999,13842800,23.127888
"114",23.43,23.48,22.73,23.059999,9034300,22.811339
"115",23.34,23.43,22.860001,23.049999,11028300,22.801447
"116",23.02,24.129999,23.02,23.950001,9860700,23.691743
"117",24.4,24.43,23.82,24.16,13412000,23.899478
"118",23.92,24.219999,23.73,24.059999,8262100,23.800556
"119",24.1,24.299999,23.4,23.700001,9998500,23.444439
"120",23.52,23.549999,22.9,23.040001,10396800,22.791556
"121",21.76,21.780001,20.24,20.26,14288300,20.041533
"122",19.99,20.299999,19.49,20.07,20059200,19.853581
"123",19.799999,20.290001,19.49,19.85,11501200,19.635954
"124",19.959999,20.280001,19.67,19.9,14480100,19.685414
"125",19.629999,19.879999,19.280001,19.5,8899000,19.289728
