"","ORLY.Open","ORLY.High","ORLY.Low","ORLY.Close","ORLY.Volume","ORLY.Adjusted"
"1",151.679993,152.149994,150.330002,151.839996,393300,151.839996
"2",151.880005,152.360001,150.570007,151.020004,338500,151.020004
"3",150.059998,150.960007,148.240005,148.75,406800,148.75
"4",149.070007,149.639999,148.009995,149.539993,341100,149.539993
"5",148.869995,150.300003,148.259995,148.600006,490900,148.600006
"6",147.940002,149.399994,147.210007,148.779999,366700,148.779999
"7",150.020004,151.5,149.869995,151.130005,834400,151.130005
"8",151.509995,152.009995,150.139999,150.570007,377900,150.570007
"9",151.479996,151.889999,150.009995,150.990005,1206200,150.990005
"10",150.649994,151.039993,149.5,149.820007,532100,149.820007
"11",151.050003,151.169998,149.039993,149.160004,585800,149.160004
"12",148.470001,149.960007,147.710007,149.240005,481700,149.240005
"13",149.070007,149.559998,148.440002,149.309998,427500,149.309998
"14",148.919998,150.229996,148.899994,149.759995,690800,149.759995
"15",149.389999,150.619995,149.289993,150.600006,689800,150.600006
"16",150.029999,152.089996,150.009995,151.509995,489400,151.509995
"17",151.059998,151.979996,150.179993,151.899994,369000,151.899994
"18",152.070007,153.110001,151.710007,152.949997,274900,152.949997
"19",152.690002,153.399994,152.169998,152.5,294400,152.5
"20",152.389999,153.160004,152.009995,152.070007,580600,152.070007
"21",152.5,155.800003,152.089996,155.649994,644300,155.649994
"22",153.820007,154.809998,153.320007,153.589996,565200,153.589996
"23",153.729996,154.210007,151.960007,154.100006,449300,154.100006
"24",154.910004,156.369995,154.160004,155.889999,601700,155.889999
"25",155.619995,155.919998,153.820007,154.25,515300,154.25
"26",154.509995,154.850006,153.119995,153.919998,713600,153.919998
"27",153.059998,154.639999,151.889999,152.059998,612600,152.059998
"28",151.679993,152.940002,150.429993,152.830002,731600,152.830002
"29",151.809998,152.869995,150.169998,150.199997,869500,150.199997
"30",149.970001,150.699997,145.779999,145.880005,1665900,145.880005
"31",145.949997,147.009995,145.509995,146.610001,1064100,146.610001
"32",153.270004,154,150.240005,151.770004,1654000,151.770004
"33",151.169998,152.490005,151.169998,151.740005,911400,151.740005
"34",151.720001,152.259995,151.059998,151.580002,429400,151.580002
"35",151.649994,152.050003,150.210007,150.259995,650100,150.259995
"36",150.880005,152.570007,150.460007,152.449997,675200,152.449997
"37",151.160004,152.389999,149.779999,150,1155400,150
"38",150.179993,152.080002,149.820007,150.089996,645500,150.089996
"39",150.020004,151.699997,149.839996,150.830002,782900,150.830002
"40",149.589996,151.300003,149.589996,150.009995,1065000,150.009995
"41",149.759995,150.970001,149.679993,150.080002,734200,150.080002
"42",151.050003,151.050003,148.740005,148.860001,404900,148.860001
"43",149.539993,152.720001,149.369995,152.660004,677600,152.660004
"44",152.729996,153.619995,152.5,153.100006,595700,153.100006
"45",152.690002,153.199997,150.869995,152.009995,401000,152.009995
"46",152.539993,152.539993,150.449997,151.020004,543100,151.020004
"47",151.889999,153.970001,151.559998,153.919998,813300,153.919998
"48",155,155,151.369995,151.940002,689400,151.940002
