"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume","QCOM.Adjusted"
"1",79.959999,79.959999,79.139999,79.18,8582900,77.297124
"2",79,79.5,78.440002,79.209999,7404600,77.32641
"3",79.129997,79.760002,78.809998,79.339996,7524900,77.453316
"4",79.459999,79.82,78.93,79.110001,7440200,77.228789
"5",78.830002,79.389999,78.449997,78.650002,10423700,76.779729
"6",78.43,79.419998,78.400002,79.160004,6840400,77.277603
"7",79.68,79.68,78.629997,79.190002,7340100,77.306889
"8",79.300003,79.800003,79.190002,79.75,6781300,77.85357
"9",79.980003,79.989998,79.440002,79.860001,11878200,77.960955
"10",79.629997,79.989998,79.32,79.43,6145700,77.54118
"11",79.309998,79.870003,78.68,78.779999,10652000,76.906635
"12",78.5,78.550003,77.910004,78.050003,10701100,76.193998
"13",78.400002,79.129997,78.080002,78.769997,7556200,76.896871
"14",78.57,79.040001,78.18,78.989998,7732900,77.11164
"15",79.150002,79.389999,78.650002,79.199997,6562000,77.316646
"16",79.349998,79.82,78.93,79.730003,5872300,77.834049
"17",79.809998,80.43,79.699997,80.169998,5440100,78.26358
"18",80.5,81.279999,80.089996,80.989998,5735700,79.064081
"19",80.669998,80.949997,80.209999,80.82,5873900,78.898125
"20",80.629997,80.860001,80.419998,80.650002,7787900,78.732169
"21",81.110001,81.110001,80.379997,80.769997,5071200,78.849311
"22",79.93,80.68,79.800003,80.43,5090200,78.5174
"23",79.900002,80.199997,79.150002,79.599998,8623300,77.707135
"24",79.440002,79.779999,79.379997,79.519997,7609800,77.629036
"25",79.389999,79.910004,79.150002,79.440002,5984000,77.550944
"26",79.720001,79.940002,79.580002,79.620003,6266900,77.726664
"27",79.110001,79.209999,77.879997,78.110001,12569900,76.252569
"28",78.550003,79.43,78.25,79.389999,8373000,77.50213
"29",79.410004,79.970001,79.110001,79.669998,7654300,77.77547
"30",80.089996,81.870003,79.989998,81.529999,10753200,79.591241
"31",81.889999,81.970001,81.419998,81.599998,10326300,79.659576
"32",77.599998,77.629997,75.660004,76.169998,37728500,74.358699
"33",76,76.580002,75.82,76.099998,13574800,74.290364
"34",76.099998,76.25,75.529999,75.830002,10938900,74.026788
"35",75.650002,75.949997,75.260002,75.309998,11324900,73.519149
"36",75.68,76.230003,75.150002,76.040001,10726100,74.231793
"37",75.389999,75.599998,73.650002,73.720001,15257100,71.966962
"38",73.669998,73.849998,71.82,72.550003,15202500,70.824786
"39",72.870003,73.470001,72.830002,73.260002,13114200,71.517902
"40",73.199997,73.349998,72.559998,72.75,10306400,71.020028
"41",72.419998,73.150002,72.160004,72.889999,7324400,71.156698
"42",73.279999,73.349998,72.339996,72.489998,9402400,70.766208
"43",72.720001,73.959999,72.5,73.879997,9140700,72.123154
"44",74.199997,74.980003,73.919998,74.730003,8818500,72.952947
"45",74.860001,74.93,73.900002,74.139999,7790000,72.376973
"46",74.580002,74.650002,74.040001,74.5,7053600,72.728413
"47",74.760002,74.989998,74.599998,74.760002,6482100,72.982232
"48",75.129997,75.129997,73.989998,74.410004,9794400,72.640557
"49",74.830002,75.099998,74.610001,75.029999,5180200,73.245809
"50",75.050003,75.220001,74.910004,75.129997,7903300,73.343429
"51",74.550003,76.639999,74.550003,76.440002,12123300,74.622283
"52",76.610001,77.309998,76.449997,76.769997,8646500,74.94443
"53",76.709999,77.220001,76.709999,76.82,5082400,74.993244
"54",77.169998,77.300003,76.339996,76.589996,4752000,74.76871
"55",76.82,77.099998,76.260002,77.010002,6754000,75.178728
"56",77.150002,77.190002,76.489998,76.970001,7846200,75.139678
"57",76.690002,76.900002,76.309998,76.339996,5243100,74.524655
"58",76.599998,76.599998,75.760002,76.099998,6483700,74.70135
"59",75.919998,76.080002,74.75,75.059998,9821500,73.680463
"60",75.470001,75.720001,74.82,74.889999,9791200,73.513589
"61",75.220001,75.550003,74.620003,75.110001,8412100,73.729547
"62",75,75.849998,74.889999,75.809998,8471600,74.416679
"63",75.489998,76.239998,75.489998,75.900002,6281400,74.505028
"64",75.900002,76.110001,75.510002,75.839996,6266100,74.446126
"65",75.800003,76.25,75.760002,75.93,6523400,74.534476
"66",75.580002,76.120003,75.199997,76.110001,6898700,74.711168
"67",75.800003,75.860001,75.209999,75.330002,8309300,73.945505
"68",75.5,75.580002,74.989998,75.080002,6637300,73.7001
"69",75.080002,75.970001,74.900002,75.709999,7519800,74.318518
"70",75.660004,76.169998,75.279999,75.830002,7212700,74.436315
"71",75.910004,76.449997,75.830002,76.440002,7274000,75.035105
"72",77,77,75.389999,75.529999,15396000,74.141826
"73",75.489998,76.339996,75.279999,76.290001,10447100,74.88786
"74",76.230003,76.57,75.809998,75.830002,8788800,74.436315
"75",75.650002,76.239998,75.419998,76.239998,6097800,74.838776
"76",76.029999,76.169998,74.720001,74.809998,7452200,73.435058
"77",74.589996,75.129997,74.169998,75.059998,6816400,73.680463
"78",74.629997,75.080002,74.160004,74.82,6630800,73.444876
"79",74.720001,75.089996,74.110001,74.769997,8894400,73.395792
"80",74.639999,74.809998,73.839996,73.879997,9098800,72.52215
