"","QEP.Open","QEP.High","QEP.Low","QEP.Close","QEP.Volume","QEP.Adjusted"
"1",31.85,31.98,31.6,31.66,993700,31.555457
"2",31.51,31.780001,31.35,31.66,948000,31.555457
"3",31.719999,32.18,31.66,31.9,1234300,31.794665
"4",32.029999,32.349998,31.74,32.330002,1375900,32.223247
"5",32.349998,32.470001,32.110001,32.279999,1323400,32.173409
"6",32.18,32.759998,32.02,32.709999,1534700,32.601989
"7",32.75,32.950001,32.43,32.889999,1569900,32.781395
"8",32.990002,33.330002,32.880001,33.240002,1447800,33.130242
"9",33.349998,33.880001,33.259998,33.849998,2232900,33.738225
"10",33.75,34.200001,33.700001,34.040001,1629500,33.9276
"11",34.07,34.09,33.09,33.119999,1551300,33.010635
"12",32.970001,33.650002,32.970001,33.52,1821500,33.409316
"13",33.599998,33.75,33.25,33.709999,868800,33.598687
"14",33.75,34.48,33.73,34.43,2120000,34.316311
"15",34.529999,34.599998,34.18,34.5,1776600,34.38608
"16",34.419998,34.639999,34.009998,34.200001,1458600,34.087071
"17",34.060001,34.349998,33.700001,33.970001,1338200,33.857831
"18",33.959999,34.040001,33.549999,33.709999,770000,33.598687
"19",33.610001,33.709999,33.169998,33.32,1125300,33.209976
"20",33.240002,33.580002,33.169998,33.400002,1055000,33.289713
"21",33.459999,33.639999,33.189999,33.630001,1869900,33.518954
"22",33.349998,33.700001,33.139999,33.540001,1136400,33.429251
"23",33.459999,33.5,33.150002,33.34,1396900,33.22991
"24",33.470001,34,33.389999,33.830002,1464600,33.718294
"25",33.68,33.830002,33.279999,33.639999,1895000,33.528919
"26",33.77,34.599998,33.77,34.450001,1776700,34.336246
"27",34.450001,35.029999,33.939999,33.98,2402600,33.867796
"28",34.080002,34.369999,33.93,34.259998,1054000,34.146871
"29",34.200001,34.200001,33.810001,33.98,1331800,33.867796
"30",34.209999,34.48,34.119999,34.150002,1175300,34.037237
"31",34.139999,34.34,33.75,34.32,1308500,34.206674
"32",34.380001,34.830002,34.07,34.509998,1362500,34.396045
"33",34.290001,34.470001,34.060001,34.259998,1204800,34.146871
"34",34.209999,34.299999,33.779999,33.990002,1100000,33.877765
"35",33.93,34.169998,33.73,34.080002,1224800,33.967468
"36",34.27,34.470001,33.810001,33.939999,1875800,33.827927
"37",33.790001,33.810001,33.049999,33.049999,1962100,32.940867
"38",32.93,33.040001,32.209999,32.450001,1735500,32.34285
"39",32.439999,33.150002,32.200001,33.049999,1480500,32.940867
"40",32.849998,32.900002,32.139999,32.560001,1375600,32.452487
"41",32.43,33.119999,32.18,32.73,2391400,32.621924
"42",32.41,33.860001,32.400002,33.490002,2785200,33.379416
"43",33.549999,34.099998,33.189999,34.09,1825600,33.977434
"44",34.299999,34.650002,34.09,34.349998,1574400,34.236573
"45",34.189999,34.349998,33.740002,34.080002,1774600,33.967468
"46",34.07,34.400002,33.91,34.110001,1286700,33.997368
"47",34.16,34.32,33.73,34.099998,1006100,34.007338
"48",34.169998,34.389999,33.869999,34.349998,1388000,34.256659
"49",34.5,34.700001,34,34.27,1661700,34.176878
"50",34.48,34.990002,34.310001,34.650002,1622400,34.555847
"51",34.700001,34.740002,34.279999,34.650002,1534200,34.555847
"52",34.759998,34.759998,34.27,34.709999,1393100,34.615681
"53",34.619999,34.740002,34.220001,34.310001,1284000,34.21677
"54",34.400002,34.889999,34.259998,34.790001,1235600,34.695465
"55",34.970001,35.32,34.849998,35.009998,1361000,34.914865
