"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"223",146.889999,147.190002,146.050003,146.610001,1302100,146.209998
"224",145.880005,146.25,143.869995,144.460007,1719000,144.460007
"225",143.850006,144.899994,142.539993,143.050003,2523200,143.050003
"226",143.460007,145.740005,143.220001,145.389999,1504700,145.389999
"227",145.389999,146.210007,144.610001,145.75,1285500,145.75
"228",145.119995,145.740005,144.289993,144.5,1759300,144.5
"229",145.350006,145.839996,144.009995,144.770004,1726700,144.770004
"230",144.520004,145.610001,144.009995,144.559998,2564500,144.559998
"231",146,147.559998,145.800003,145.880005,1710700,145.880005
"232",145.539993,146.330002,144.199997,144.270004,1905800,144.270004
"233",144,145,143.419998,144.070007,1913200,144.070007
"234",143.880005,145.289993,142.720001,143.240005,2121300,143.240005
"235",144.130005,144.130005,141.529999,142.600006,3023400,142.600006
"236",143.220001,144.960007,142.740005,144.830002,2354300,144.830002
"237",144.740005,145.289993,144.050003,145.059998,1451700,145.059998
"238",144.809998,145.5,144.309998,144.740005,1332700,144.740005
"239",145.059998,145.059998,143.259995,143.490005,1638800,143.490005
"240",143.369995,144.589996,142.850006,143.940002,1539400,143.940002
"241",143.899994,144.759995,143.399994,143.679993,1181200,143.679993
"242",144.080002,144.410004,143.080002,143.25,2471200,143.25
"243",143.630005,145.639999,143.110001,145.419998,2923500,145.419998
"244",144.320007,145.970001,143.160004,144.259995,3204400,144.259995
"245",143.779999,143.949997,141.770004,142.589996,3015000,142.589996
"246",143.050003,143.25,141.899994,142.389999,2182700,142.389999
"247",141.970001,142.669998,140.889999,141.399994,1962200,141.399994
"248",141.669998,142.509995,141.179993,142.130005,1858200,142.130005
"249",141.369995,142.5,140.330002,140.649994,2879300,140.649994
"250",140.740005,140.809998,138.740005,138.779999,3182500,138.779999
"251",138.910004,138.910004,138.020004,138.050003,1877700,138.050003
"252",137.919998,138.759995,137.809998,138.039993,2024700,138.039993
"253",138.320007,139.940002,138.259995,139.429993,1721900,139.429993
