"","SNI.Open","SNI.High","SNI.Low","SNI.Close","SNI.Volume","SNI.Adjusted"
"87",74.379997,75.029999,73.510002,73.660004,809600,72.992006
"88",73.43,74.279999,72.730003,72.790001,1267200,72.129893
"89",73.230003,74.949997,73.080002,74.879997,1429500,74.200935
"90",73.860001,75.459999,72.169998,73.5,1476100,72.833453
"91",72.540001,72.980003,71.059998,71.610001,2213900,70.960593
"92",72.029999,72.860001,71.760002,72.68,1096100,72.02089
"93",72.889999,73.68,72.629997,73.660004,615300,72.992006
"94",73.599998,75.300003,73.599998,75.169998,703700,74.488306
"95",75.339996,75.849998,74.269997,74.32,614700,73.646016
"96",74.889999,76.190002,74.889999,75.480003,437300,74.7955
"97",75.639999,76.470001,75.379997,76.18,498500,75.489149
"98",75.989998,76.540001,75.639999,75.709999,441600,75.02341
"99",76.129997,76.940002,75.970001,76.400002,660900,75.707155
"100",76.529999,77.32,76.25,76.82,582600,76.123345
"101",76.419998,76.860001,76.080002,76.529999,506700,75.835974
"102",77.669998,77.779999,76.660004,77.239998,711500,76.539534
"103",77.290001,77.919998,77.18,77.809998,983600,77.104365
"104",77.370003,77.370003,74.870003,74.900002,1796700,74.220758
"105",75.290001,75.489998,73.989998,74.589996,1743900,73.913564
"106",74.239998,76.970001,74.239998,75.010002,2511100,74.329761
"107",75.040001,75.389999,73.610001,75.190002,1474400,74.508129
"108",75.199997,75.290001,72.169998,73.339996,2147800,72.6749
"109",72.989998,73.580002,72.599998,73.489998,1187700,72.823541
"110",73.120003,74.059998,72.93,73.5,779700,72.833453
"111",73.489998,73.639999,73.129997,73.5,902400,72.833453
"112",73.639999,75.199997,73.5,75.169998,1057700,74.488306
"113",74.760002,75.169998,74.25,75.010002,785900,74.329761
"114",74.830002,75.110001,74.089996,74.879997,878100,74.200935
"115",74.790001,75.639999,74.559998,75.489998,847800,74.805404
"116",75.169998,76.900002,75.169998,76.730003,936200,76.034164
"117",77.400002,77.419998,75.459999,76.209999,810900,75.518876
"118",76.550003,78.239998,76.040001,78.010002,1277500,77.302555
"119",77.809998,78.440002,77.199997,77.940002,901400,77.431706
"120",77.860001,78.220001,77.5,77.970001,549500,77.461509
"121",78.150002,78.239998,77.75,78.169998,237200,77.660201
"122",78.050003,78.550003,77.370003,77.910004,762100,77.401902
"123",78.220001,79,78.089996,78.970001,769800,78.454987
"124",79.080002,82.779999,78.68,80.519997,2271400,79.994874
"125",80.029999,80.260002,78.910004,79.870003,2040900,79.349119
"126",79.739998,80.93,79.690002,80.279999,1159100,79.756441
"127",79.970001,80.169998,78.18,78.309998,895100,77.799288
"128",77.470001,78.169998,76.839996,78.059998,970200,77.550918
"129",78.019997,78.459999,77.370003,77.610001,659700,77.103856
"130",77.760002,78.730003,77.150002,77.220001,643700,76.7164
"131",76.480003,77.459999,76.349998,76.589996,663500,76.090504
"132",76.889999,77.43,75.849998,75.870003,750600,75.375206
"133",75.769997,77.43,75.470001,76.25,828300,75.752725
"134",76.410004,78.209999,76.330002,77.849998,837800,77.342289
"135",78.540001,78.849998,77.669998,78.839996,1252700,78.32583
"136",79.300003,79.639999,77.610001,77.830002,1643500,77.322422
"137",77.800003,78.199997,76.75,77.169998,1175500,76.666723
"138",77.099998,78.519997,77.099998,77.690002,1459000,77.183336
"139",77.889999,79.540001,77.760002,78.540001,716600,78.027791
"140",78.849998,79.169998,77.730003,77.839996,430700,77.332352
"141",77.610001,78.029999,76.989998,77.370003,1376600,76.865423
"142",77.370003,77.550003,76.470001,76.519997,1025800,76.020961
"143",76.699997,76.989998,75.169998,75.269997,1451000,74.779113
"144",76.309998,77.650002,75.139999,75.940002,1410700,75.444749
"145",75.449997,75.449997,73.889999,74.230003,1212400,73.745902
"146",74.089996,74.860001,72.720001,72.75,902600,72.275551
"147",73.389999,73.5,72.239998,72.480003,869900,72.007315
"148",73.139999,75.459999,73.010002,75.199997,1233300,74.709569
"149",75.260002,75.790001,74.82,74.93,1176700,74.441334
"150",75.239998,75.940002,74.5,74.919998,910100,74.431397
"151",75.360001,76.589996,74.75,75.449997,819200,74.957939
"152",74.440002,74.550003,72.669998,73.75,825900,73.269029
"153",73.949997,73.949997,72.870003,72.93,461600,72.454377
"154",72.93,73.949997,72.860001,73.57,732600,73.090202
"155",73.5,73.5,71,71.739998,1025600,71.272135
"156",71.440002,72.449997,71.199997,71.68,775500,71.212529
"157",71.879997,73.209999,71.879997,73.010002,626600,72.533857
"158",72.860001,73.5,72.220001,72.690002,737700,72.215944
"159",72.550003,73.779999,72.470001,73.489998,844100,73.010722
"160",72.720001,73.5,72.440002,73.019997,657100,72.543786
"161",73.559998,73.660004,71.720001,71.760002,509700,71.292009
"162",72.050003,72.489998,71.019997,72.400002,573600,71.927835
"163",71.690002,72.43,70.779999,71.089996,1301600,70.626373
"164",71.510002,71.769997,70.389999,71.75,727100,71.282072
"165",72.029999,73.720001,72.029999,73.599998,890200,73.120006
"166",73.610001,74.540001,73.120003,74.080002,930600,73.596879
"167",73.900002,73.970001,71.57,71.690002,1423300,71.222466
"168",71.739998,73.510002,71.699997,72.989998,703300,72.513983
"169",72.650002,73.800003,72.650002,73.370003,601500,72.89151
"170",73.379997,74.029999,72.550003,73.870003,485800,73.388249
"171",73.949997,74.150002,73.050003,73.660004,737400,73.179619
"172",72.150002,72.68,70.809998,72.610001,1943000,72.136464
"173",72.129997,73.660004,71.459999,73,1554700,72.52392
"174",73,73.410004,72.919998,73.169998,1838800,72.69281
"175",73.129997,73.410004,72.599998,72.669998,934000,72.19607
"176",72.709999,73.18,72.309998,72.910004,1534200,72.434511
"177",73.169998,73.709999,72.529999,73.57,958500,73.090202
"178",73.639999,74.459999,73.470001,74.290001,863400,73.805508
"179",74.110001,74.790001,74.110001,74.400002,693200,73.914791
"180",74.400002,75.110001,74.300003,74.330002,664100,73.845248
"181",74.260002,74.800003,72.510002,72.860001,889900,72.609508
"182",73.059998,73.190002,71.989998,72.300003,909900,72.051436
"183",72.410004,73.050003,72.080002,72.440002,1597100,72.190954
"184",72.290001,74.260002,72.230003,74.07,1190300,73.815347
"185",74.07,74.120003,72.919998,73.629997,726800,73.376858
"186",73.739998,73.760002,73.360001,73.529999,543800,73.277203
"187",73.300003,73.760002,73.029999,73.25,590500,72.998167
"188",73.150002,73.669998,72.959999,73.470001,778900,73.217412
"189",72.769997,72.830002,71.900002,72.290001,856000,72.041468
"190",72.300003,72.459999,71.779999,72.220001,787200,71.971709
"191",72.709999,73.019997,72.160004,72.470001,494100,72.22085
"192",72.349998,72.419998,71.360001,71.910004,567100,71.662777
"193",72.269997,72.800003,71.580002,72.690002,635500,72.440095
"194",72.699997,72.699997,71.379997,71.739998,1107800,71.493356
"195",71.809998,71.809998,69.690002,70.82,1648500,70.576521
"196",70.5,70.57,69.769997,70.309998,1054100,70.068272
"197",70.489998,71.620003,70.349998,71.5,2213800,71.254183
"198",71.5,71.57,71.120003,71.120003,1204500,70.875492
"199",71.150002,72.099998,71.089996,71.230003,2436800,70.985115
"200",71.230003,71.230003,69.940002,70.25,628700,70.008481
"201",69.860001,69.989998,69.199997,69.379997,757100,69.141469
"202",69.230003,69.519997,68.599998,68.900002,1023600,68.663124
"203",69.18,69.769997,68.970001,69.620003,737000,69.380649
"204",69.400002,69.440002,68.440002,68.559998,1017900,68.324289
"205",68.5,69.099998,67.690002,68.720001,844700,68.483742
"206",68.779999,69.629997,68.480003,69.419998,784300,69.181332
"207",68.93,69.489998,68.809998,69.239998,1090800,69.001951
"208",69.190002,69.800003,68.830002,69.110001,892500,68.872401
"209",69.610001,70.699997,69.610001,70.18,2385000,69.938722
"210",70.050003,70.150002,68.849998,69.300003,1384400,69.06175
"211",69.459999,69.459999,68.68,69.010002,1071900,68.772746
"212",69.050003,70.230003,68.849998,69.559998,919000,69.320851
"213",69.160004,69.690002,68.809998,69.57,988000,69.330818
"214",69.610001,70.540001,69.339996,69.440002,959300,69.201268
"215",69.410004,69.949997,68.660004,69.900002,980000,69.659686
"216",69.559998,69.559998,68.290001,68.559998,956000,68.324289
"217",68.739998,69.860001,68.739998,69.720001,789200,69.480304
"218",69.730003,69.970001,68.720001,68.75,1037900,68.513638
"219",68.779999,70.080002,68.599998,69.879997,1185300,69.63975
"220",69.779999,70.730003,69.68,70.199997,732900,69.95865
"221",70.25,70.540001,69.699997,69.910004,726900,69.669653
"222",69.980003,70.25,68.970001,69.089996,667300,68.852465
"223",68.650002,69.339996,68.540001,68.900002,811900,68.663124
"224",68.709999,69.559998,68.419998,69.470001,841900,69.231164
"225",69.260002,70.519997,69.239998,69.860001,1380200,69.619822
"226",70.089996,70.32,69.5,70.230003,677500,69.988553
"227",70.5,71.949997,70.410004,71.889999,1228300,71.642842
"228",71.919998,72.110001,70.68,70.730003,1503800,70.486834
"229",70.760002,70.959999,69.839996,69.989998,1437900,69.749373
"230",69.300003,69.970001,67.919998,68.040001,1985000,67.80608
"231",68.489998,68.690002,67.150002,68,2061700,67.766216
"232",68.110001,68.279999,66.959999,66.989998,1539800,66.759687
"233",66.860001,67.010002,65.879997,66.709999,3288900,66.48065
"234",66.629997,66.900002,66.160004,66.510002,2470800,66.281341
"235",66.599998,66.82,65.610001,66.139999,1643900,65.91261
"236",66.25,67.139999,65.809998,67.129997,1372400,66.899205
"237",67.239998,68.449997,67.18,68.349998,1023300,68.115011
"238",68.620003,68.620003,67.699997,67.879997,1604600,67.646626
"239",67.879997,68.470001,67.800003,68.32,1528300,68.085116
"240",68.029999,68.75,67.970001,68.610001,1130800,68.37412
"241",68.629997,68.849998,68.190002,68.400002,752800,68.164843
"242",68.190002,68.489998,66.809998,66.900002,932700,66.67
"243",66.93,67.730003,66.720001,67.5,862100,67.5
"244",67.309998,67.739998,67.220001,67.5,705600,67.5
"245",67.339996,67.660004,66.620003,67.010002,1099100,67.010002
"246",67.059998,67.160004,66.459999,66.75,1028700,66.75
"247",66.699997,67.57,66.330002,67.470001,1091900,67.470001
"248",67.690002,67.690002,66.839996,67,882300,67
"249",66.839996,67.790001,66.529999,67.68,1110100,67.68
"250",67.68,68.75,67.230003,68.730003,1406900,68.730003
"251",68.75,68.75,67.519997,67.760002,1068300,67.760002
"252",67.800003,67.949997,66.970001,67.279999,1190600,67.279999
"253",67.489998,67.68,66.699997,66.739998,941900,66.739998
