"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"1",50.689999,50.889999,50.34,50.52,1514400,49.485996
"2",50.830002,50.830002,49.900002,50.27,1183800,49.436824
"3",50.200001,50.43,49.720001,49.939999,1321300,49.112292
"4",49.950001,50.43,49.889999,50.099998,1249500,49.26964
"5",50.040001,50.049999,49.59,49.75,1362800,48.925442
"6",49.68,50.689999,49.68,50.439999,1232300,49.604005
"7",50.310001,50.790001,50.130001,50.720001,1421800,49.879367
"8",50.75,50.790001,50.119999,50.77,1021000,49.928537
"9",51.09,51.27,50.700001,50.959999,1095800,50.115387
"10",51.07,51.07,50.48,50.709999,893000,49.86953
"11",50.509998,51.130001,50.16,50.220001,1157900,49.387654
"12",50.02,50.48,49.68,50.380001,780500,49.545002
"13",50.48,50.48,49.669998,50.220001,669900,49.387654
"14",50.16,50.41,49.950001,50.169998,1196800,49.338479
"15",50.23,50.43,49.950001,50.16,924900,49.328647
"16",50.240002,50.98,50.23,50.529999,1145400,49.692513
"17",50.599998,50.720001,50.189999,50.32,926300,49.485995
"18",50.419998,51.470001,50.41,51,833400,50.154725
"19",50.759998,50.939999,50.419998,50.470001,1357700,49.63351
"20",50.299999,50.43,49.77,49.889999,1199100,49.063121
"21",50.09,50.5,50.029999,50.299999,1076500,49.466326
"22",49.900002,50.450001,49.610001,50.200001,1616800,49.367985
"23",50.150002,50.650002,49.740002,50.470001,1339700,49.63351
"24",50.900002,51.099998,50.349998,50.540001,1617400,49.70235
"25",51.099998,51.919998,50.560001,51.869999,3741200,51.010304
"26",52.02,52.240002,50.84,50.880001,2130000,50.036715
"27",50.689999,50.720001,49.189999,49.310001,1917600,48.492736
"28",49.720001,49.860001,49.369999,49.68,1616600,48.856603
"29",49.580002,49.610001,49.150002,49.330002,1328300,48.512405
"30",49.630001,49.740002,49.119999,49.23,1409200,48.41406
"31",49.23,49.34,48.98,49.25,1380000,48.433729
"32",49.369999,50.150002,49.369999,50.040001,1264900,49.210637
"33",49.950001,50.48,49.630001,50.400002,2075500,49.564671
"34",50.290001,50.380001,49.580002,49.759998,1012700,48.935275
"35",49.790001,49.990002,49.560001,49.59,898900,48.768094
"36",49.880001,51.009998,49.880001,50.849998,2685900,50.007209
"37",50.52,50.779999,50.139999,50.259998,2648500,49.426988
"38",50.349998,50.360001,49.189999,49.290001,3120800,48.473067
"39",49.27,49.57,48.650002,49.029999,1716500,48.217374
"40",48.740002,49.360001,48.610001,48.77,1061900,47.961685
"41",48.57,49.48,48.57,49.150002,1081300,48.335388
"42",49.299999,49.459999,48.459999,48.580002,1353300,47.774836
"43",48.619999,48.849998,48.380001,48.830002,985800,48.020692
"44",48.860001,48.98,48.529999,48.529999,704100,47.725661
"45",48.439999,48.869999,48.330002,48.57,737100,47.764999
"46",48.669998,49.189999,48.650002,49.02,680200,48.207542
"47",49.09,49.380001,48.98,49.080002,520000,48.266549
"48",49.299999,49.48,48.509998,48.830002,898500,48.020692
"49",49.150002,49.75,49.139999,49.639999,709500,48.817265
"50",49.68,49.93,49.43,49.450001,569800,48.630415
"51",49.25,49.77,49.220001,49.66,673600,48.836934
"52",49.73,50.450001,49.599998,50.189999,649000,49.358148
"53",50.09,50.650002,49.970001,50.349998,1019800,49.515496
"54",50.560001,50.82,50.400002,50.709999,726500,49.86953
"55",50.779999,50.98,50.650002,50.709999,681000,49.86953
"56",50.720001,50.889999,50.080002,50.360001,831500,49.525333
"57",50.220001,50.400002,49.869999,50.049999,757000,49.220469
"58",50.16,50.549999,49.98,50.34,663900,49.505664
