"","DISCA.Open","DISCA.High","DISCA.Low","DISCA.Close","DISCA.Volume","DISCA.Adjusted"
"1",80.229998,80.419999,79.740002,80.36,2148200,41.062851
"2",79.910003,80.249998,78.410003,78.679995,3886000,40.204392
"3",78.570008,79.170006,78.260001,78.500005,2142100,40.112419
"4",78.510009,79.050001,77.539997,77.720001,2535900,39.713848
"5",75.939998,77.339992,75.939998,76.990008,3888800,39.340832
"6",76.769997,77.319992,76.379991,77.14001,3369200,39.417481
"7",77.319992,77.319992,76.03,76.920006,2620800,39.305062
"8",77.080011,77.399999,75.60001,75.650006,3009700,38.656109
"9",75.590007,75.680009,73.460004,73.789996,5618200,37.70567
"10",73.679994,75.630006,73.310003,74.449993,5297400,38.042919
"11",74.130006,74.960012,74.070006,74.339991,2095600,37.98671
"12",73.639994,74.949986,73.629991,74.559996,2158800,38.099129
"13",73.120002,73.879998,71.810002,72.889994,7769300,37.245781
"14",71.649997,74.150005,71.649997,74.060003,5306200,37.84364
"15",73.799999,75.069992,73.799999,74.279992,3688000,37.956051
"16",74.349995,75.440005,74.199986,75.189998,2799300,38.421051
"17",75.000012,76.07,74.930009,75.929994,2487500,38.799179
"18",75.999997,77.12001,75.979997,76.569992,1486100,39.12621
"19",76.400006,76.749997,75.560003,76.05,1736400,38.860501
"20",75.849995,76.190005,75.660009,75.849995,3367000,38.758301
"21",76.330003,78.939998,76.180002,78.709991,4050200,40.219719
"22",77.110007,78.899999,77.110007,77.940013,2760700,39.826271
"23",77.110007,78.779993,77.110007,78.589992,2022200,40.158402
"24",79.050001,79.050001,77.860007,78.220002,1587700,39.969342
"25",78.089992,78.709991,77.660002,78.540004,2611200,40.132859
"26",80.68001,85.150008,80.259994,83.500006,11390500,42.667351
"27",83.38,86.809999,82.590001,85.000007,7056400,43.433831
"28",85.359994,85.620005,84.200003,85.100005,4260600,43.484929
"29",84.809998,85.03001,84.059998,84.230007,2742700,43.040371
"30",84.639997,84.639997,83.680011,83.709992,2811600,42.774651
"31",83.969996,84.200003,82.269991,82.820009,3022600,42.319882
"32",82.97001,83.450003,82.620004,82.880008,2644100,42.350541
"33",82.920007,83.570009,82.449995,82.880008,2389100,42.350541
"34",82.949988,83.309998,82.63,83.139997,1420800,42.483391
"35",82.949988,84.110001,82.850005,82.930011,2174800,42.376091
"36",83.340001,84.489995,82.760002,83.709992,3570000,42.774651
"37",82.469995,86.240003,81.099997,85.209992,4449600,43.54113
"38",85.000007,85.239996,83.039991,83.329997,5786700,42.580479
"39",83.520006,84.550017,83.320001,84.370012,2403200,43.111912
"40",84.290006,84.459992,83.550009,84.250006,3162900,43.050591
"41",83.779995,83.779995,82.30999,83.019991,4990400,42.42207
"42",43.25,43.639999,40.650002,40.98,3848100,40.98
"43",41.060001,42.349998,40.84,42.279999,2226300,42.279999
"44",42.290001,43.07,42.290001,42.5,2938000,42.5
"45",42.529999,42.610001,41.830002,42.32,1909000,42.32
"46",40.889999,42.720001,40.889999,42.709999,2999500,42.709999
"47",42.689999,42.869999,42.509998,42.77,1438100,42.77
"48",43.119999,43.540001,42.900002,43.490002,2212900,43.490002
"49",43.84,44.470001,43.669998,44.389999,2165400,44.389999
"50",44.25,44.610001,43.900002,44.43,1812000,44.43
"51",44.290001,44.869999,44.130001,44.830002,1484200,44.830002
"52",44.73,44.860001,44.419998,44.759998,1612800,44.759998
"53",44.82,44.990002,44.290001,44.299999,1610600,44.299999
"54",44.470001,44.669998,43.73,43.91,1760800,43.91
"55",43.810001,44.439999,43.689999,44.09,1904200,44.09
"56",43.970001,44.189999,43.66,43.779999,1922500,43.779999
"57",43.700001,43.939999,43.439999,43.759998,2052000,43.759998
"58",43.75,44.130001,43.41,43.720001,1818400,43.720001
"59",43.900002,44.209999,43.860001,44.009998,2927800,44.009998
"60",44.049999,44.290001,43.240002,43.459999,2756000,43.459999
"61",43.639999,43.779999,43.110001,43.5,2226600,43.5
"62",43.52,43.709999,42.889999,43.439999,2482200,43.439999
"63",43.07,43.799999,41.860001,42.439999,4189700,42.439999
"64",42.27,42.34,40.849998,40.91,4262500,40.91
"65",40.830002,41.060001,40.380001,40.970001,2245100,40.970001
"66",40.84,41.09,40.060001,40.369999,3048600,40.369999
"67",40.439999,40.439999,39.43,39.66,3805300,39.66
"68",40.419998,40.439999,38.529999,39.349998,5221800,39.349998
"69",39.369999,39.869999,38.700001,39.459999,5549400,39.459999
"70",39.34,40.09,39.290001,39.950001,3821500,39.950001
