"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"1",88.169998,88.239998,87.75,88.239998,519500,86.354147
"2",87.809998,87.809998,87.050003,87.459999,588700,85.590818
"3",87.300003,87.440002,86.760002,87.120003,952400,85.258088
"4",87.029999,87.370003,86.720001,87.169998,772600,85.307015
"5",87.07,87.769997,86.900002,87.760002,676200,85.884409
"6",87.309998,88.099998,86.639999,87.980003,628800,86.099709
"7",87.849998,88.410004,87.139999,88.269997,584000,86.383504
"8",88.370003,88.589996,87.860001,88.379997,589300,86.491154
"9",88.510002,89.050003,88.150002,89.019997,1959100,87.117475
"10",88.919998,88.949997,88.080002,88.470001,666500,86.579234
"11",88.07,88.629997,87.32,87.370003,682700,85.502745
"12",87.360001,88.330002,87.190002,87.589996,637300,85.718037
"13",87.75,87.830002,86.519997,87.260002,616900,85.395095
"14",87.169998,88.059998,86.900002,88.040001,1092600,86.158424
"15",88.010002,88.260002,87.559998,87.82,692500,85.943125
"16",88.129997,88.690002,87.919998,87.959999,731100,86.080132
"17",88.050003,88.440002,87.68,87.839996,522400,85.962694
"18",88.190002,88.699997,87.980003,88.650002,612200,86.755388
"19",88.540001,88.540001,87.800003,88.129997,1261300,86.246497
"20",87.660004,87.949997,86.699997,87.059998,802800,85.199365
"21",87.25,87.589996,86.860001,87.120003,511900,85.258088
"22",86.099998,86.470001,85.809998,86.089996,1082800,84.250095
"23",86.019997,86.32,85.639999,85.889999,830200,84.054372
"24",86.589996,86.769997,86.220001,86.389999,989500,84.543686
"25",86.389999,86.389999,85.400002,85.650002,1160900,83.819503
"26",86.029999,86.510002,85.699997,86.260002,1053300,84.416467
"27",85.730003,85.989998,84.919998,85.010002,1200200,83.193182
"28",85.339996,85.529999,84.940002,85.190002,1254900,83.369335
"29",85.040001,86.019997,84.830002,85.82,683000,83.985868
"30",86.279999,86.550003,86.169998,86.330002,745600,84.484971
"31",86.300003,86.910004,85.879997,86.370003,921800,84.524117
"32",86.139999,86.559998,84.919998,85.019997,1522200,83.202963
"33",87.169998,90.970001,87,90.769997,3535000,88.830075
"34",90.75,91.25,90.290001,90.660004,1395500,88.722432
"35",90.489998,90.889999,89.209999,89.349998,1680700,87.440424
"36",89.510002,89.709999,88.559998,89.379997,1180800,87.469782
"37",88.970001,88.970001,87.410004,87.449997,1280500,85.581029
"38",86.970001,87.940002,86.629997,87.449997,1319900,85.581029
"39",87.690002,88.089996,86.889999,87.949997,1100200,86.070344
"40",87.519997,88.190002,86.410004,86.910004,1268300,85.052577
"41",86.410004,87.129997,86.010002,86.660004,1312600,84.80792
"42",87.160004,87.610001,86.57,86.860001,777600,85.003642
"43",87,88.230003,86.709999,88.230003,811100,86.344366
"44",88.559998,89.269997,88.389999,88.68,801600,86.784745
"45",88.43,89.139999,88.360001,88.529999,705800,86.63795
"46",89.190002,89.599998,88.910004,89.370003,571300,87.460001
"47",89.449997,90.120003,89.309998,90.040001,710500,88.11568
"48",90.379997,90.400002,89.099998,89.779999,834000,87.861235
"49",90.199997,91,90.110001,90.410004,954600,88.477775
"50",90.629997,91.510002,90.43,91.080002,1216600,89.133454
"51",91.099998,91.830002,91,91.540001,917300,89.583623
"52",91.629997,91.910004,90.959999,91.559998,676800,89.603192
"53",91.18,91.480003,90.800003,90.959999,626900,89.016016
"54",91.279999,91.489998,90.949997,91.160004,537300,89.211747
"55",91.18,91.5,90.879997,90.940002,463500,88.996447
"56",90.940002,91.169998,90.510002,90.720001,570200,88.781148
"57",90.419998,90.910004,89.790001,90.779999,377800,88.839863
"58",91.059998,91.959999,90.779999,91.5,939500,89.544477
"59",91.279999,91.839996,91.220001,91.589996,1467600,89.632549
"60",91.720001,91.959999,91.160004,91.339996,6e+05,89.898289
"61",91.370003,92.139999,91.120003,91.290001,660500,89.849083
"62",91.169998,92,90.400002,91.93,804000,90.47898
"63",91.699997,92.459999,91.580002,91.779999,734800,90.331346
"64",91.669998,92.330002,91.580002,91.709999,652900,90.262452
"65",91.610001,92.220001,91.330002,92.040001,780200,90.587245
"66",91.580002,92.330002,91.459999,92.120003,1067700,90.665984
"67",91.970001,92.120003,91.300003,91.889999,768500,90.439611
"68",91.720001,91.970001,91.360001,91.779999,714100,90.331346
"69",91.769997,92.230003,91.209999,91.900002,739000,90.449455
"70",91.809998,92.709999,91.809998,92.269997,957100,90.81361
"71",92.400002,93.559998,92.139999,93.459999,2068000,91.98483
"72",93.870003,95.400002,92.800003,93.25,2619700,91.778145
"73",92.970001,93.25,91.349998,91.629997,1026100,90.183713
"74",91.349998,91.870003,90.919998,91.459999,1059200,90.016398
"75",91.139999,91.860001,90.68,91.68,1089500,90.232926
"76",91.519997,91.519997,90.260002,90.309998,867000,88.884548
"77",90.260002,90.459999,89.660004,90.230003,876600,88.805816
"78",89.57,90.139999,89.290001,89.980003,598600,88.559762
"79",90.110001,90.160004,88.489998,88.790001,1202300,87.388543
"80",88.790001,88.839996,87.18,87.5,1395600,86.118903
"81",87.550003,87.889999,86.550003,87.260002,686800,85.882693
"82",87.57,88.110001,87.010002,88,966600,86.611011
"83",88.440002,88.879997,88.160004,88.230003,1120400,86.837384
"84",87.550003,87.580002,85.190002,85.220001,1559100,83.874892
"85",85.169998,86.5,83.739998,86.360001,1946300,84.996897
"86",86.260002,86.330002,84.019997,84.169998,1381000,82.841462
"87",84.279999,84.68,83.050003,83.580002,1178100,82.260778
"88",83.559998,84.18,81.279999,81.349998,914000,80.065973
"89",81.730003,83.360001,81.730003,82.57,1488700,81.266718
"90",81.75,81.889999,79.029999,81.309998,2124400,80.026603
"91",80.050003,83.07,80.019997,82.879997,1408100,81.571822
"92",83.650002,85.050003,83.559998,84.190002,1438900,82.86115
"93",83.690002,84.480003,83.360001,84.459999,1604800,83.126885
"94",84.879997,86.459999,84.849998,86.089996,2150800,84.731155
"95",88.029999,89.610001,86.790001,87.410004,2773000,86.030327
"96",88.550003,89.879997,88.190002,88.980003,1926200,87.575546
"97",88.739998,90.220001,88.559998,90.120003,921300,88.697552
"98",89.879997,89.879997,89.110001,89.550003,1090600,88.136549
"99",90.25,91.589996,89.68,91.370003,2600800,89.927822
"100",91.610001,91.769997,90.57,91.470001,1456600,90.026242
"101",90.919998,92.589996,90.57,92.07,772100,90.61677
"102",92.800003,93.709999,92.610001,93.639999,1053700,92.161989
"103",93.75,94.389999,93.480003,93.610001,847200,92.132464
"104",93.360001,93.589996,92.779999,93.150002,704900,91.679725
"105",93.860001,93.959999,93.169998,93.269997,1156300,91.797826
"106",93.580002,94.589996,93.279999,94.400002,1106600,92.909995
"107",94.529999,95.32,94.129997,95.010002,775400,93.510368
"108",95.199997,95.93,94.769997,95.879997,1169300,94.366631
"109",95.730003,96.25,95.489998,95.830002,856500,94.317424
"110",95.5,96.410004,95.290001,96.209999,1197700,94.691424
"111",96.18,96.550003,95.510002,95.860001,805700,94.34695
"112",95.5,96.510002,95.5,95.669998,650000,94.159946
"113",95.580002,95.599998,94.900002,95.18,998300,93.677682
"114",95.300003,96.379997,94.989998,95.120003,1104800,93.618632
"115",95.129997,95.18,94.269997,94.879997,1545300,93.382415
"116",94.470001,95.660004,94.370003,95.199997,682500,93.697363
"117",96.440002,96.529999,95.18,95.309998,1318900,93.805628
"118",95.489998,95.889999,95.040001,95.260002,990400,93.756422
"119",95.529999,95.940002,94.860001,95.309998,1547300,93.805628
"120",95.269997,95.300003,94.25,94.769997,650600,93.27415
"121",94.860001,94.910004,93.830002,94.440002,583900,92.949365
