"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"1",146.130005,147.070007,145.639999,146.509995,409900,145.439456
"2",145.490005,145.75,144.699997,145.639999,316400,144.575818
"3",145.639999,146.020004,144.910004,145.589996,513500,144.52618
"4",145.589996,146.330002,145.130005,146.169998,431000,145.101944
"5",146.070007,146.860001,145.929993,146.160004,560300,145.092022
"6",145.809998,146.830002,145.720001,146.589996,367000,145.518873
"7",146.869995,147.179993,145.639999,147.039993,360800,145.965582
"8",150.449997,151.449997,146.460007,147.419998,299800,146.34281
"9",148.070007,149,146.830002,148.940002,695200,147.851708
"10",148.710007,149.119995,147.449997,147.610001,398500,146.531424
"11",147.080002,148.759995,146.259995,146.449997,311200,145.379897
"12",146.490005,147.059998,145.899994,146.419998,271200,145.350117
"13",146.710007,146.830002,145.210007,145.979996,188000,144.91333
"14",145.820007,147.320007,145.820007,147.279999,981300,146.203834
"15",146.979996,147.179993,145.869995,146.009995,527700,144.943109
"16",146.039993,146.740005,145,146.389999,420800,145.320337
"17",145.970001,146.649994,145.479996,145.600006,414400,144.536117
"18",145.970001,146.929993,145.679993,146.429993,298200,145.360038
"19",146.479996,146.520004,145.350006,145.75,323500,144.685014
"20",145.869995,146.259995,144.600006,145.259995,338100,144.198589
"21",145.160004,145.919998,144.360001,145.259995,270300,144.397398
"22",144.179993,144.860001,143.720001,143.979996,252800,143.125001
"23",143.910004,144.809998,143.039993,144.699997,209800,143.840726
"24",145.25,145.899994,144.820007,144.979996,426200,144.119062
"25",144.809998,145.690002,143.979996,144.690002,563800,143.830791
"26",145.139999,145.389999,143.740005,144.580002,299900,143.721444
"27",143.350006,144,142.320007,142.5,803000,141.653793
"28",142.929993,143.720001,142,143.039993,741300,142.19058
"29",142.869995,143.740005,142.490005,143.320007,246600,142.468931
"30",144.240005,144.460007,143.899994,144.110001,268000,143.254233
"31",144.050003,144.160004,142.759995,143.100006,199700,142.250237
"32",143.309998,143.649994,142.710007,142.960007,286800,142.111069
"33",142.850006,143.259995,142.199997,142.759995,370600,141.912244
"34",142.850006,148.440002,142.529999,148.259995,1179000,147.379583
"35",150.779999,150.779999,146.710007,146.899994,585700,146.027659
"36",147.149994,147.710007,145.470001,147.570007,490400,146.693694
