"","BHI.Open","BHI.High","BHI.Low","BHI.Close","BHI.Volume","BHI.Adjusted"
"1",71.629997,71.82,71.260002,71.339996,2209900,70.559514
"2",71.230003,71.449997,70.580002,70.940002,2192800,70.163897
"3",71.339996,71.75,70.389999,70.459999,3222600,69.689145
"4",70.900002,71.169998,70.260002,71.150002,2162800,70.371598
"5",71.099998,71.330002,70.32,70.800003,1670600,70.025429
"6",70.5,71.519997,70.230003,71.349998,2310400,70.569407
"7",71.580002,72.510002,71.080002,72.470001,2744900,71.677157
"8",72.129997,73,71.900002,73,2750300,72.201357
"9",73.550003,74.989998,73.339996,74.629997,4315800,73.813522
"10",74.919998,75.040001,73.190002,73.690002,4269000,72.883811
"11",73.639999,73.940002,71.300003,71.449997,3616100,70.668312
"12",71.540001,73.029999,71.5,72.849998,4116500,72.052997
"13",73.199997,73.550003,72.470001,73.099998,2802400,72.300262
"14",72.919998,73.989998,72.669998,73.959999,3588600,73.150854
"15",73.980003,74.5,73.330002,74.449997,2573000,73.635491
"16",74.839996,75.160004,74.5,74.529999,3517800,73.714617
"17",75.07,75.639999,74.730003,75.349998,3658000,74.525646
"18",75.379997,75.550003,74.559998,75.059998,1880500,74.238818
"19",74.620003,74.919998,74.089996,74.300003,2297400,73.487138
"20",74.019997,74.400002,73.150002,73.68,3649100,72.873918
"21",74,74.300003,73.459999,74.099998,2497700,73.289321
"22",73.410004,73.800003,72.559998,73.400002,2942500,72.596983
"23",73.25,73.389999,72.440002,72.699997,2845100,71.904636
"24",73.269997,73.660004,72.860001,73.419998,3190200,72.61676
"25",73.260002,74.029999,72.540001,72.82,4193200,72.023326
"26",73.529999,74.459999,72.82,74.389999,5678700,73.576149
"27",74.150002,75,72.129997,72.540001,4950900,71.746391
"28",72.709999,74,72.349998,73.279999,3736600,72.478293
"29",73.239998,74.419998,73.169998,74.330002,4230200,73.516808
"30",74.910004,75.150002,74.519997,74.690002,3317700,73.87287
"31",74.699997,75.019997,74.099998,74.639999,2797800,73.823414
"32",74.839996,74.959999,73.82,73.959999,2666400,73.150854
"33",73.690002,74.269997,73.220001,73.419998,2413600,72.61676
"34",73.400002,73.400002,72.510002,72.639999,1931000,71.845295
"35",72.43,72.830002,71.940002,72.059998,2914500,71.271639
"36",72.519997,72.760002,70.470001,70.809998,4054800,70.035314
"37",70.139999,70.18,68.040001,68.769997,5129700,68.181321
"38",68.400002,69.769997,67.779999,68.5,4142300,67.913636
"39",68.620003,69.199997,67.769997,68.949997,5258500,68.359781
"40",68.599998,68.949997,67.129997,67.93,5273900,67.348515
"41",67.379997,69.099998,67.330002,68.169998,2969000,67.586459
"42",68.589996,68.830002,67.309998,67.589996,3508900,67.011422
"43",67.940002,68.400002,67.639999,68.330002,2727600,67.745093
"44",68.82,69.489998,68.589996,68.610001,2218300,68.022695
"45",68.290001,68.830002,67.949997,68.489998,1892300,67.903719
"46",68.660004,69.220001,68.459999,68.900002,1627100,68.310213
"47",69.07,69.139999,66.75,66.82,3192900,66.248016
"48",66.900002,67.739998,66.75,67.660004,3178600,67.08083
"49",68.080002,68.419998,67.690002,67.879997,2962500,67.29894
"50",68,69.040001,67.809998,68.82,3720300,68.230896
"51",68.720001,69.339996,68.349998,69.260002,2689300,68.667132
"52",69.300003,69.339996,68.300003,68.690002,3147000,68.102012
"53",68.57,68.760002,67.779999,68.080002,2624900,67.497233
"54",68.43,68.980003,68.120003,68.870003,2992200,68.280471
"55",68.760002,70.150002,68.760002,69.639999,3635100,69.043877
"56",69.970001,69.970001,69.260002,69.449997,2716700,68.855501
"57",69.379997,69.489998,68.779999,69.209999,2293400,68.617557
"58",69.220001,69.470001,68.669998,69.139999,2845900,68.548157
"59",69.260002,69.599998,67.559998,68.32,3854600,67.735176
"60",68.900002,69.620003,68.5,69.010002,4182600,68.419272
"61",70.389999,70.510002,67.5,67.82,3524200,67.239456
"62",67.739998,68.610001,67,68.510002,2530400,67.923552
"63",67.900002,68.110001,66.93,67.25,2387400,66.674336
"64",67.25,67.940002,66.480003,66.839996,2620400,66.267842
"65",66.790001,67.449997,66.209999,67.269997,3023700,66.694161
"66",66.669998,67.889999,66.279999,67.699997,2966100,67.120481
"67",67.370003,67.599998,66.220001,66.489998,2443700,65.920839
"68",66.300003,67,65.900002,66.720001,2855500,66.148874
"69",66.790001,68.610001,66.529999,67.949997,3818400,67.368341
"70",68.57,68.599998,67.370003,67.589996,2733600,67.011422
"71",67.830002,68.279999,67.349998,67.900002,2931400,67.318773
"72",68.290001,68.5,67.480003,67.739998,3000300,67.160139
"73",67.589996,67.589996,65.599998,66.150002,3055700,65.583753
"74",66.080002,66.660004,65.720001,66.290001,3094300,65.722554
"75",66.150002,67.220001,64.959999,66.529999,4151200,65.960498
"76",66.68,66.690002,64.769997,65.489998,4456200,64.929399
"77",65.389999,66.739998,65.089996,66.339996,3547400,65.772122
"78",65.360001,66.300003,65,66.160004,4042600,65.59367
"79",66,66.949997,64.470001,65.059998,4417400,64.50308
"80",64.940002,65.690002,63.009998,63.43,4792500,62.887036
"81",63.049999,63.110001,60.57,62.110001,6427500,61.578335
"82",62.400002,62.549999,61.099998,61.689999,3731600,61.161928
"83",61.810001,62.779999,61.380001,61.799999,3610600,61.270987
"84",61.599998,62.830002,61.23,61.380001,3235600,60.854584
"85",61.130001,61.700001,58.990002,61.599998,5939100,61.072699
"86",61.16,61.209999,58.23,58.599998,5984700,58.098379
"87",58.490002,58.490002,55.919998,56.68,7434800,56.194816
"88",56.509998,57.330002,53.400002,53.419998,8844000,52.96272
"89",53.73,54.52,52.040001,52.470001,7459800,52.020855
"90",52.380001,54,50.990002,53.630001,9336800,53.170925
"91",48.150002,52.5,47.509998,52.009998,19830400,51.56479
"92",53.349998,54.869999,52.630001,53.130001,10908400,52.675205
"93",53.169998,53.75,51.849998,52.650002,6407600,52.199314
"94",53.27,54.290001,53.18,54.23,5623400,53.765787
"95",54.34,54.59,52.299999,52.34,6621100,51.891967
"96",53.299999,54.830002,52.82,54.119999,6336200,53.656728
"97",54.07,54.07,52.66,53.490002,4067600,53.032124
"98",52.540001,52.540001,50.689999,51.130001,6197800,50.692325
"99",51.450001,52.330002,51.139999,52.099998,4986500,51.654019
"100",52.709999,53.299999,52.009998,52.669998,5266200,52.21914
"101",51.98,52.869999,51.82,52.060001,5599900,51.781496
"102",51.57,53.02,51.389999,52.959999,5973500,52.676679
"103",53,53.619999,51.650002,51.900002,7470800,51.622352
"104",51.07,51.349998,49.450001,50.02,9165000,49.752409
"105",51.060001,51.919998,50.400002,51.349998,5860700,51.075292
"106",50.810001,51.540001,50.119999,51.490002,5155600,51.214546
"107",51.630001,53.299999,51.59,52.299999,5062000,52.02021
"108",52.950001,53.580002,51.389999,51.639999,4828000,51.363741
"109",51.919998,52,50.740002,51.48,3985000,51.204597
"110",50.939999,52.049999,50.630001,50.98,4183600,50.707272
"111",50.68,61.759998,48.650002,58.75,19316200,58.435705
"112",61.950001,62.040001,58,59.889999,43896000,59.569606
"113",66.540001,67.809998,64.919998,65.230003,69687200,64.881043
"114",66.019997,66.5,63.509998,63.549999,26338600,63.210026
"115",63.57,63.84,62.299999,63.509998,18241600,63.170239
"116",63.57,64.620003,63.110001,64.410004,10129100,64.06543
"117",65.559998,66.279999,64.889999,65.830002,13583800,65.477831
"118",65.059998,66.110001,64.540001,64.720001,8919800,64.373769
"119",65.099998,65.379997,63.049999,63.200001,6627200,62.8619
"120",62.740002,63.209999,62.029999,62.580002,5260400,62.245218
"121",59.25,59.369999,56.040001,57,8822500,56.695067
"122",56.5,57.25,55.57,56.509998,10837100,56.207687
"123",56.73,57.290001,56.060001,56.75,9830100,56.446405
"124",57.810001,58.669998,57.27,57.529999,8447800,57.222231
"125",56.970001,58.400002,56.73,57.610001,5719600,57.301805
"126",57.77,57.919998,56.43,57.02,4311700,56.714961
"127",56.220001,56.630001,55.02,55.240002,8272300,54.944484
"128",54.560001,56.75,54.419998,56.709999,9075800,56.406618
"129",55.599998,56.150002,55.150002,55.34,9138200,55.043948
"130",55.400002,56.560001,55.259998,55.77,4410800,55.471648
"131",55.009998,55.82,54.689999,54.990002,5846800,54.695822
"132",55.639999,56.09,54.810001,54.93,5332500,54.636142
"133",54.470001,57.029999,54.16,55.150002,6084400,54.854966
"134",55.049999,57.5,54.52,56.349998,8720800,56.048543
"135",57.41,57.82,54.830002,55.77,9241700,55.471648
"136",56.220001,57.57,56,57.150002,8514800,56.844266
"137",56.919998,57.029999,55.869999,56.060001,4514000,55.760097
"138",56.18,56.59,55.77,56.439999,4887600,56.138062
"139",56.09,56.68,55.610001,56.34,2094800,56.038598
"140",56.84,57.009998,56.119999,56.330002,2180900,56.028653
"141",56.279999,57.299999,56.279999,56.700001,2804200,56.396673
"142",57.09,57.189999,56.27,56.290001,2947700,55.988867
"143",55.759998,56.630001,55.150002,56.07,3202200,55.770042
"144",55.869999,56.790001,55.689999,56.169998,2787600,55.869506
"145",55.330002,55.66,54.959999,55.16,5565300,54.864911
"146",55.040001,55.799999,54.73,54.990002,5931400,54.695822
"147",55.66,56.48,55.48,56.470001,3921000,56.167904
"148",57.049999,57.200001,56.32,57.029999,4396200,56.724906
"149",57.259998,57.310001,56.360001,56.470001,2787500,56.167904
"150",55.290001,55.610001,54.860001,55.09,5777500,54.795285
"151",55.529999,56.220001,55.130001,55.240002,5763700,54.944484
"152",54.68,55.41,53.720001,54.810001,7385400,54.516785
"153",54.810001,55.91,53.48,53.529999,5278000,53.24363
