"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"1",109.389999,109.75,108.410004,108.690002,2174200,107.949129
"2",108.25,110.910004,108.139999,110.699997,2683700,109.945423
"3",111.459999,113.019997,111.220001,111.629997,3799500,110.869084
"4",111.769997,114.059998,110.529999,114.019997,3126400,113.242792
"5",115.209999,115.209999,113.019997,114.029999,4075200,113.252726
"6",113.949997,113.949997,111.260002,112.389999,5247000,111.623906
"7",112.580002,113.839996,111.739998,113.540001,2912400,112.766068
"8",113.139999,115.849998,112.519997,115.800003,3865900,115.010665
"9",117.050003,118.389999,116.150002,117.980003,5556100,117.175806
"10",118.519997,118.889999,116.949997,117.410004,3328800,116.609692
"11",117.18,117.449997,112.239998,113.019997,4574300,112.249609
"12",113.32,116.25,113.32,116.019997,3456700,115.229159
"13",115.68,115.82,114.07,115.419998,2355100,114.633251
"14",115.230003,115.93,114.709999,115.839996,2801600,115.050386
"15",116.080002,117.190002,115.849998,116.860001,2342000,116.063438
"16",117.440002,117.940002,116.019997,116.550003,2793600,115.755553
"17",116.860001,117.589996,115.540001,116.230003,2649800,115.437735
"18",116.269997,117.019997,115.110001,116.75,1677900,115.954187
"19",116.400002,116.5,115.419998,115.730003,1574500,114.941143
"20",115.370003,116.550003,115.129997,115.980003,2511100,115.189439
"21",116.099998,116.629997,115.190002,116.559998,1938800,115.765479
"22",114.879997,115.879997,113.760002,114.959999,2212700,114.176387
"23",115.739998,115.739998,113.389999,113.650002,2482100,112.875319
"24",114.650002,116.050003,114.309998,115.690002,2956100,114.901415
"25",114.910004,115.620003,112.639999,113.440002,3367700,112.788622
"26",114.620003,117.279999,114.169998,117.099998,3181000,116.427602
"27",117.480003,118.809998,115.349998,115.550003,2286700,114.886506
"28",115.360001,116.389999,114.339996,116.040001,2605200,115.373691
"29",115.860001,116.43,115.120003,116.150002,1595000,115.48306
"30",116.75,117.620003,115.800003,116.550003,2600600,115.880764
"31",116.699997,116.699997,115.300003,115.949997,3621600,115.284204
"32",116.480003,116.93,115.699997,116.199997,2864400,115.532768
"33",115.580002,115.860001,114.400002,114.82,1981100,114.160695
"34",114.82,115.019997,113,113.389999,2993500,112.738906
"35",113.269997,115.330002,113.190002,114.239998,2502800,113.584023
"36",114.830002,115.440002,113.360001,113.629997,1778300,112.977526
"37",112.839996,113.089996,109.370003,109.440002,4162500,108.81159
"38",108.650002,109.809998,107.160004,108.040001,3966400,107.419627
"39",108.739998,112.120003,108.080002,111.809998,3002600,111.167976
"40",111.809998,111.809998,107.510002,108.629997,4848700,108.006236
"41",107.029999,108.510002,105.629997,106.639999,5007700,106.027665
"42",107.629997,107.629997,105.400002,106.059998,2977200,105.450993
"43",106.07,107.900002,106.07,107.779999,2354100,107.161118
"44",108.720001,109,107.919998,108.300003,2760600,107.678137
"45",107.889999,108.489998,106.339996,106.690002,3265800,106.077381
"46",107.660004,107.879997,106.220001,106.349998,2337400,105.739329
"47",107.220001,107.230003,103.57,103.93,3490700,103.333227
"48",103.970001,106.419998,103.669998,106.089996,4557700,105.48082
"49",106.650002,106.910004,104.660004,105.43,3275500,104.824614
"50",106.099998,107.349998,105.660004,107.029999,3145300,106.415425
"51",107.089996,107.449997,106.099998,107.279999,2185900,106.663989
"52",107.5,107.519997,106.019997,107.190002,2138800,106.57451
"53",106.589996,106.839996,105.610001,106.269997,2075400,105.659787
"54",106.93,108.25,106.599998,107.940002,1932600,107.320203
"55",108.860001,110.470001,108.5,109.400002,3283200,108.771819
"56",109.43,109.449997,108.07,108.610001,1996700,107.986354
"57",108.32,109.080002,108.099998,108.389999,1756800,107.767616
"58",108.800003,109.980003,108.370003,109.879997,1802700,109.249058
"59",109.57,109.849998,107.080002,107.709999,2755100,107.09152
"60",108.849998,109.080002,107.459999,107.739998,1479100,107.121347
"61",107.760002,107.989998,103.970001,104.610001,3937200,104.009322
"62",104.349998,105.290001,103.050003,105.18,3235500,104.576049
"63",104.07,104.07,100.75,101.410004,5549200,100.8277
"64",101.629997,102.489998,100.82,101.309998,3636000,100.728268
"65",100.93,102.139999,99.330002,102.010002,3713700,101.424253
"66",100.93,103.129997,100.5,103.059998,4596100,102.46822
"67",102.5,102.57,101.029999,101.32,3699800,100.738213
"68",100.800003,102.410004,100.120003,101.910004,3055400,101.324829
"69",102.330002,105.900002,101.75,105.220001,4116100,104.61582
"70",105.650002,106.089996,104.519997,105.190002,3689600,104.585994
"71",105.82,105.989998,104.209999,104.980003,3003200,104.377201
"72",105.239998,105.900002,103.959999,104.370003,6346200,103.770703
"73",103.82,103.860001,100.57,101.739998,4437000,101.155799
"74",101.550003,101.629997,100.449997,100.839996,5577300,100.260966
"75",100.940002,102.870003,99.550003,102.139999,4584400,101.553504
"76",102.639999,102.699997,100.139999,100.360001,3588900,99.783726
"77",100.370003,102.410004,100.209999,101.879997,3327500,101.294995
"78",100.800003,102.059998,100.099998,101.870003,4300400,101.285058
"79",101.849998,101.849998,97.449997,99.019997,6422700,98.451417
"80",99.209999,99.730003,96.150002,96.849998,5856700,96.293879
"81",95.760002,97.639999,94.269997,97.059998,5381500,96.502672
"82",97.720001,97.720001,95.57,96.57,4433900,96.015488
"83",96.839996,97,94.360001,95.089996,5114400,94.543983
"84",95.019997,96.019997,93.57,93.610001,5515800,93.072485
"85",93.309998,94.690002,90.800003,94.559998,7723600,94.017027
"86",93.639999,93.730003,90.879997,91.959999,9684400,91.431958
"87",91.07,91.949997,88.610001,89.830002,9915400,89.314191
"88",89.25,90.300003,83.580002,83.760002,9446700,83.279046
"89",85.400002,86.879997,83.5,83.839996,12228000,83.358581
"90",82.029999,88.529999,81.07,88.169998,11107300,87.839731
"91",85.190002,92.519997,85.190002,91.269997,10111100,90.928118
"92",94.199997,95.550003,90.260002,91.220001,8665500,90.87831
"93",91.629997,93.129997,90.769997,92.760002,4420600,92.412542
"94",94.349998,96.150002,94.269997,96.029999,6298800,95.67029
"95",96.760002,97,91.980003,92.07,7672400,91.725124
"96",94.239998,94.839996,92.400002,93.400002,9219300,93.050144
"97",92.949997,93.019997,90.199997,92.099998,5417400,91.755011
"98",90.279999,90.279999,86.949997,88.43,7433800,88.09876
"99",88.809998,91.910004,87.550003,91.5,6123200,91.15726
"100",94.239998,95.32,91.760002,93.129997,5926100,92.781151
"101",92.57,93.290001,91.029999,92.220001,3743400,91.874564
"102",91.949997,95.099998,90.739998,95.050003,5495200,94.693965
"103",95.050003,96.809998,92.889999,93.32,7006200,92.970442
"104",89.669998,90.989998,89,90.279999,8208000,89.941828
"105",95.5,97.470001,93.559998,96.099998,11401900,95.740028
"106",95.190002,99.18,95.110001,98.970001,8202200,98.59928
"107",99.720001,101.580002,99.269997,99.550003,7009200,99.177109
"108",101.010002,102.25,97.989998,98.5,5947800,98.131039
"109",98.5,99.07,97.110001,98.75,4274300,98.380103
"110",98.68,99.349998,97.349998,97.559998,3433600,97.194558
"111",96.5,97.440002,94.470001,95.849998,5859100,95.490964
"112",96.32,98.360001,96.199997,98.160004,3992500,97.792316
"113",97.010002,97.379997,95.730003,96.349998,4349400,95.989091
"114",96.32,98.260002,96.089996,97.669998,3917200,97.304146
"115",98.75,98.800003,96.779999,98.330002,3830800,97.961678
"116",98.449997,100.290001,98.339996,99.440002,4623400,99.067521
"117",102.489998,103.040001,101.290001,101.739998,6378000,101.358901
"118",101.18,101.739998,99.25,99.559998,4110600,99.187066
"119",100.279999,100.32,96.720001,96.739998,5591700,96.37763
"120",96.620003,96.629997,93.860001,94.07,5346100,93.717633
"121",87.160004,88.43,85.190002,86.720001,9472100,86.395166
"122",85.519997,87.580002,83.660004,87.239998,10063500,86.913215
"123",87.379997,91.330002,86.870003,90.300003,10146400,89.961758
"124",91.709999,93.599998,90.800003,91.800003,6237200,91.456139
"125",90.790001,93,89.75,93,5108100,92.651641
"126",91.910004,92.050003,89.779999,90.75,7572500,90.410069
"127",89.080002,89.5,87.510002,88.190002,8672200,87.859661
"128",87,91.120003,86.769997,89.150002,8197500,88.816064
"129",86.379997,87.260002,85.540001,86.790001,8821700,86.464903
"130",87.190002,89.760002,86.129997,86.860001,5808100,86.534641
"131",85.309998,88.419998,85.099998,86.370003,6606200,86.046478
"132",87.089996,88.160004,84.949997,85.339996,6867000,85.02033
"133",83.860001,89.389999,83.779999,85.470001,8303700,85.149848
"134",87.610001,92.209999,86.110001,91.139999,10269500,90.798608
"135",93.830002,94.389999,88.900002,92.449997,8888600,92.103698
"136",93.629997,95.089996,92.449997,95.019997,7853400,94.664071
"137",94.209999,95.620003,93.68,95.059998,6746600,94.703922
"138",95.739998,97.269997,94.540001,96.410004,4243900,96.048872
"139",95.610001,95.639999,92.510002,94.050003,3012800,93.697711
"140",94.900002,95.199997,93.330002,93.82,2210600,93.468569
"141",94.550003,95.209999,93.449997,94.330002,3397000,93.976661
"142",93.5,94.330002,91.889999,92.699997,3379400,92.352762
"143",91.970001,93.550003,90.75,92.07,3329200,91.725124
"144",91.010002,92.989998,90.360001,92.239998,3462300,91.894486
"145",89.959999,90.779999,86.019997,86.68,6173600,86.355315
"146",85.839996,86.599998,82.760002,84.209999,8142000,83.894566
"147",85.18,85.730003,82.720001,83.68,5950300,83.366552
"148",84.720001,87.650002,84.07,86.879997,5836500,86.554563
"149",87.019997,88.029999,86.010002,87.459999,4027200,87.132392
"150",85.110001,85.349998,83.199997,84.510002,4810300,84.193445
"151",84.970001,86.660004,84.050003,85.059998,5444200,84.74138
"152",84.07,88.089996,83.669998,87.739998,6698200,87.58433
"153",89.040001,89.5,86.449997,86.529999,4941700,86.376478
"154",86.860001,90.540001,86.540001,90.309998,5483500,90.14977
"155",89.089996,89.779999,87.519997,89.330002,5969500,89.171513
"156",90.589996,91.400002,89.68,90.540001,4911900,90.379366
"157",91.379997,91.379997,88.580002,90.360001,4471600,90.199685
"158",90.07,92.519997,89.699997,90.790001,4433700,90.628922
"159",91.230003,92.389999,90.150002,92.330002,3431100,92.166191
"160",91.940002,94.410004,91.120003,93,5283000,92.835
"161",92.330002,92.690002,87.760002,88.099998,5772900,87.943692
"162",89.120003,89.410004,86.760002,88.910004,5188700,88.75226
"163",88.160004,90.07,87.400002,89.029999,7469900,88.872042
"164",90.989998,92.57,89.529999,92.519997,5615500,92.355848
"165",94.720001,97.879997,94.650002,96.309998,8906600,96.139125
"166",94.400002,97.529999,93.540001,95.190002,9869100,95.021117
"167",95.709999,97.290001,95.160004,96.190002,5596600,96.019343
"168",96.989998,97.209999,95.57,95.790001,5177000,95.620051
"169",96.599998,97.230003,95.779999,95.949997,4249100,95.779763
"170",96.650002,96.690002,93.839996,95.260002,4308300,95.090993
"171",93.839996,94.089996,92.150002,93.199997,6332300,93.034642
"172",94.959999,95.239998,93.470001,94.800003,3944500,94.63181
"173",95.940002,96.970001,95.25,96.919998,4158500,96.748043
"174",96.080002,96.669998,95.650002,96.489998,4234300,96.318806
