"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"1",79.449997,79.940002,78.760002,79.160004,1284700,78.12126
"2",78.629997,79.209999,78.349998,79.169998,1262000,78.131123
"3",78.879997,79.209999,78.699997,78.910004,1375600,77.87454
"4",79.07,79.279999,78.739998,78.989998,1006400,77.953485
"5",78.550003,79.110001,78.519997,78.910004,1274900,77.87454
"6",78.669998,79.129997,78.610001,78.839996,1394400,77.805451
"7",78.629997,79.440002,78.629997,79.330002,1358900,78.289027
"8",81.989998,81.989998,78.839996,79.290001,1082400,78.249551
"9",79.720001,79.720001,78.809998,79.5,1868800,78.456795
"10",79.300003,79.699997,79.169998,79.669998,1000100,78.624562
"11",79.690002,80.93,79.389999,80.550003,1769500,79.493019
"12",80.040001,81.18,80.029999,81.120003,1158700,80.055539
"13",81.25,81.25,80.209999,80.959999,1276600,79.897635
"14",80.589996,81.370003,80.589996,81.32,1758100,80.252912
"15",80.980003,81.209999,80.410004,80.529999,1516700,79.473278
"16",80.5,81.550003,80.470001,81.279999,1360800,80.213436
"17",80.910004,81.489998,80.849998,81.300003,926700,80.233178
"18",81.199997,82.459999,81.080002,82.230003,1036200,81.150975
"19",81.290001,81.940002,80.800003,81.220001,1393600,80.154226
"20",80.790001,81.389999,80.790001,81.150002,1594000,80.272928
"21",81.349998,81.669998,80.730003,81.059998,922600,80.183897
"22",80.110001,80.769997,80.059998,80.419998,1078100,79.550815
"23",80.690002,80.779999,80.169998,80.449997,1044700,79.580489
"24",80.879997,81.559998,80.489998,81.330002,933000,80.450983
"25",81.389999,81.720001,80.959999,81.169998,1128900,80.292709
"26",81.239998,81.900002,81.209999,81.529999,968900,80.648818
"27",81.120003,81.620003,80.730003,80.779999,1191000,79.906924
"28",81.25,81.959999,80.800003,81.919998,1108100,81.034603
"29",81.650002,81.93,80.830002,81.43,1107700,80.549901
"30",81.68,82.949997,81.669998,82.129997,993600,81.242332
"31",81.970001,82.300003,81.690002,82.029999,829500,81.143414
"32",82.059998,83.089996,81.989998,82.589996,1354500,81.697359
"33",82.339996,82.839996,82.239998,82.639999,513500,81.746822
"34",82.510002,83.080002,82.18,82.849998,530100,81.954551
"35",82.989998,83.489998,82.519997,82.68,1128400,81.786391
"36",83.089996,83.540001,82.489998,83.290001,935600,82.389798
"37",83.019997,83.190002,81.879997,81.970001,1638500,81.084065
"38",79.669998,82.139999,79.669998,80.559998,1226400,79.689301
"39",80.620003,81.160004,80.260002,81.019997,871500,80.144328
"40",80.919998,81.290001,80.209999,80.449997,819500,79.580489
"41",80.389999,81.150002,80.110001,80.959999,869000,80.084979
"42",81.139999,81.760002,80.580002,80.839996,735200,79.966274
