"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"1",49.139999,49.490002,49.049999,49.419998,3735300,47.952679
"2",49.349998,49.720001,49.189999,49.459999,1431900,47.991492
"3",49.220001,49.549999,48.970001,49.16,1163900,47.7004
"4",49.310001,49.529999,49,49.139999,1003500,47.680993
"5",48.91,49.209999,48.610001,48.869999,1562800,47.419009
"6",48.759998,49.419998,48.759998,49.34,963800,47.875056
"7",49.389999,49.439999,48.650002,49.209999,1305900,47.748915
"8",49.32,49.32,48.880001,49.189999,2761500,47.729508
"9",49.310001,49.459999,49.150002,49.360001,2221300,47.894463
"10",49.360001,49.669998,49.130001,49.48,1005300,48.010899
"11",49.470001,49.59,48.700001,48.759998,1761000,47.312275
"12",48.68,48.900002,48.369999,48.84,839400,47.389901
"13",48.830002,48.869999,48.029999,48.439999,959100,47.001776
"14",48.27,48.700001,48.169998,48.66,834500,47.215245
"15",48.650002,48.900002,48.57,48.810001,914200,47.360793
"16",49.119999,50.040001,48.73,49.77,1758900,48.292289
"17",49.639999,49.869999,49.5,49.599998,800200,48.127335
"18",49.689999,49.950001,49.68,49.830002,497500,48.350509
"19",49.869999,49.950001,49.389999,49.459999,1638000,47.991492
"20",49.459999,49.560001,49.099998,49.299999,1088100,47.836243
"21",49.369999,49.650002,49.189999,49.639999,1006700,48.166148
"22",48.939999,49.639999,48.650002,49.27,1126200,47.807135
"23",49.200001,49.310001,48.790001,49.080002,1238900,47.622777
"24",49.389999,49.5,48.970001,49.080002,1036800,47.622777
"25",49.16,49.23,48.240002,48.599998,1459100,47.157026
"26",48.830002,49.110001,48.720001,48.75,1200000,47.302573
"27",48.57,48.860001,48.139999,48.150002,907400,46.720389
"28",48.400002,48.849998,48.349998,48.540001,1196200,47.098809
"29",48.32,48.75,48.32,48.549999,730300,47.108511
"30",48.84,49.049999,48.610001,48.880001,1022400,47.428715
"31",48.599998,48.619999,47.049999,47.110001,1682700,45.711267
"32",47.200001,47.52,47.110001,47.189999,1397200,45.78889
"33",46.810001,46.959999,45.369999,45.900002,3239900,44.537194
"34",45.98,46.169998,45.27,46.130001,1857700,44.760364
"35",46.209999,46.68,46.119999,46.25,1610600,44.8768
"36",46.470001,46.610001,46.049999,46.25,1191700,44.8768
