"","TWC.Open","TWC.High","TWC.Low","TWC.Close","TWC.Volume","TWC.Adjusted"
"1",143.429993,144.160004,142.570007,143.720001,1017500,140.245006
"2",143.270004,143.389999,142.300003,143.009995,1685600,139.552167
"3",142.729996,143.020004,141.970001,142.720001,1367500,139.269185
"4",142.479996,142.880005,141.610001,142.259995,957100,138.820301
"5",141.800003,142.300003,141.410004,141.880005,1119000,138.449499
"6",141.600006,141.800003,141.020004,141.399994,960800,137.981094
"7",141.360001,143,140.850006,142.850006,1136500,139.396047
"8",142.889999,143.740005,142.509995,143.720001,1281500,140.245006
"9",144.300003,144.490005,142.75,143.25,2120500,139.786369
"10",142.839996,143.25,142.240005,142.470001,1143900,139.02523
"11",142.029999,144.139999,142,143.300003,1871300,139.835163
"12",142.929993,145.740005,142.710007,145.210007,2136500,141.698985
"13",145.160004,146.600006,144.759995,146.600006,1273500,143.055376
"14",145.860001,148.199997,145.860001,147.839996,1449400,144.265385
"15",147.710007,147.839996,146.729996,147.300003,1258600,143.738448
"16",147.669998,149.210007,147.179993,148.440002,2431300,144.850883
"17",148.330002,149.539993,147.75,149.490005,1664700,145.875498
"18",149.669998,150.509995,149.029999,150.509995,1155200,146.870825
"19",149.199997,149.970001,147.740005,148.369995,1045400,144.782569
"20",148.110001,148.479996,145.690002,145.720001,2201000,142.196649
"21",146.300003,149.789993,146.110001,149.770004,2078200,146.148727
"22",148.339996,149.949997,148.240005,148.550003,1490900,144.958224
"23",148.070007,149.320007,147.979996,148.880005,1189400,145.280247
"24",149.229996,150.669998,148.600006,150.089996,1585200,146.460982
"25",149.639999,150.259995,148.809998,149.309998,1573700,145.699843
"26",149.660004,151.100006,149.119995,149.279999,2436000,145.670569
"27",148.990005,149.639999,146.509995,146.75,2094100,143.201743
"28",147.589996,148.649994,147.259995,148.460007,1624200,144.870404
"29",147.490005,147.970001,145.839996,146.449997,1318400,142.908994
"30",148.800003,150.449997,147.970001,149.149994,1601000,145.543708
"31",149,150.210007,148.25,149.910004,1924000,146.285341
"32",149.759995,150.649994,149.339996,150,3249700,146.373162
"33",149.649994,150.399994,148.119995,148.360001,1220000,144.772816
"34",148.990005,149.309998,147.630005,149.009995,807800,145.407093
"35",150.350006,154.119995,149.860001,149.860001,2184600,146.236547
"36",150.320007,151.479996,149.800003,151.419998,1753200,147.758826
"37",149.940002,150.199997,145.100006,145.100006,2147600,141.591644
"38",146.149994,147.100006,145.160004,145.880005,1399100,142.352784
"39",146.009995,147.960007,145.929993,147.279999,1457600,143.718927
"40",146.610001,146.889999,144.899994,145.389999,1492300,141.874626
"41",144.669998,145.5,144.080002,144.270004,1508800,140.781711
"42",144.690002,145.139999,142.899994,143.139999,1580500,139.679028
"43",143.529999,145.720001,143.139999,145.710007,1636200,142.186896
"44",145.960007,147.399994,145.490005,145.990005,1319300,142.460125
"45",146.009995,147.070007,145.440002,145.869995,1092000,142.343016
"46",146.259995,147.740005,146.259995,146.529999,1387600,142.987061
"47",146.940002,148.029999,146.630005,148.020004,1144300,144.44104
"48",148.639999,149,147.080002,148.309998,1677000,144.724022
"49",148.800003,149.139999,147.630005,148.429993,2012800,144.841115
"50",148.399994,148.759995,147.389999,147.919998,1054800,144.343452
"51",147.240005,148.490005,147.149994,148,1161700,144.42152
"52",147.990005,148.490005,147.320007,147.520004,1536300,143.95313
"53",147.559998,147.559998,146.199997,146.449997,1145900,142.908994
"54",147.649994,148.360001,147,147.970001,1722400,144.392246
"55",148.429993,148.429993,147.100006,147.339996,1968800,143.777474
"56",147.020004,147.940002,146.759995,147.110001,954800,144.287501
"57",146.809998,147.550003,146.309998,147.139999,857000,144.316925
"58",147.309998,147.929993,146.610001,147.929993,874000,145.091761
"59",148.190002,148.279999,146.300003,147.330002,1585900,144.503282
"60",147.889999,148.220001,147.020004,147.509995,873500,144.679821
"61",147.550003,148.729996,147.179993,147.380005,1316200,144.552325
"62",147.490005,150.240005,147.25,150.199997,1754400,147.318212
"63",149.660004,151.089996,149.059998,150.75,1695600,147.857663
"64",150.259995,153,150.119995,152.619995,3030600,149.691779
"65",152.649994,153.729996,152.179993,153.509995,1485500,150.564703
"66",152.589996,154.369995,152.520004,154.240005,1765400,151.280708
"67",154,154.669998,153.309998,154.309998,1324800,151.349357
"68",154.399994,155.320007,153.630005,154,2394400,151.045307
"69",154.059998,154.729996,153.240005,154.660004,1042400,151.692648
"70",154.669998,155.210007,153.690002,154.619995,941600,151.653407
"71",154.720001,155.039993,153.220001,153.509995,3260700,150.564703
"72",154.369995,154.75,152.539993,153.160004,2422700,150.221427
"73",152.419998,152.520004,149.380005,150.610001,2570900,147.720349
"74",150.479996,150.679993,147.800003,147.860001,2149700,145.023112
"75",147.860001,148.270004,145.550003,147.070007,3205300,144.248275
"76",146.639999,147.100006,143.979996,144.25,2427300,141.482374
"77",144.470001,145.270004,143.589996,145.089996,1483700,142.306254
"78",143.960007,145.720001,143.610001,144.970001,1625400,142.188561
"79",144.740005,145.649994,143.240005,143.490005,2700000,140.736961
"80",144,144.009995,140.800003,141.899994,1954300,139.177456
"81",141.759995,141.830002,138.320007,141.460007,1618700,138.74591
"82",141.910004,145.279999,141.910004,144.509995,2002100,141.73738
"83",144.660004,145.179993,143,143.619995,1405300,140.864456
"84",142.679993,143.830002,141.600006,142.759995,1365800,140.020956
"85",142.75,147.570007,142.5,147.279999,2852200,144.454238
"86",146.550003,146.860001,142.479996,142.479996,2973200,139.746329
"87",143.330002,143.899994,141.039993,141.210007,2768300,138.500707
"88",141.210007,142.029999,138.119995,138.210007,3927500,135.558266
"89",139.089996,140.330002,137.279999,137.539993,2071800,134.901107
"90",134.779999,137.089996,128.779999,136.139999,8466100,133.527974
"91",133.990005,133.990005,131.240005,131.880005,5432600,129.349713
"92",133.119995,137.25,132.669998,135.350006,4075900,132.753138
"93",135.179993,137.050003,133.660004,136.800003,1735700,134.175315
"94",138.059998,140.649994,137.440002,139.429993,2087800,136.754845
"95",139.179993,140.050003,135.889999,136.050003,3633900,133.439704
"96",138.740005,141.259995,137.300003,140.929993,2984900,138.226065
