"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"1",165.860001,167.259995,165.479996,166.360001,1684500,164.288078
"2",165.089996,166.160004,164.690002,165.429993,2004100,163.369653
"3",165.759995,166.649994,165.020004,165.960007,2309900,163.893066
"4",166.169998,167.070007,165.419998,165.889999,1761100,163.823931
"5",165.520004,166.529999,164.449997,165.850006,1756400,163.784435
"6",165.639999,168.75,165.449997,168.220001,2450000,166.124914
"7",167.889999,170.100006,167.289993,169.860001,2873200,167.744488
"8",170,170.160004,168.929993,169.729996,2306900,167.616102
"9",170.320007,171.080002,169.419998,169.839996,4688200,167.724733
"10",170.179993,170.619995,169.210007,170.240005,1738500,168.11976
"11",169.550003,170.550003,167.949997,168.229996,1608000,166.134784
"12",167.820007,169.020004,167.399994,168.380005,1601200,166.282925
"13",167,168.110001,166.369995,168.009995,2131200,165.917522
"14",167.25,167.649994,166.369995,166.779999,3111200,164.702846
"15",166.869995,167.910004,166.369995,167.440002,1885200,165.354629
"16",166.350006,168.270004,166.059998,166.809998,2947800,164.732471
"17",167,167.809998,166.570007,166.889999,1877600,164.811476
"18",167.830002,169.899994,167.720001,169.460007,1801200,167.349476
"19",168.970001,168.970001,166.899994,167.779999,1774000,165.690391
"20",166.740005,166.779999,163.729996,164.910004,2422200,162.85614
"21",165.240005,165.330002,163.630005,164.669998,1943800,162.619124
"22",162.220001,163.779999,161.529999,163.419998,2204100,161.384692
"23",163.020004,165.139999,162.380005,164.800003,2293300,162.74751
"24",167.179993,167.720001,166.460007,167,3007700,164.920107
"25",169.699997,170.149994,167.149994,169.169998,4802300,167.063079
"26",169.199997,170.990005,169,170.470001,3305200,168.346891
"27",170.210007,171.600006,168.919998,170.139999,3815500,168.020999
"28",170.410004,171.789993,169.649994,171.470001,2558600,169.334437
"29",170.169998,172.100006,170.050003,171.720001,2227400,169.581323
"30",172.380005,175.380005,172.380005,175.020004,3849500,172.840226
"31",175.210007,177.220001,174.630005,176.820007,3436100,174.617811
"32",176.800003,177.320007,175.610001,176.259995,2012800,174.064773
"33",175.910004,176.460007,174.720001,175.399994,2114900,173.215483
"34",175,176.460007,174.669998,175.949997,2303400,173.758636
"35",176.169998,177.110001,175.449997,175.539993,3055600,173.353739
"36",175.960007,177.479996,175.360001,175.759995,2345600,173.571
"37",174.440002,175.270004,172.789993,172.869995,3797600,170.716994
"38",172.380005,172.759995,169.399994,170.25,3140000,168.12963
"39",170.570007,171.889999,170.050003,171.690002,2103900,169.551698
"40",171.300003,171.770004,168.889999,169.419998,2746200,167.309965
"41",168.149994,170.850006,168.020004,169.740005,1711700,167.625987
"42",170.300003,171.070007,168.740005,169.100006,1920900,166.993959
"43",169.350006,172.490005,168.679993,172.259995,2250900,170.114591
"44",172.75,173.410004,171.619995,172.460007,2098000,170.312112
"45",171.779999,173.110001,171.380005,172.330002,1362900,170.183726
"46",172.399994,172.889999,171.270004,172.369995,1711100,170.223222
"47",172.800003,173.100006,171.690002,172.729996,1431400,170.578739
"48",172.839996,174.600006,171.440002,171.899994,2446000,169.759074
"49",173.25,174.630005,172.699997,174.550003,1877700,172.376079
"50",174.910004,175.100006,173.630005,173.960007,1916100,171.79343
"51",173.270004,174.179993,172.600006,174.029999,1755100,171.862551
"52",174.240005,175.919998,173.440002,175.149994,2075200,172.968597
"53",175.350006,176.979996,174.830002,175.470001,2682000,173.284619
"54",176.710007,179.860001,176.460007,177.869995,3063500,175.654722
"55",178.470001,179.149994,177.809998,177.899994,3110600,175.684347
"56",178.360001,178.360001,177.009995,177.809998,2073700,176.140034
"57",177.050003,177.75,175.889999,177.649994,1961800,175.981533
"58",178.320007,179.5,177.850006,179.110001,2560600,177.427827
"59",179.259995,180.220001,178.380005,179.770004,1986300,178.081632
"60",180.479996,182.070007,179.429993,179.600006,2397700,177.913231
"61",179.929993,181.600006,179.550003,180.080002,1678500,178.388718
"62",179.580002,179.910004,177.880005,179.75,2562800,178.061816
"63",179.580002,180.919998,179.220001,180.110001,1746400,178.418436
"64",177.929993,178.639999,176.619995,177.399994,2598500,175.733881
"65",178.330002,180.179993,178.119995,179.869995,2457800,178.180684
"66",178.770004,181.440002,178.5,181,1905300,179.300076
"67",180.630005,183.470001,180.630005,183.169998,3358600,181.449694
"68",182.910004,184.399994,182.509995,183.979996,2308000,182.252084
"69",183.899994,184.559998,182.800003,184.039993,2137600,182.311518
"70",183.820007,185.770004,183.460007,184.820007,2820300,183.084207
"71",185.830002,188.429993,185.5,187.889999,3566600,186.125366
"72",188.259995,188.580002,185.880005,186.199997,5442900,184.451236
"73",186,186.949997,185.100006,185.289993,1826100,183.549779
"74",184.570007,186.860001,184.570007,185.089996,1977600,183.35166
"75",185.259995,188.119995,184.470001,187.809998,2834200,186.046115
"76",187.460007,187.800003,183.460007,184.089996,3074600,182.361052
"77",184.75,185.600006,183.220001,185.119995,1932500,183.381377
"78",183.110001,184.559998,182.199997,183.830002,1745400,182.103499
"79",184.410004,184.990005,182.679993,183.570007,2037700,181.845946
"80",183.190002,183.850006,180.330002,180.699997,4196300,179.002891
"81",180.600006,183.429993,180.589996,182.880005,2782600,181.162424
"82",184.610001,188.539993,184.570007,188.070007,3271400,186.303683
"83",189.070007,189.5,187.149994,187.479996,1934800,185.719213
"84",186.559998,186.559998,183.619995,183.800003,2927100,182.073782
"85",184.029999,187,182.149994,186.639999,3154500,184.887106
"86",185.820007,186.169998,180.75,181.270004,4892900,179.567545
"87",181.570007,182.949997,180.059998,180.380005,4405600,178.685904
"88",181,183.190002,178.5,178.770004,3436500,177.091024
"89",179.479996,181.789993,177.770004,178.699997,3557200,177.021674
"90",176.490005,177.949997,171.520004,177.240005,6330500,175.575395
"91",172.020004,176.289993,171.259995,172.580002,7797500,170.959157
"92",175.800003,177.539993,175.100006,176.910004,4951000,175.248492
"93",176.220001,178,175.820007,177.839996,2307900,176.169751
"94",179.220001,180.360001,178.360001,180.179993,2649500,178.48777
"95",180.550003,180.800003,176.830002,176.830002,3088300,175.169242
"96",178.800003,181.100006,178.710007,180.059998,3397000,178.368902
"97",180.270004,183.490005,180.009995,183.350006,2900900,181.628011
"98",182.860001,184.160004,182.309998,183.910004,2383700,182.18275
"99",184.160004,186.320007,183.199997,186.320007,3027700,184.570119
"100",186.089996,187.309998,185.389999,186.080002,3379000,184.332367
"101",185.479996,187.100006,185.169998,186.970001,2794800,185.214008
"102",189.240005,190,188.119995,189.990005,3357000,188.205649
"103",190.350006,191.979996,189.75,190.830002,2298100,189.037756
"104",190.470001,190.970001,188.820007,190.270004,2027300,188.483018
"105",191.580002,191.869995,189.610001,189.839996,3141100,188.057049
"106",190.380005,191.440002,189.779999,191,1915400,189.206158
"107",191.25,191.479996,189.300003,190.710007,1981400,188.918888
"108",190.509995,191.869995,190.509995,191.800003,1553900,189.998647
"109",191.809998,192.679993,190.529999,191.880005,1620100,190.077898
"110",190.660004,190.889999,189.330002,190.179993,2322200,188.393852
"111",190.839996,191.190002,189.199997,190.240005,1749500,188.453301
"112",190.360001,190.839996,189.619995,189.979996,1691500,188.195733
"113",189.520004,191.190002,189.220001,189.929993,1593400,188.1462
"114",189.619995,190.660004,189.589996,189.639999,1810300,187.85893
"115",189.710007,189.990005,188.190002,189.190002,2260000,187.413159
"116",187.820007,189.860001,187.550003,189.75,2850000,187.967898
"117",191.520004,191.660004,189.369995,189.589996,2367700,187.809397
"118",190.139999,190.889999,189.669998,190.070007,2028800,188.284899
"119",190.5,190.5,188.199997,188.860001,3675300,187.086257
"120",189.919998,189.919998,187.729996,188.520004,2024000,186.749454
"121",188.399994,189.490005,188.119995,188.410004,1195200,187.236401
"122",188,188.619995,185.589996,188.199997,2469000,187.027702
"123",189.309998,190.940002,188.809998,190.190002,3112200,189.005312
"124",189.75,191.820007,189.330002,190.949997,3049600,189.760573
"125",190.779999,192.339996,189.960007,191.949997,3123400,190.754344
"126",192.720001,196.929993,192.539993,195.449997,3625500,194.232542
"127",195.449997,198.059998,194.509995,196.619995,2715000,195.395252
"128",193.690002,197.220001,192.899994,196.889999,4568400,195.663575
"129",195.479996,195.990005,191.600006,192,6506700,190.804035
"130",193,194.940002,192.5,193.539993,3179500,192.334436
"131",191.710007,192.639999,188.070007,188.820007,3838900,187.643851
"132",190.240005,190.809998,185.410004,185.539993,4729100,184.384268
"133",183.960007,186.929993,182.399994,183.309998,4181900,182.168163
"134",184.110001,186.5,183.630005,185.029999,5074800,183.87745
"135",188,191.660004,187.809998,191.610001,4209600,190.416465
"136",192.259995,195,192.029999,193.279999,4798200,192.076061
"137",193.919998,194.5,192.759995,194.440002,3056400,193.228839
"138",195.339996,196.100006,194.729996,195.5,2346100,194.282234
"139",196.610001,196.75,195.009995,195.889999,694200,194.669804
"140",196.089996,196.490005,195.399994,195.449997,1016300,194.232542
"141",195.570007,196.960007,194.820007,196.190002,1219900,194.967938
"142",195.5,196.5,194.580002,195.710007,1136200,194.490932
"143",196.649994,196.830002,193.770004,193.830002,1566800,192.622638
"144",195.300003,195.729996,192.699997,194.410004,1877700,193.199027
"145",193.059998,194.039993,187.479996,188.339996,3413200,187.16683
"146",188.300003,188.660004,183.929993,184.529999,3429200,183.380564
"147",186.850006,187.990005,185.770004,187.279999,1896800,186.113435
"148",189.350006,190.820007,189.25,190.270004,1962500,189.084816
"149",190.479996,191.309998,186.960007,187.350006,1980700,186.183006
"150",187.360001,187.529999,184.110001,185.070007,2084200,183.917209
"151",186.580002,189.380005,183.369995,184.929993,2739600,183.778067
"152",181.179993,182.509995,178.100006,180.229996,5204700,179.107346
"153",180.229996,181.600006,177.5,178.490005,3146000,177.378194
"154",176.729996,180.100006,174.059998,177.229996,5124100,176.126033
"155",177.570007,178.330002,174.229996,175.630005,3606600,174.536008
