"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume","STZ.Adjusted"
"1",82.190002,83.07,82.190002,82.949997,1398000,82.728398
"2",82.519997,83.629997,82.339996,83.379997,933000,83.157249
"3",83.349998,84.260002,82.470001,82.790001,866800,82.568829
"4",82.639999,83.169998,82.290001,82.580002,603900,82.359391
"5",82.580002,83.629997,82.419998,83.389999,1145600,83.167225
"6",83.379997,84.110001,82.860001,83.870003,906400,83.645946
"7",83.970001,85.989998,83.790001,85.959999,1538100,85.730359
"8",86.610001,87.589996,86.360001,86.529999,1775200,86.298836
"9",86.839996,87.639999,86.699997,87.480003,1893200,87.246302
"10",87.860001,88.5,87.25,88.099998,1599600,87.864641
"11",87.790001,88.309998,87.209999,88.050003,1322600,87.814779
"12",87.75,88.599998,87.300003,88.550003,1578600,88.313443
"13",88.419998,88.5,87,88.099998,1388400,87.864641
"14",87.839996,88.489998,87.220001,87.980003,971700,87.744967
"15",88.370003,88.57,87.889999,88.129997,1651000,87.89456
"16",88.269997,88.940002,87.760002,88.379997,1970600,88.143892
"17",94.529999,94.769997,89.470001,90.449997,5699700,90.208362
"18",91.099998,91.589996,90.5,91.150002,1998500,90.906496
"19",91.010002,91.099998,90.32,90.75,1363300,90.507563
"20",90.830002,90.830002,89.690002,90.269997,1539600,90.028842
"21",90.389999,90.550003,89.839996,90.120003,1183500,89.879249
"22",88.919998,90.290001,88.800003,89.919998,1391700,89.679779
"23",90.089996,90.32,89.129997,89.470001,856400,89.230984
"24",89.949997,90.110001,89.57,89.900002,891700,89.659835
"25",89.769997,90.150002,88.5,88.610001,1456100,88.373281
"26",88.779999,88.889999,86.050003,87.239998,2676400,87.006938
"27",86.949997,87.239998,86.129997,86.209999,999200,85.979691
"28",86.43,87.809998,86.260002,87.57,943800,87.336058
"29",87.129997,87.519997,86.690002,87.18,704300,86.947101
"30",87.370003,88.040001,87.339996,87.57,664200,87.336058
"31",87.860001,88.029999,87.089996,87.129997,700100,86.897231
"32",87.269997,87.410004,86.489998,87.25,948800,87.016913
"33",86.949997,87.040001,86.080002,86.559998,625100,86.328754
"34",86.519997,86.529999,85.190002,86.07,858900,85.840065
"35",86.220001,87.099998,86.120003,86.139999,842100,85.909878
"36",86.199997,86.559998,84.599998,84.639999,1206800,84.413885
"37",84.300003,84.480003,82.970001,83.260002,1472600,83.037575
"38",82.870003,84.089996,82.029999,83.589996,1262100,83.366687
"39",83.5,84.019997,82.620003,83.879997,1069500,83.655914
"40",83.599998,84.080002,83,83.190002,741300,82.967762
"41",82.870003,84.330002,82.660004,83.93,1060900,83.705783
"42",84.099998,84.330002,83.07,83.309998,589400,83.087437
"43",83.18,84.449997,82.93,84.389999,578500,84.164553
"44",84.550003,85.269997,84.059998,85.050003,833200,84.822794
"45",84.980003,85.889999,84.849998,85.730003,899900,85.500977
"46",85.959999,86.220001,85.360001,85.879997,793100,85.650571
"47",85.580002,85.919998,85.07,85.57,507000,85.341401
"48",86.220001,87.720001,85.82,87.470001,1114100,87.236327
"49",87.68,87.800003,86.800003,87,782100,86.767581
"50",87.25,88.169998,87.080002,87.949997,743400,87.71504
"51",87.660004,88,87.330002,87.629997,532300,87.395895
"52",87.879997,87.900002,87.349998,87.459999,502200,87.226351
"53",87.25,87.519997,86.779999,87.230003,495600,86.99697
"54",87.25,87.290001,85.849998,87.239998,1059600,87.006938
"55",87.470001,87.839996,87,87.230003,504500,86.99697
"56",87.470001,87.730003,87.120003,87.290001,420600,87.056807
"57",87.199997,87.300003,86.669998,87.080002,441500,86.847369
"58",87.040001,87.190002,86.160004,87.089996,531500,86.857337
"59",87.290001,88.5,87.129997,87.800003,1072600,87.565447
"60",88.040001,88.32,86.839996,86.849998,1109700,86.61798
"61",86.730003,87.480003,86.43,87.07,1035400,86.837394
"62",86.580002,86.900002,86.019997,86.879997,876600,86.647899
"63",86.470001,86.860001,85.809998,86.410004,873000,86.179161
"64",86.269997,86.410004,84.949997,85.160004,1098400,84.9325
"65",85.260002,86.300003,84.800003,86.190002,592700,85.959748
"66",86.040001,86.480003,85.5,86.410004,748700,86.179161
"67",86.330002,86.650002,85.760002,85.900002,447200,85.670521
"68",86.360001,87.150002,86,86.949997,1141300,86.717712
"69",86.690002,87.489998,86.279999,87.139999,1357400,86.907207
"70",86.889999,87.629997,86.739998,87.150002,719900,86.917182
"71",87.550003,87.879997,87.150002,87.779999,458600,87.545496
"72",88.110001,88.309998,87.43,87.980003,1037200,87.744967
"73",87.529999,88.43,87.190002,87.400002,670400,87.166514
"74",87,87.389999,86.110001,86.410004,790800,86.179161
"75",86.199997,88.300003,86.099998,87.959999,1284000,87.725016
"76",87.699997,88.080002,86.760002,86.760002,853200,86.528225
"77",86.739998,87.040001,85.910004,86.5,1358800,86.268917
"78",85.809998,86.550003,85.5,86.349998,1044600,86.119316
"79",86.459999,87.370003,85.410004,87.160004,1232300,86.927157
"80",86.660004,86.830002,84.220001,85.260002,2693900,85.032232
"81",83.809998,85.93,82.339996,84.400002,5602300,84.174529
"82",84.830002,87.029999,84.790001,86.910004,2147300,86.677825
"83",87.25,87.379997,85.769997,86.379997,1821600,86.149235
"84",86.269997,86.589996,85.019997,85.019997,1201800,84.792867
"85",85.290001,87.82,85.129997,87.699997,2176700,87.465708
"86",87.279999,87.730003,86.290001,86.379997,2745300,86.149235
"87",86.480003,86.830002,85.370003,85.830002,2155700,85.600709
"88",85.639999,85.779999,84.190002,84.239998,1204500,84.014952
"89",84.410004,84.849998,83.739998,84.360001,1037300,84.134635
"90",83.029999,84.160004,80.800003,83.050003,2328300,82.828137
"91",81.529999,82.860001,80.699997,82.080002,1972600,81.860727
"92",82.949997,84.43,82.650002,84.050003,1475800,83.825465
"93",84.620003,85.160004,84.080002,85.07,1149100,84.842737
"94",85.160004,86.660004,84.900002,86.660004,1304400,86.428493
"95",86.760002,87.389999,86.540001,86.910004,1000100,86.677825
"96",87.400002,87.949997,86.949997,87.199997,1055900,86.967044
"97",87.339996,88.379997,87.110001,88.279999,936600,88.044161
"98",88.25,89.400002,88.129997,88.290001,1133100,88.054136
"99",88.440002,90.110001,88.440002,89.849998,1321800,89.609966
"100",90.059998,90.769997,88.540001,89.169998,1239200,88.931782
"101",89.059998,89.620003,88.75,89.410004,595600,89.171147
"102",90.529999,91.599998,90.099998,91.540001,1225900,91.295454
"103",91.620003,92.599998,91.620003,91.940002,1042500,91.694387
"104",91.970001,92.730003,91.839996,92.349998,984200,92.103287
"105",92.82,93.419998,92.07,92.599998,727900,92.352619
"106",92.449997,93.57,92.349998,93.529999,778300,93.280135
"107",93.529999,93.690002,93.050003,93.559998,868500,93.310054
"108",93.489998,93.889999,92.919998,93.870003,725000,93.619231
"109",93.870003,94.620003,93.400002,93.839996,693500,93.589305
"110",93.360001,95.089996,92.919998,94.019997,1456100,93.768824
"111",94.199997,94.690002,92.870003,93.370003,950400,93.120567
"112",93.129997,93.279999,92.389999,92.879997,822700,92.63187
"113",92.5,94.279999,92.5,94.260002,623400,94.008188
"114",94.260002,94.260002,93.379997,93.779999,904200,93.529467
"115",93.889999,94.339996,93.480003,94.300003,734100,94.048082
"116",93.879997,94.419998,93.419998,93.879997,702400,93.629199
"117",94.870003,95.220001,93.68,93.760002,1252500,93.509524
"118",94.18,94.839996,93.980003,94.230003,893500,93.97827
"119",94.129997,94.669998,93.199997,94.129997,1149100,93.878531
"120",94.260002,94.809998,93.720001,94.760002,680800,94.506853
"121",95.209999,96.599998,95.169998,96.400002,456100,96.142471
"122",95.82,96.199997,94.699997,94.730003,923600,94.476934
"123",94.93,95.150002,94.25,94.519997,844900,94.267488
"124",94.260002,94.720001,92.959999,93.730003,972800,93.479606
"125",94.010002,94.529999,93.690002,94.18,655700,93.9284
"126",94.25,95.220001,93.879997,95.089996,708000,94.835965
"127",94.949997,95.230003,94.239998,94.690002,730900,94.43704
"128",93.610001,94.129997,92.510002,93.449997,997900,93.200347
"129",93.510002,93.769997,92.309998,92.459999,969200,92.212994
"130",92.57,93.620003,92.18,92.459999,683800,92.212994
"131",91.660004,92.650002,90.75,90.779999,882300,90.537482
"132",91.349998,92.510002,89.599998,90.379997,1127400,90.138549
