"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"101",87.449997,88.68,86.910004,88.349998,2706400,85.156343
"102",88.790001,89.239998,88.470001,89.010002,4876200,85.792489
"103",88.849998,89.5,88.599998,89.190002,3361600,85.965982
"104",89.389999,89.910004,89.190002,89.449997,2752500,86.216579
"105",89.830002,90.25,89.089996,89.900002,4061000,86.650317
"106",89.68,89.830002,87.18,87.5,6109300,84.33707
"107",87.5,88.199997,87.260002,88.120003,3219400,84.934661
"108",87.830002,88.5,87.519997,88.419998,3191800,85.223812
"109",88.440002,88.480003,87.839996,88.089996,2412800,84.905739
"110",88.040001,88.129997,87.57,87.900002,2832900,84.722612
"111",88.040001,88.699997,87.529999,87.860001,3163600,84.684057
"112",87.349998,87.400002,85.489998,86.279999,6011300,83.161169
"113",86.330002,87.5,86.169998,87.300003,3644600,84.144302
"114",87.470001,87.599998,87.089996,87.129997,3653700,83.980442
"115",86.949997,87.199997,86.470001,86.830002,4529900,83.691291
"116",86.5,86.5,85.57,85.809998,6328600,82.708157
"117",86.150002,87.040001,86.110001,87,6851900,83.855144
"118",87.300003,87.610001,86.470001,86.5,3888600,83.373218
"119",86.489998,86.730003,86.160004,86.300003,5054400,83.18045
"120",86.660004,86.910004,86.419998,86.599998,2665700,83.469601
"121",87.199997,87.57,86.769997,86.93,3230900,83.787674
"122",86.370003,87.029999,85.699997,86.5,3554100,83.373218
"123",86.580002,87.43,86.519997,87.389999,4077500,84.231046
"124",87.150002,87.68,86.769997,87.650002,3862000,84.481649
"125",87.269997,87.480003,86.370003,87.150002,4111000,83.999723
"126",87.279999,87.330002,86.709999,87.139999,4236600,83.990082
"127",86.419998,87.160004,86.330002,86.790001,3270600,83.652736
"128",86.050003,86.580002,85.25,86.559998,3467800,83.431046
"129",86.489998,86.589996,85.269997,85.599998,4625600,82.505749
"130",85.629997,86.809998,85.599998,85.970001,4182700,82.862377
"131",85.589996,86.370003,84.389999,84.419998,4922800,81.368403
"132",84.529999,84.879997,82.379997,82.449997,7286900,79.469613
"133",82.199997,82.959999,81.349998,81.389999,8405200,78.447932
"134",81.809998,82.260002,81.160004,81.849998,6673400,78.891303
"135",82.699997,84.050003,82.389999,84.019997,6701800,80.982861
"136",84.169998,84.389999,82.629997,83.050003,9128000,80.04793
"137",82.480003,83.160004,82.160004,82.970001,5951700,80.945479
"138",83.220001,83.580002,83.010002,83.300003,4433700,81.267429
"139",83.400002,83.57,83.059998,83.150002,1748300,81.121087
"140",83.099998,83.690002,83.029999,83.339996,1705500,81.306446
"141",83.029999,83.529999,82.739998,83.199997,2629000,81.169863
"142",83.150002,83.480003,82.389999,82.5,2708100,80.486946
"143",82.730003,82.82,81.360001,81.449997,3709300,79.462564
"144",81.599998,81.790001,80.629997,81.019997,3787700,79.043056
"145",80.989998,81.089996,79.860001,80.410004,6213400,78.447947
"146",80.959999,82.050003,80.599998,81.099998,10001900,79.121106
"147",81.800003,82.050003,81.019997,81.709999,7525100,79.716222
"148",82.32,83.580002,82.309998,82.940002,6594500,80.916212
"149",83.540001,83.650002,82.470001,82.720001,4301300,80.701579
"150",83.110001,83.669998,82.639999,83.050003,3997200,81.023529
"151",83.32,83.980003,82.669998,83.099998,5804200,81.072304
"152",82.260002,83.459999,82.25,83.419998,4629200,81.384496
"153",83.419998,83.419998,82.57,82.82,5088100,80.799138
"154",82.849998,83.199997,82.190002,82.699997,7302300,80.682063
