"","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume","DG.Adjusted"
"1",62.060001,62.119999,60.939999,61.139999,6842000,60.789621
"2",61.040001,61.389999,60.389999,60.48,3357000,60.133404
"3",60.52,60.52,59.66,60.189999,4445000,59.845065
"4",60.189999,60.689999,59.939999,60.689999,3765700,60.3422
"5",60.709999,61.560001,60.57,61.549999,3942400,61.197272
"6",61.099998,61.959999,60.970001,61.529999,3789800,61.177386
"7",61.389999,61.849998,61.040001,61.43,3232900,61.07796
"8",61.66,61.869999,61.200001,61.52,2063500,61.167445
"9",62.009998,63.349998,61.919998,62.82,10003300,62.459994
"10",62.52,62.790001,61.540001,61.66,3938300,61.306642
"11",61.139999,62.009998,61,61.689999,2603900,61.336469
"12",61.459999,61.860001,60.970001,61.48,2178900,61.127673
"13",61.540001,61.779999,60.919998,61.68,1947300,61.326528
"14",61.279999,61.279999,56.759998,57.189999,31291300,56.862257
"15",57,57.549999,56.5,57.360001,10277100,57.031285
"16",57.57,58.130001,57.400002,57.709999,6015200,57.379278
"17",57.59,58.189999,57.5,58.119999,4222700,57.786928
"18",58.119999,58.439999,57.91,58.220001,2667100,57.886357
"19",57.759998,58.110001,57.48,57.740002,2878500,57.409108
"20",57.599998,57.82,57.330002,57.360001,5118300,57.031285
"21",57.650002,57.75,57.380001,57.529999,6225700,57.200309
"22",57.139999,57.650002,56.880001,57.360001,4658400,57.031285
"23",57.439999,57.439999,56.720001,56.790001,3351500,56.464552
"24",56.959999,57.029999,56.619999,56.639999,3375700,56.31541
"25",56.369999,56.84,55.93,55.939999,5492400,55.619421
"26",56.060001,56.18,55,55.57,10802300,55.251542
"27",55.310001,55.400002,54.34,54.41,4941400,54.09819
"28",54.57,55.669998,54.400002,55.450001,6003500,55.132231
"29",55.450001,55.59,54.93,55.330002,6280400,55.01292
"30",55.470001,55.560001,54.75,55.119999,5184600,54.80412
"31",55,55.849998,54.939999,55.82,3831200,55.500109
"32",55.77,56.439999,55.650002,56.040001,3768900,55.71885
"33",55.900002,56.060001,55.560001,55.610001,3370400,55.291314
"34",53.799999,57.700001,53.779999,55.560001,22677700,55.241601
"35",55.779999,56.639999,55.740002,56.099998,5431800,55.778504
"36",56.360001,56.939999,56.009998,56.880001,5145100,56.554036
"37",56.240002,56.549999,55.220001,55.23,4688100,54.91349
"38",55.310001,56.029999,55.150002,55.77,2967000,55.450397
"39",55.77,56.07,55.599998,55.91,2938900,55.589594
"40",55.509998,59.5,55.48,57.790001,17211400,57.458821
"41",57.529999,57.84,56.279999,57.560001,5691100,57.23014
"42",57.810001,58.060001,56.990002,57.68,5038100,57.349451
"43",57.939999,58.189999,57.5,58.049999,6190800,57.717329
"44",57.939999,58,56.939999,57.450001,5034500,57.120769
"45",57.330002,57.540001,56.939999,57.189999,2633100,56.862257
"46",57.23,57.5,56.759998,57.009998,3488400,56.683288
"47",57.25,58.029999,57.099998,57.880001,6003500,57.548305
"48",57.68,57.98,57.040001,57.459999,7159700,57.13071
"49",64,64.730003,62.299999,64.139999,42445200,63.772429
"50",64.489998,64.519997,63.509998,63.59,11558600,63.225582
"51",63.389999,64.029999,63.110001,63.759998,5830700,63.394606
"52",63.02,63.98,62.799999,63.610001,6540200,63.245468
"53",63.59,64.410004,63.48,63.68,4594700,63.315066
"54",64,64.209999,63.540001,63.900002,2588800,63.533807
"55",63.830002,64,63.389999,63.52,2683100,63.155983
