"","ALL.Open","ALL.High","ALL.Low","ALL.Close","ALL.Volume","ALL.Adjusted"
"1",59.07,59.400002,59.07,59.18,1857500,58.161671
"2",59.23,59.439999,58.810001,59.080002,1597600,58.063393
"3",59.139999,59.259998,58.580002,58.709999,2087700,57.699757
"4",58.869999,59.07,58.709999,59.009998,1700100,57.994594
"5",58.93,59.02,58.59,58.810001,1672400,57.798039
"6",58.75,59.290001,58.580002,59.209999,1919500,58.191153
"7",59.099998,59.459999,58.889999,59.16,2970600,58.142015
"8",59.029999,59.040001,58.48,58.82,3662800,57.807865
"9",58.900002,58.959999,58.52,58.82,5046800,57.807865
"10",58.889999,59.5,58.889999,59.200001,2701500,58.181327
"11",58.82,59.290001,58.77,58.919998,1959500,57.906143
"12",58.84,58.990002,58.669998,58.709999,1903800,57.699757
"13",58.73,58.810001,58.41,58.549999,1734400,57.54251
"14",58.59,58.759998,58.439999,58.689999,2193600,57.680101
"15",58.59,59.18,58.52,58.720001,1800700,57.709587
"16",58.93,59.290001,58.919998,59.119999,1789600,58.102702
"17",59.080002,59.490002,58.889999,59,1590200,57.984768
"18",59.220001,59.400002,58.93,58.970001,1530200,57.955285
"19",58.720001,58.810001,58.400002,58.529999,2763600,57.522854
"20",58.48,58.720001,58.380001,58.48,2882000,57.473715
"21",58.380001,58.700001,58.18,58.48,2808700,57.473715
"22",58.07,58.290001,57.689999,58.07,2701900,57.07077
"23",57.939999,58.25,57.759998,58.200001,1422800,57.198534
"24",58.5,58.68,58.09,58.279999,2224600,57.277156
"25",58.459999,58.650002,58.310001,58.459999,2049100,57.454059
"26",58.560001,58.669998,58.110001,58.16,1901700,57.159222
"27",58.029999,58.599998,57.810001,57.82,1970400,56.825072
"28",57.860001,58.099998,57.52,58.060001,2016100,57.060944
"29",57.830002,58.130001,57.57,58.009998,1493900,57.011801
"30",57.799999,58.18,57.650002,58.09,1881900,57.090427
"31",58.130001,58.490002,58.119999,58.330002,1260500,57.326299
"32",58.25,58.57,58.130001,58.490002,1138100,57.483545
"33",58.25,58.34,57.880001,57.939999,1193000,56.943006
"34",57.919998,57.959999,57.360001,57.939999,2130600,56.943006
"35",57.23,57.790001,57.029999,57.049999,3314600,56.068321
"36",57.099998,57.18,56.630001,56.889999,3104200,55.911075
"37",58.189999,59.889999,57.200001,58.450001,6258600,57.444233
"38",58.5,58.73,57.75,58.139999,3260300,57.139566
"39",58.349998,59,58.119999,58.959999,5669000,57.945455
"40",58.919998,59.279999,58.73,58.849998,3138900,57.837347
"41",58.720001,59.59,58.720001,59.580002,2474000,58.554789
"42",59.709999,59.970001,59.130001,59.310001,3130400,58.289435
"43",59.549999,59.700001,58.990002,59.669998,2628400,58.643237
"44",59.810001,59.869999,59.400002,59.560001,2272600,58.535133
"45",59.599998,60.189999,59.580002,60.150002,3453200,59.114981
"46",60.25,60.470001,60.029999,60.110001,2574500,59.075668
"47",60.189999,60.790001,60.189999,60.779999,2512900,59.734138
"48",60.950001,61.119999,60.380001,60.689999,2418600,59.645686
"49",60.970001,61.299999,60.889999,61.279999,2058300,60.225534
"50",61.220001,61.290001,61.049999,61.09,1624900,60.038805
"51",61.119999,61.439999,60.91,61.400002,1449600,60.343472
"52",61.400002,61.560001,61.099998,61.509998,2367600,60.451576
"53",61.27,61.470001,61.09,61.220001,1978400,60.166569
"54",61.52,62.009998,61.380001,61.91,1893800,60.844694
"55",61.880001,62.09,61.740002,61.860001,1876400,60.795556
"56",61.599998,61.68,61.419998,61.529999,1666500,60.74619
"57",61.330002,61.540001,61.130001,61.150002,1847100,60.371033
"58",61.259998,61.5,61.060001,61.490002,1934700,60.706702
"59",61.73,61.970001,61.52,61.830002,1827100,61.042371
"60",62.09,62.09,61.610001,61.639999,1479400,60.854789
"61",61.669998,61.869999,61.32,61.369999,1563800,60.588228
"62",61.389999,61.470001,61.099998,61.349998,1871800,60.568483
"63",61.84,61.84,61.200001,61.389999,1203700,60.607974
"64",61.290001,61.360001,60.73,60.84,1757600,60.064981
"65",61.060001,61.150002,60.790001,60.889999,1475800,60.114343
"66",60.799999,61.240002,60.779999,61.209999,1764800,60.430267
"67",61.080002,61.27,60.759998,61,2215700,60.222943
"68",61.150002,61.869999,61.09,61.619999,2063000,60.835044
"69",61.349998,61.860001,61.290001,61.709999,1617000,60.923897
"70",61.73,62,61.580002,61.75,1638900,60.963389
"71",61.900002,62.41,61.790001,62.32,1881200,61.526127
"72",62.549999,62.59,62.02,62.200001,2756500,61.407657
"73",61.939999,62.02,61.740002,61.84,1740400,61.052242
"74",61.68,61.77,61.130001,61.310001,3786200,60.528995
"75",61.279999,61.860001,61.189999,61.68,1370500,60.894281
"76",61.470001,61.580002,61.02,61.09,2005900,60.311796
