"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"1",59.82,59.82,59.09,59.75,2988000,58.026251
"2",59.25,59.84,59.209999,59.470001,2977400,57.75433
"3",59.27,59.5,58.709999,58.880001,3937400,57.181351
"4",59.950001,59.950001,58.84,58.900002,2881200,57.200774
"5",58.939999,59.169998,58.5,58.830002,3209200,57.132794
"6",58.759998,59.330002,58.630001,59.25,2805700,57.540675
"7",59.369999,60,59.060001,59.990002,3211600,58.259328
"8",60.049999,60.200001,59.650002,59.849998,2431300,58.123364
"9",60.669998,62.139999,60.290001,62.029999,11960600,60.240473
"10",62.080002,62.400002,61.720001,62.07,5103400,60.27932
"11",61.990002,62.400002,61.59,61.889999,3809500,60.104512
"12",61.970001,63.099998,61.970001,63,6416500,61.18249
"13",62.84,63.099998,62.439999,63.040001,3663000,61.221337
"14",62.970001,63.259998,62.689999,63.099998,4643700,61.279604
"15",63.34,63.380001,62.060001,62.169998,4943600,60.376433
"16",62.630001,62.849998,62,62.5,4109000,60.696915
"17",62.450001,63.080002,62.119999,62.700001,3941000,60.891146
"18",62.900002,63.099998,62.439999,63.060001,2709100,61.24076
"19",62.830002,63.23,62.32,62.610001,2627300,60.803742
"20",62.490002,62.540001,61.869999,62.459999,3449400,60.658068
"21",62.529999,62.709999,62.27,62.619999,2748600,60.813452
"22",62.130001,62.709999,62,62.529999,2619200,60.726048
"23",62.439999,62.950001,62.27,62.84,2400700,61.027106
"24",63,63.290001,62.709999,63.009998,2436600,61.1922
"25",63,63.119999,62.73,62.860001,3854400,61.04653
"26",63.049999,63.169998,62.07,62.810001,3885700,60.997973
"27",62.360001,62.869999,62.139999,62.259998,3424700,60.463837
"28",62.48,63.5,62.32,63.470001,3281400,61.638932
"29",63,63.689999,62.75,63.639999,3479400,61.804026
"30",63.82,64.150002,63.439999,63.720001,3101800,61.88172
"31",63.93,64.440002,63.799999,64.25,5559900,62.396428
"32",64.099998,65.699997,63.799999,64.370003,5090200,62.512969
"33",64.019997,64.099998,63.490002,63.779999,2987400,61.939986
"34",63.779999,64.800003,62.869999,63.389999,3956600,61.561238
"35",63.700001,63.810001,62.610001,62.77,5287400,60.959126
"36",63.139999,63.18,62.27,62.619999,3974000,60.813452
"37",61.970001,62.450001,60.939999,61.060001,5485600,59.298459
"38",61.009998,61.060001,60.189999,60.68,6884700,58.929421
"39",61,61.689999,60.75,61.630001,4379100,59.852015
"40",61.5,61.700001,60.740002,60.869999,3389600,59.113938
"41",60.91,61.419998,60.709999,61.110001,2682800,59.347016
"42",61.400002,61.419998,60.139999,60.349998,2352400,58.608939
"43",60.48,61.040001,60.34,60.98,2665400,59.220765
"44",61.349998,61.869999,61.060001,61.080002,2850400,59.317883
"45",61.07,61.459999,61,61.369999,3481500,59.599514
"46",61.240002,61.490002,60.459999,60.59,4136900,59.315611
"47",60.779999,61.220001,60.779999,61.189999,1801600,59.90299
"48",61.330002,61.459999,60.5,60.84,3075600,59.560353
"49",61.18,61.450001,61.07,61.349998,2198300,60.059625
"50",61.889999,62.360001,61.32,62.16,3523200,60.852589
"51",61.939999,62.240002,61.669998,62.009998,2082200,60.705743
"52",62.369999,62.439999,61.91,62.029999,2846000,60.725322
"53",62.009998,62.810001,61.900002,62.32,3147200,61.009224
"54",62.43,63.130001,62.189999,62.73,2078700,61.4106
"55",62.709999,63.02,62.619999,62.810001,1927700,61.488919
"56",63.189999,63.290001,62.799999,63,3082100,61.674922
"57",62.810001,63.27,62.540001,63.110001,2162000,61.782609
"58",63.369999,63.59,62.970001,63.560001,3388300,62.223145
"59",63.599998,63.869999,63.48,63.68,3470600,62.34062
"60",63.91,64.160004,63.75,64.150002,4701200,62.800735
"61",64.120003,64.370003,64,64.220001,5792000,62.869263
"62",64.110001,64.82,63.970001,64.720001,5457200,63.358746
"63",64.620003,65.25,64.589996,65,4264100,63.632856
"64",64.730003,64.830002,64.099998,64.440002,4745800,63.084637
"65",64.839996,64.959999,64.330002,64.779999,3893000,63.417482
"66",64.650002,65.190002,64.559998,65.18,3577000,63.80907
"67",65.25,65.540001,65,65.269997,5392400,63.897174
"68",65.139999,65.239998,64.790001,65.190002,2720900,63.818862
"69",65.25,65.910004,64.900002,65.800003,2867100,64.416032
"70",65.769997,66.18,65.660004,65.910004,5096200,64.523719
"71",66.080002,66.660004,66.040001,66.589996,4326900,65.18941
"72",66.989998,67.139999,66.400002,66.529999,6504900,65.130674
"73",66.32,66.360001,65.75,66.080002,3981700,64.690142
"74",65.650002,66.120003,65.5,65.949997,2718900,64.562871
"75",66.32,66.550003,66.080002,66.190002,3273600,64.797829
"76",65.970001,66.139999,65.5,65.580002,3122600,64.200658
"77",65.800003,65.800003,64.989998,65.480003,2925400,64.102763
"78",65.059998,65.449997,64.830002,65.339996,3520600,63.965701
"79",65.43,65.57,64.830002,64.849998,4945700,63.486009
"80",65.879997,65.879997,64.699997,65.080002,4246900,63.711175
"81",65.089996,65.150002,64.379997,64.830002,4306900,63.466433
"82",65.220001,65.760002,65.120003,65.669998,3609800,64.288762
"83",65.93,65.970001,65.389999,65.620003,3428800,64.239818
"84",65.129997,65.190002,64.099998,64.220001,6157400,62.869263
"85",63.849998,65.260002,63.400002,65.239998,3411200,63.867806
"86",64.940002,65.379997,64.290001,64.300003,3632100,62.947582
"87",64.019997,65.110001,63.830002,64.150002,3281200,62.800735
"88",64.059998,64.519997,63.23,63.279999,4030300,61.949031
"89",63.75,63.939999,62.77,63.139999,4432900,61.811976
"90",61.91,63.139999,60.580002,62.869999,6814100,61.547655
"91",62.02,62.549999,61.099998,61.900002,5488400,60.598059
"92",62.450001,62.810001,61.900002,62.580002,5329400,61.263757
"93",62.630001,63.099998,62.400002,63.099998,2900700,61.772817
"94",63.41,64.75,63.41,64.68,3478200,63.319587
"95",64.589996,65.300003,64.580002,64.68,4294500,63.319587
"96",64.269997,65.199997,63.779999,64.349998,6343000,62.996526
"97",64.580002,66.239998,64.400002,66.050003,4784700,64.660774
"98",65.940002,66.620003,65.790001,66.199997,4112500,64.807613
"99",66,66.099998,63.740002,64.830002,8981000,63.466433
"100",65,65.970001,64.779999,65.489998,6196800,64.112547
"101",65.400002,66.980003,65.309998,66.800003,4128000,65.394999
"102",67.300003,67.43,65.910004,66.330002,4471900,64.934884
"103",66.050003,66.660004,66.029999,66.540001,3465400,65.140466
"104",66.879997,67.230003,66.449997,67.169998,4057800,65.757212
"105",67.419998,67.610001,66.760002,66.989998,3073900,65.580998
"106",67.029999,67.230003,66.650002,66.959999,3091800,65.55163
"107",66.82,66.93,66.25,66.599998,3796800,65.199201
"108",66.82,68.419998,66.419998,68.349998,4438100,66.912394
"109",68.349998,68.669998,67.809998,67.849998,5282300,66.42291
"110",67.349998,67.849998,67.019997,67.400002,4499400,66.462359
"111",67.68,68.160004,67.410004,67.68,3292700,66.738463
"112",67.68,67.720001,67.120003,67.330002,2333300,66.393333
"113",67.07,67.349998,66.940002,67.290001,3309300,66.353889
"114",67.190002,68,67.010002,67.779999,3705400,66.83707
"115",67.660004,67.660004,66.910004,67.209999,3126000,66.275
"116",66.959999,67.080002,66.559998,66.800003,2464400,65.870708
"117",67.449997,67.5,67.029999,67.360001,5892000,66.422915
"118",67.610001,67.669998,66.849998,66.93,4574100,65.998897
"119",66.860001,67.220001,66.75,66.849998,4380000,65.920008
"120",67.029999,67.389999,66.889999,67.32,2372900,66.38347
"121",67.730003,68.550003,67.599998,68.120003,2237800,67.172344
"122",67.970001,68.769997,67.599998,68.510002,4669500,67.556918
"123",68.629997,70.769997,68.589996,70.379997,8242600,69.400899
"124",70.279999,71.160004,70,71.129997,6423400,70.140465
"125",70.980003,72.440002,70.839996,72.379997,6516600,71.373075
"126",72.089996,72.209999,71.68,71.849998,5787500,70.85045
"127",71.970001,72.860001,71.82,72.830002,4915100,71.81682
"128",72.18,72.260002,71.529999,72.209999,3794600,71.205442
"129",71.900002,72.199997,71,71.050003,4117600,70.061583
"130",73.629997,75.099998,71.540001,71.610001,10901500,70.613791
"131",71.459999,71.650002,69.470001,69.550003,7844400,68.582451
