"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"1",63.029999,63.52,62.869999,63.290001,2562700,61.712272
"2",62.91,63.18,62.400002,62.400002,1796900,60.844459
"3",62.400002,62.59,61.889999,62.080002,1411700,60.532436
"4",62.09,62.48,61.82,61.959999,1232000,60.415425
"5",61.810001,62.349998,61.639999,62.139999,1841200,60.590938
"6",61.98,63.16,61.919998,62.959999,1610100,61.390496
"7",63.099998,63.119999,62.650002,63.029999,1428900,61.458751
"8",63.049999,63.060001,62.540001,62.82,1337200,61.253987
"9",63.02,63.360001,62.740002,63.099998,1757200,61.527006
"10",63.189999,63.220001,62.68,62.950001,1472900,61.380747
"11",62.810001,63.07,62.450001,62.470001,1122900,60.912713
"12",62.119999,62.619999,62.07,62.599998,1156400,61.03947
"13",62.540001,62.700001,61.98,62.630001,1054800,61.068725
"14",62.490002,62.849998,62.25,62.720001,2175900,61.156481
"15",62.529999,62.82,62.150002,62.25,1626900,60.698197
"16",62.259998,62.950001,62.259998,62.66,1194300,61.097976
"17",62.810001,63.139999,62.34,62.529999,1411700,60.971215
"18",62.849998,63.549999,62.75,63.290001,1188300,61.712272
"19",63.16,63.439999,62.759998,63.419998,1991200,61.839028
"20",63.400002,63.400002,62.689999,62.82,2013000,61.253987
"21",62.93,63.150002,62.75,62.919998,1150100,61.351493
"22",62.130001,62.650002,62.130001,62.419998,1347100,60.863957
"23",62.240002,62.740002,62.07,62.66,1109400,61.097976
"24",63.02,63.259998,62.639999,62.799999,1232000,61.234485
"25",62.720001,63.18,62.529999,62.84,1420400,61.273489
"26",63.139999,63.23,62.619999,63.110001,1330600,61.536759
"27",63.150002,64.199997,62.790001,63.18,1990200,61.605013
"28",63.369999,63.790001,63.049999,63.709999,1830100,62.1218
"29",63.459999,63.93,63.349998,63.59,1190700,62.004792
"30",63.689999,63.91,63.490002,63.619999,1010900,62.034043
"31",63.650002,63.799999,63.23,63.59,857700,62.004792
"32",63.740002,64.019997,63.529999,63.93,986900,62.336317
"33",63.900002,64.110001,63.360001,63.59,1204100,62.004792
"34",63.52,63.689999,62.93,63.650002,1016300,62.063298
"35",63.599998,63.689999,62.689999,63.139999,2312900,61.56601
"36",61.380001,61.799999,60.529999,61.380001,4202600,59.849885
"37",60.93,61.200001,59.639999,59.740002,3267800,58.250769
"38",59.27,59.650002,58.5,59.119999,3133000,57.646222
"39",59.119999,59.169998,58.52,59.029999,2241300,57.558465
"40",58.939999,59.290001,58.509998,58.669998,1825700,57.207439
"41",58.610001,59.23,58.610001,59.02,1545300,57.548716
"42",59.23,59.560001,58.560001,58.68,1775100,57.217192
"43",58.799999,59.220001,58.52,59.189999,1429700,57.714477
"44",59.220001,59.48,58.869999,59.200001,1480200,57.724229
"45",59.060001,59.470001,59.060001,59.330002,1481300,57.85099
"46",59.5,59.73,59.25,59.639999,1849600,58.15326
"47",59.650002,60.18,59.599998,60.110001,1262300,58.611544
"48",60.34,60.419998,59.43,60.099998,2207100,58.601791
"49",60.009998,60.950001,59.98,60.919998,3519400,59.769316
"50",60.849998,60.950001,60.610001,60.869999,2218200,59.720261
"51",60.700001,61.110001,60.59,60.93,3435600,59.779129
"52",60.98,61.450001,60.650002,61.009998,3928700,59.857616
"53",61.07,61.18,60.509998,60.549999,1646900,59.406306
"54",60.919998,61.16,60.610001,60.84,1183200,59.690829
"55",60.889999,61.299999,60.889999,61.040001,1007400,59.887052
"56",61.299999,61.639999,61.09,61.389999,1193400,60.23044
"57",61.110001,61.5,60.82,61.240002,1071800,60.083275
"58",61.27,61.48,61.09,61.240002,1397800,60.083275
"59",61.619999,61.759998,61.07,61.259998,2057400,60.102894
"60",61.619999,61.639999,61.02,61.080002,1809500,59.926297
"61",61.299999,61.650002,61.07,61.240002,1207100,60.083275
"62",61.009998,61.48,61,61.459999,1069400,60.299117
"63",61.419998,61.509998,60.869999,61.049999,1205400,59.896862
"64",61.060001,61.080002,60.389999,60.52,2392400,59.376874
"65",60.560001,60.849998,59.57,59.84,2695400,58.709717
"66",59.57,59.889999,59.5,59.790001,2176900,58.660663
"67",59.849998,60.130001,59.389999,59.790001,2074700,58.660663
"68",59.790001,60.029999,59.349998,59.84,1292400,58.709717
"69",59.459999,59.66,58.779999,58.939999,4578700,57.826716
"70",59.029999,59.029999,58.279999,58.330002,3897600,57.228241
"71",58.52,58.860001,58.52,58.689999,2751600,57.581438
"72",58.810001,59,58.110001,58.400002,4438500,57.296918
"73",58.41,58.610001,58.25,58.540001,2577800,57.434273
"74",58.470001,58.549999,57.860001,57.860001,2237500,56.767117
"75",57.93,58.700001,57.93,58.619999,1942600,57.51276
"76",58.32,58.52,57.860001,58.080002,2701500,56.982963
"77",58.110001,58.689999,57.990002,58.5,1849500,57.395028
"78",57.91,58.599998,57.700001,58.470001,1498500,57.365596
"79",58.400002,58.560001,58.07,58.25,3134400,57.14975
"80",58.009998,58.049999,57.400002,57.560001,4170100,56.472784
"81",57.560001,57.830002,57.139999,57.669998,2555700,56.580703
"82",57.959999,58.220001,57.619999,57.84,2061900,56.747494
"83",58.130001,58.41,57.560001,57.799999,1506300,56.708249
"84",57.59,57.939999,57.060001,57.080002,2239300,56.001851
