"","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"1",58.990002,59.25,58.919998,59.130001,1102100,59.130001
"2",59.150002,59.16,58.650002,59,1080100,59
"3",59.040001,59.529999,58.93,59.209999,1044300,59.209999
"4",59.310001,59.34,58.599998,58.849998,1589800,58.849998
"5",59.049999,59.080002,58.52,59,1623600,59
"6",59.029999,59.279999,58.639999,58.849998,1111700,58.849998
"7",58.849998,59.700001,58.540001,59.669998,1580300,59.669998
"8",59.919998,59.970001,59.279999,59.970001,769200,59.970001
"9",60.110001,61.5,60,61.5,2752700,61.5
"10",61.669998,62.43,61.490002,61.889999,2067100,61.889999
"11",61.830002,62.32,60.889999,61.040001,1416000,61.040001
"12",60.790001,61.580002,60.669998,61.540001,651300,61.540001
"13",61.43,61.59,60.060001,60.259998,1645100,60.259998
"14",60,60.369999,59.639999,60.25,1262000,60.25
"15",60.490002,61.09,60.169998,61.07,1323000,61.07
"16",61.389999,61.389999,59.919998,60.110001,2126300,60.110001
"17",60.27,60.599998,59.700001,60.25,1556900,60.25
"18",60.75,61,60.389999,60.84,1100100,60.84
"19",60.779999,60.810001,59.279999,59.59,1674200,59.59
"20",59.470001,59.970001,59.150002,59.919998,1722600,59.919998
"21",60.110001,60.509998,59.740002,60.490002,1131400,60.490002
"22",60.07,60.080002,59.240002,59.470001,2090600,59.470001
"23",59.459999,59.59,58.830002,59.169998,1200200,59.169998
"24",59.599998,60.330002,59.419998,60.150002,1182100,60.150002
"25",59.830002,60.439999,59.830002,60.279999,1789900,60.279999
"26",60.700001,61.389999,60.439999,61.380001,1187200,61.380001
"27",61.060001,61.509998,60.279999,60.509998,1412000,60.509998
"28",60.57,60.970001,60.279999,60.93,1119000,60.93
"29",60.689999,61.290001,60.509998,60.900002,1033300,60.900002
"30",61.16,61.799999,61.029999,61.299999,1320600,61.299999
"31",63.07,63.889999,62.080002,63.220001,2878200,63.220001
"32",63.700001,63.919998,62.599998,62.619999,2477500,62.619999
"33",62.619999,63.41,62.43,63.279999,1358300,63.279999
"34",63.48,63.709999,62.919998,63.52,1290500,63.52
"35",63.779999,63.779999,62.459999,62.5,1557000,62.5
"36",62.580002,62.84,61.959999,62.169998,1513800,62.169998
"37",61.91,62.150002,60.740002,60.799999,1955900,60.799999
"38",60.43,61.23,59.560001,59.950001,2150500,59.950001
"39",60.18,62.099998,59.880001,62,1790300,62
"40",61.66,61.869999,60.27,60.779999,1222900,60.779999
"41",60.610001,62,60.27,61.189999,946500,61.189999
"42",61.400002,61.470001,59.810001,59.98,1459200,59.98
"43",60.349998,61.27,59.860001,61.240002,1230300,61.240002
"44",61.610001,61.77,60.939999,61.080002,1015700,61.080002
"45",60.98,61.09,59.650002,60.009998,1479500,60.009998
"46",60.330002,60.639999,60.02,60.299999,1146800,60.299999
"47",60.470001,60.68,59.310001,59.470001,1151900,59.470001
"48",59.77,60.310001,59.470001,59.959999,1302200,59.959999
"49",60.369999,60.560001,59.529999,59.799999,860100,59.799999
"50",59.91,60.459999,59.540001,60.450001,1314100,60.450001
"51",60.209999,60.860001,60.040001,60.759998,1249900,60.759998
"52",60.779999,60.900002,59.810001,60.779999,1058800,60.779999
"53",60.630001,60.720001,59.610001,60.029999,785200,60.029999
"54",60.41,60.669998,60.07,60.59,787500,60.59
"55",60.84,61.639999,60.459999,61.209999,1002400,61.209999
"56",61.200001,61.73,60.82,61.509998,872300,61.509998
"57",61.259998,61.740002,61.02,61.59,968300,61.59
"58",61.66,61.869999,61.34,61.84,1142700,61.84
"59",61.84,62,60.299999,60.380001,1151500,60.380001
"60",60.259998,60.880001,59.580002,59.68,1690000,59.68
"61",59.610001,59.709999,55.900002,57.049999,3813800,57.049999
"62",56.98,57.75,56.630001,57.549999,2374800,57.549999
"63",57.18,57.18,55.669998,56.25,1995300,56.25
"64",56.209999,57.619999,55.98,56.970001,2202300,56.970001
"65",57.139999,57.580002,56.439999,57.400002,1752400,57.400002
"66",56.950001,57.700001,56.639999,57.560001,1284300,57.560001
"67",57.32,57.380001,56.48,56.689999,1719300,56.689999
"68",56.529999,56.950001,56.009998,56.509998,1275500,56.509998
"69",54,56.5,54,56.07,2605500,56.07
"70",56.380001,56.57,55.580002,55.889999,1606200,55.889999
"71",56.220001,56.220001,55.25,55.32,1308100,55.32
"72",55.68,55.82,55.23,55.330002,1782400,55.330002
"73",55.080002,55.25,53.939999,54.549999,1609000,54.549999
"74",54.57,55.200001,54.220001,54.580002,1449800,54.580002
"75",54.299999,55.630001,53.48,55.169998,3075800,55.169998
"76",55.009998,55.139999,54.209999,54.32,2974400,54.32
"77",54.169998,54.689999,53.740002,54.560001,1797100,54.560001
"78",54.009998,54.439999,53.419998,54.209999,1334400,54.209999
"79",54.099998,54.75,53.84,54.310001,2780500,54.310001
"80",54.189999,54.639999,53,53.25,2450600,53.25
"81",52.84,52.860001,51.400002,52.5,4481800,52.5
"82",52.610001,52.91,51.970001,52.41,2233700,52.41
"83",52.59,53.360001,52.290001,52.43,1482100,52.43
"84",52.209999,53.57,52.02,52.34,2197600,52.34
"85",52.080002,53.669998,51.349998,53.580002,2827800,53.580002
