"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"1",35.98,36.380001,35.91,36.369999,2682800,35.72182
"2",36.169998,36.330002,35.98,36.169998,1740200,35.525384
"3",36.060001,36.27,35.720001,35.82,1707300,35.181623
"4",35.669998,35.970001,35.59,35.73,2009200,35.093227
"5",35.639999,35.68,35.419998,35.639999,1504000,35.004831
"6",35.459999,35.990002,35.41,35.959999,2197300,35.319128
"7",35.860001,36.040001,35.57,35.990002,2893600,35.348595
"8",36.060001,36.080002,35.77,36.02,1424200,35.37806
"9",36.150002,36.169998,35.939999,36.02,2512500,35.37806
"10",35.950001,36.07,35.709999,36.040001,1994900,35.397704
"11",35.880001,36.27,35.75,35.779999,1639700,35.142335
"12",35.630001,36.060001,35.580002,35.93,1705600,35.289663
"13",35.880001,35.98,35.389999,35.830002,1601700,35.191447
"14",35.740002,35.900002,35.5,35.66,2162000,35.024475
"15",35.68,35.959999,35.549999,35.810001,1667100,35.171803
"16",35.970001,36.59,35.900002,36.43,3266700,35.780753
"17",36.349998,36.48,35.93,35.990002,2659400,35.348595
"18",36.310001,36.869999,36.279999,36.849998,3011700,36.193266
"19",36.450001,36.82,36.369999,36.799999,3650100,36.144157
"20",36.630001,36.73,36.5,36.529999,2933000,35.878969
"21",36.59,36.740002,36.369999,36.59,1542300,35.937901
"22",36.040001,36.27,35.759998,36.200001,1591800,35.554852
"23",35.5,36.459999,35.5,36.369999,1425900,35.72182
"24",36.650002,36.84,36.34,36.43,1713800,35.780753
"25",36.48,36.75,36.189999,36.419998,2781100,35.770929
"26",36.610001,36.66,36.279999,36.459999,1531400,35.810217
"27",36.240002,36.369999,35.689999,35.799999,3219100,35.161979
"28",35.830002,36.110001,35.669998,36.099998,2600800,35.456632
"29",35.93,36.259998,35.799999,36.189999,1660100,35.545028
"30",36.209999,36.34,35.709999,35.82,2842000,35.181623
"31",35.849998,36.02,35.709999,35.860001,1412200,35.220911
"32",36,36,35.73,35.869999,1827100,35.230731
"33",35.68,35.849998,35.209999,35.25,3024400,34.621782
"34",35.23,35.459999,35,35.330002,3797100,34.700358
"35",35.349998,35.549999,35.07,35.099998,3477600,34.474454
"36",35.349998,35.380001,34.48,34.529999,5558700,33.914612
"37",34.25,35.060001,34.040001,34.16,7658800,33.551208
"38",34.07,34.169998,33.75,34.029999,4757300,33.423523
"39",34.060001,34.459999,33.98,34.330002,3235500,33.71818
"40",33.639999,34.389999,33.639999,34.02,3496600,33.413703
"41",33.759998,34.48,33.720001,34.389999,4699600,33.777108
"42",34.549999,34.619999,33.77,33.849998,4687900,33.246731
"43",33.869999,34.009998,33.700001,33.990002,5563300,33.384239
"44",34.18,34.610001,34.009998,34.48,3213500,33.865504
"45",34.389999,34.700001,34.34,34.599998,2668700,33.983365
"46",34.75,35.02,34.720001,34.869999,2244700,34.248553
"47",34.880001,35.419998,34.880001,35.259998,2710500,34.631602
"48",35.369999,35.41,34.82,35.110001,2553200,34.484278
"49",35.279999,35.720001,35.27,35.630001,2202100,34.995011
"50",35.68,35.919998,35.57,35.779999,2299600,35.142335
"51",35.630001,36.139999,35.630001,35.91,3613700,35.270019
"52",35.900002,36.48,35.860001,36.299999,3772600,35.653068
"53",36.200001,36.43,36.169998,36.299999,3720900,35.653068
"54",36.52,36.77,36.41,36.68,2529300,36.026297
"55",36.700001,37.23,36.650002,37.139999,4687700,36.478098
"56",37.099998,37.32,37.02,37.209999,2095900,36.54685
"57",36.849998,36.98,36.669998,36.860001,3630000,36.379071
