0,1,2,3,4,5,6,7,8,9,10,11
ZMH,VFC,SHW,GOOG,SAI,AAPL,BTU,ISRG,CLF,PCLN,NFLX,X
ZION,UNH,MA,,,,,,AVP,,,NEM
YUM,TWC,CMG,,,,,,APOL,,,MOS
YHOO,TSO,AZO,,,,,,AMD,,,FSLR
XYL,STZ,,,,,,,,,,FCX
XRX,SNA,,,,,,,,,,DO
XRAY,ROP,,,,,,,,,,DNR
XOM,PRGO,,,,,,,,,,CHK
XLNX,PPG,,,,,,,,,,APA
XL,PCP,,,,,,,,,,
XEL,ORLY,,,,,,,,,,
WYNN,MNST,,,,,,,,,,
WYN,MCO,,,,,,,,,,
WY,MCK,,,,,,,,,,
WU,LYB,,,,,,,,,,
WPX,INTU,,,,,,,,,,
WPI,IBM,,,,,,,,,,
WMT,HUM,,,,,,,,,,
WMB,GWW,,,,,,,,,,
WM,FISV,,,,,,,,,,
WIN,CI,,,,,,,,,,
WHR,CF,,,,,,,,,,
WFM,CELG,,,,,,,,,,
WFC,BIIB,,,,,,,,,,
WEC,BCR,,,,,,,,,,
WDC,AMZN,,,,,,,,,,
WAT,AMP,,,,,,,,,,
VZ,ALXN,,,,,,,,,,
VTR,AGN,,,,,,,,,,
VRSN,ACN,,,,,,,,,,
VNO,,,,,,,,,,,
VMC,,,,,,,,,,,
VLO,,,,,,,,,,,
VIAB,,,,,,,,,,,
VAR,,,,,,,,,,,
V,,,,,,,,,,,
UTX,,,,,,,,,,,
USB,,,,,,,,,,,
URBN,,,,,,,,,,,
UPS,,,,,,,,,,,
UNP,,,,,,,,,,,
UNM,,,,,,,,,,,
TYC,,,,,,,,,,,
TXT,,,,,,,,,,,
TXN,,,,,,,,,,,
TWX,,,,,,,,,,,
TSS,,,,,,,,,,,
TSN,,,,,,,,,,,
TRV,,,,,,,,,,,
TROW,,,,,,,,,,,
TRIP,,,,,,,,,,,
TMO,,,,,,,,,,,
TMK,,,,,,,,,,,
TJX,,,,,,,,,,,
TIF,,,,,,,,,,,
THC,,,,,,,,,,,
TGT,,,,,,,,,,,
TER,,,,,,,,,,,
TEL,,,,,,,,,,,
TEG,,,,,,,,,,,
TE,,,,,,,,,,,
TDC,,,,,,,,,,,
TAP,,,,,,,,,,,
T,,,,,,,,,,,
SYY,,,,,,,,,,,
SYMC,,,,,,,,,,,
SYK,,,,,,,,,,,
SWN,,,,,,,,,,,
SWK,,,,,,,,,,,
STX,,,,,,,,,,,
STT,,,,,,,,,,,
STJ,,,,,,,,,,,
STI,,,,,,,,,,,
SRE,,,,,,,,,,,
SRCL,,,,,,,,,,,
SPLS,,,,,,,,,,,
SPG,,,,,,,,,,,
SO,,,,,,,,,,,
SNI,,,,,,,,,,,
SNDK,,,,,,,,,,,
SLM,,,,,,,,,,,
SLB,,,,,,,,,,,
SJM,,,,,,,,,,,
SIAL,,,,,,,,,,,
SEE,,,,,,,,,,,
SE,,,,,,,,,,,
SCHW,,,,,,,,,,,
SCG,,,,,,,,,,,
SBUX,,,,,,,,,,,
S,,,,,,,,,,,
RTN,,,,,,,,,,,
RSG,,,,,,,,,,,
RRD,,,,,,,,,,,
RRC,,,,,,,,,,,
ROST,,,,,,,,,,,
ROK,,,,,,,,,,,
RL,,,,,,,,,,,
RHT,,,,,,,,,,,
RHI,,,,,,,,,,,
RF,,,,,,,,,,,
RDC,,,,,,,,,,,
RAI,,,,,,,,,,,
R,,,,,,,,,,,
QEP,,,,,,,,,,,
QCOM,,,,,,,,,,,
PXD,,,,,,,,,,,
PX,,,,,,,,,,,
PWR,,,,,,,,,,,
PSX,,,,,,,,,,,
PSA,,,,,,,,,,,
PRU,,,,,,,,,,,
PPL,,,,,,,,,,,
POM,,,,,,,,,,,
PNW,,,,,,,,,,,
PNR,,,,,,,,,,,
PNC,,,,,,,,,,,
PM,,,,,,,,,,,
PLL,,,,,,,,,,,
PLD,,,,,,,,,,,
PKI,,,,,,,,,,,
PHM,,,,,,,,,,,
PH,,,,,,,,,,,
PGR,,,,,,,,,,,
PG,,,,,,,,,,,
PFG,,,,,,,,,,,
PFE,,,,,,,,,,,
PETM,,,,,,,,,,,
PEP,,,,,,,,,,,
PEG,,,,,,,,,,,
PDCO,,,,,,,,,,,
PCS,,,,,,,,,,,
PCL,,,,,,,,,,,
PCG,,,,,,,,,,,
PCAR,,,,,,,,,,,
PBI,,,,,,,,,,,
PBCT,,,,,,,,,,,
PAYX,,,,,,,,,,,
OXY,,,,,,,,,,,
ORCL,,,,,,,,,,,
OMC,,,,,,,,,,,
OKE,,,,,,,,,,,
OI,,,,,,,,,,,
NWSA,,,,,,,,,,,
NWL,,,,,,,,,,,
NVDA,,,,,,,,,,,
NUE,,,,,,,,,,,
NTRS,,,,,,,,,,,
NTAP,,,,,,,,,,,
NSC,,,,,,,,,,,
NRG,,,,,,,,,,,
NOV,,,,,,,,,,,
NOC,,,,,,,,,,,
NKE,,,,,,,,,,,
NI,,,,,,,,,,,
NFX,,,,,,,,,,,
NEE,,,,,,,,,,,
NE,,,,,,,,,,,
NDAQ,,,,,,,,,,,
NBR,,,,,,,,,,,
