"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"1",16.119839,16.239838,16.04984,16.239838,2787400,38.579839
"2",16.169838,16.239838,15.97984,16.169838,2051000,38.413544
"3",16.259837,16.309837,16.159839,16.209839,2594300,38.50857
"4",16.269838,16.409836,16.219838,16.409836,2265800,38.98369
"5",16.469836,16.559835,16.339837,16.519836,2245800,39.245008
"6",16.549835,16.719833,16.449835,16.709834,1991700,39.696373
"7",16.689833,16.739833,16.519836,16.639833,2459500,39.530079
"8",16.719833,16.749833,16.509835,16.589835,2113300,39.4113
"9",16.569834,16.599834,16.279838,16.319837,2247600,38.769885
"10",16.339837,16.399837,16.149839,16.219838,1867600,38.532325
"11",16.129839,16.389836,16.10984,16.149839,4282400,38.366034
"12",16.179839,16.259837,16.04984,16.169838,2114200,38.413544
"13",16.239838,16.409836,16.119839,16.339837,1553600,38.817399
"14",16.229838,16.279838,16.04984,16.149839,3014600,38.366034
"15",16.139838,16.289837,15.94984,15.99984,2723900,38.009692
"16",16.069839,16.069839,15.869842,15.969841,3729100,37.938424
"17",15.969841,16.159839,15.959841,16.05984,2289000,38.152229
"18",16.129839,16.299838,16.08984,16.219838,5747300,38.532325
"19",16.239838,16.759832,16.209839,16.749833,2706400,39.791397
"20",16.759832,16.849832,16.579835,16.719833,2497600,39.720128
"21",16.699833,16.809832,16.639833,16.789832,1202900,39.88642
"22",16.729833,16.899832,16.699833,16.889831,1504600,40.12398
"23",16.929831,16.97983,16.769833,16.839832,2340700,40.005201
"24",16.799833,16.969831,16.749833,16.959831,2288500,40.290275
"25",16.959831,17.10983,16.859832,17.07983,1956300,40.575348
"26",17.07983,17.10983,16.819832,16.869832,2208600,40.07647
"27",16.969831,17.229828,16.899832,17.169828,1944500,40.78915
"28",17.03983,17.189828,16.929831,17.139828,2148300,40.717881
"29",17.159829,17.179829,16.789832,16.899832,2786100,40.147738
"30",17.02983,17.179829,16.969831,17.099829,3248500,40.622858
"31",17.189828,17.189828,16.849832,16.939831,6587200,40.242761
"32",16.889831,17.099829,16.889831,17.099829,3342900,40.622858
"33",17.139828,17.359827,17.04983,17.359827,3497500,41.240518
"34",17.339827,17.369827,17.199828,17.309827,2228600,41.121736
"35",17.379826,17.429826,17.159829,17.169828,2580900,40.78915
"36",17.099829,17.229828,16.99983,17.099829,2595600,40.622858
"37",17.239828,17.479825,17.239828,17.369827,2849500,41.264273
"38",17.499825,17.499825,17.329828,17.369827,2734400,41.264273
"39",17.469826,17.469826,17.249828,17.369827,2133200,41.264273
"40",17.319827,17.419826,17.249828,17.409826,1964500,41.359296
"41",17.379826,17.449825,17.249828,17.419826,2189900,41.383051
"42",17.539825,17.609825,17.439826,17.559825,1974300,41.715638
