"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"1061",133.820007,133.820007,133.020004,133.399994,693700,130.50137
"1062",133.029999,133.789993,132.389999,133,1099300,130.110068
"1063",132.5,133.899994,131.889999,133.339996,1839700,130.442676
"1064",133.699997,133.869995,132.630005,133.210007,960200,130.315511
"1065",133.169998,133.509995,131.710007,132.289993,1254200,129.415489
"1066",132.279999,133.440002,132.279999,132.880005,1021000,129.99268
"1067",132.889999,133.399994,132.190002,132.429993,777700,129.552446
"1068",132.210007,132.580002,131.520004,132.539993,846300,129.660056
"1069",132.300003,133.389999,131.660004,131.990005,931300,129.122019
"1070",132.039993,132.039993,129.520004,130.110001,1261900,127.282865
"1071",129.929993,131.729996,129.160004,131.610001,3813200,128.750271
"1072",130.470001,130.509995,128.029999,128.429993,3140100,125.639361
"1073",128.389999,129.050003,127.459999,128.220001,2041600,125.433933
"1074",127.830002,129.059998,126.82,128.949997,2428100,126.148066
"1075",128.729996,132.279999,128.350006,131.479996,3399000,128.623091
"1076",131.990005,133.020004,130.220001,130.919998,2301300,128.075262
"1077",131.720001,137.449997,131.059998,133.039993,4749400,130.149192
"1078",133.690002,135.960007,133.369995,134.5,6640400,131.577475
"1079",134.5,134.699997,133.759995,134.199997,1918500,131.28399
"1080",134.199997,134.419998,133.350006,133.410004,2038600,130.511163
"1081",133.800003,136,133.309998,135.679993,1776100,132.731827
"1082",134.850006,135.119995,132.789993,133.020004,1805900,130.129637
"1083",133,135.279999,133,134.770004,1290500,131.841612
"1084",132.990005,133.869995,132.830002,133.130005,1140300,130.985629
"1085",133.110001,133.300003,130.179993,130.179993,1801500,128.083134
"1086",129.440002,129.710007,126.199997,126.480003,3023800,124.442742
"1087",126.339996,128.220001,124.489998,127.419998,2432200,125.367596
"1088",129.070007,129.5,127.68,128.559998,1359900,126.489233
"1089",128.960007,128.970001,127.940002,128.669998,1338400,126.597462
"1090",127.849998,127.970001,125.660004,125.849998,2101200,123.822885
"1091",125.800003,126.910004,123.440002,126.699997,2303500,124.659192
"1092",126.5,126.620003,122.160004,123.309998,2650400,121.323797
"1093",122.540001,123.93,121.440002,122.959999,2628000,120.979436
"1094",122.660004,123.339996,118.790001,119.029999,2333000,117.112737
"1095",119.599998,122.699997,118.199997,121.010002,2945700,119.060848
"1096",119.239998,126.860001,118.239998,126.269997,3643000,124.236118
"1097",125.230003,129.210007,124.559998,127.709999,3022800,125.652926
"1098",128.800003,129.729996,127.919998,129.009995,2040200,126.931981
"1099",128.929993,129.970001,128.369995,129.970001,1321800,127.876525
"1100",129.800003,131.699997,129.520004,130.75,2203500,128.64396
"1101",131.389999,132.460007,129.479996,129.600006,1462900,127.51249
"1102",130.960007,131.089996,129.070007,129.520004,1572200,127.433776
"1103",129.5,131.990005,128.889999,131.5,1308600,129.381879
"1104",130.429993,130.429993,127.830002,128.550003,2026200,126.479399
"1105",129.119995,130.259995,128.639999,129.720001,1539000,127.630552
"1106",129.729996,129.75,126.830002,128.850006,3736400,126.77457
"1107",131,136.080002,131,133.580002,3141900,131.428378
"1108",134.389999,135.419998,133.149994,134.660004,2853600,132.490984
"1109",134.610001,136.229996,133.320007,135.389999,1699600,133.209221
"1110",135,135.169998,133.070007,133.669998,1935200,131.516925
"1111",135,135.089996,133.570007,133.970001,1479800,131.812095
"1112",134.330002,135.160004,133.440002,135.009995,1181500,132.835337
"1113",135.369995,135.740005,134.399994,134.940002,971600,132.766472
"1114",135,135.139999,134.259995,134.899994,678900,132.727108
"1115",134.929993,135.350006,134.490005,134.919998,802500,132.74679
"1116",135,135.350006,134.5,134.789993,1410500,132.61888
"1117",134.979996,135.869995,134.630005,135.529999,821000,133.346966
"1118",135.229996,136.199997,134.449997,134.710007,728600,132.540181
"1119",134.850006,135.889999,134.5,135.809998,1411000,133.622454
"1120",136,139.240005,135.789993,138.899994,1238700,136.662679
"1121",139.899994,142.490005,139.830002,142.139999,1847900,139.850496
"1122",141.25,142.789993,140.979996,142.679993,1123500,140.381792
