"","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"1",77.970001,78.830002,77.519997,78.470001,2099500,64.342384
"2",77.809998,78.860001,77.419998,78.75,1455800,64.571972
"3",79.25,80.669998,79.25,79.669998,2311200,65.326335
"4",80.190002,80.889999,79.949997,80.839996,2167000,66.285689
"5",80.459999,81.599998,80.419998,81.199997,1208800,66.580875
"6",80.959999,81.449997,79.989998,80.949997,1826400,66.375885
"7",81.089996,81.089996,80.010002,80.690002,2606000,66.162699
"8",81.449997,81.699997,79.610001,80.07,2147700,65.654321
"9",79.959999,81.139999,79.769997,79.860001,1894200,65.48213
"10",80.07,80.57,79.239998,79.690002,2231200,65.342738
"11",79.440002,80.019997,78,78.120003,1728200,64.055398
"12",78.120003,78.5,77.580002,78.050003,3091600,63.998001
"13",78.349998,78.639999,77.580002,77.580002,1602600,63.612618
"14",77.080002,77.339996,74.620003,75.150002,3106900,61.620112
"15",75,75.519997,74.360001,74.5,2659600,61.087135
"16",74.5,74.959999,73.779999,74.459999,2332400,61.054336
"17",74.739998,75.019997,73.889999,74.440002,1499900,61.03794
"18",75.029999,75.32,73.650002,74.330002,1810400,60.947743
"19",74.279999,75.480003,73.800003,75.410004,2167600,61.833303
"20",75.580002,76.209999,75.220001,76.150002,2065400,62.440073
"21",75.93,76.010002,74.610001,75.239998,1996800,61.693905
"22",74.940002,75.199997,74.239998,74.739998,1551300,61.283924
"23",75.099998,75.980003,75.099998,75.529999,1958800,61.931695
"24",75.220001,76.230003,75.040001,75.5,2442300,61.907097
"25",75.580002,76.150002,75.010002,75.949997,2153300,62.276077
"26",75.610001,76.089996,73.830002,73.93,1960300,60.619757
"27",74.339996,74.739998,73.730003,74.050003,1370100,60.718155
"28",73.150002,73.980003,72.349998,73.900002,2911300,60.59516
"29",74.279999,74.589996,73.139999,73.660004,3112900,60.398371
"30",74.410004,74.809998,73.779999,74.25,3105000,60.882145
"31",74.379997,74.830002,73.900002,73.949997,2886600,60.636154
"32",73.849998,75.269997,73.849998,74.879997,3181300,61.398718
"33",75.300003,76.339996,74.779999,74.870003,3358000,61.390523
"34",75.07,75.669998,74.25,75.239998,1762700,61.693905
"35",75.709999,75.709999,74.129997,74.949997,1919000,61.456116
"36",74.260002,75.440002,74.260002,75.150002,2686900,61.620112
"37",75.839996,76,74.980003,75.900002,1776000,62.235083
"38",75.809998,75.809998,75.269997,75.43,1829100,61.8497
"39",75.589996,75.589996,74.910004,75.019997,2626700,61.513513
"40",74.5,75.68,74.25,75.029999,2706200,61.521714
"41",74.400002,75.07,74.199997,75.07,1323600,61.554513
"42",75.18,75.739998,75.139999,75.599998,979400,61.989092
"43",75.239998,75.25,73.620003,75.050003,2133800,61.538117
"44",74.099998,74.199997,72.75,73.120003,2661100,59.955591
"45",72.370003,72.93,72,72.480003,2164700,59.430816
"46",72.239998,73.519997,72.220001,72.720001,2095300,59.627605
"47",72.419998,72.419998,71.510002,71.940002,3378200,58.988036
"48",72.400002,73.370003,71.959999,72.419998,3620000,59.381614
