"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"1",58.410159,59.17017,58.240162,59.050172,1706000,46.257515
"2",58.430171,59.740168,58.120165,59.690174,1794200,46.758866
"3",60.170164,60.710164,59.620166,59.740168,2087900,46.79803
"4",59.920166,60.620169,59.740168,60.500171,2984300,47.393385
"5",60.410176,61.270168,60.330175,61.080171,2452900,47.847734
"6",61.520174,61.880175,60.810165,61.500173,1945900,48.176747
"7",61.560174,62.160175,61.440172,62.080174,2234900,48.631095
"8",62.950172,63.060176,61.00017,61.240174,2195400,47.973073
"9",61.080171,61.670178,60.120169,60.250174,2060900,47.197547
"10",60.110163,60.520171,59.450174,59.930164,1773700,46.946865
"11",59.730161,60.060169,58.700165,58.880163,2263000,46.124337
"12",59.020166,59.060166,58.050157,58.600163,2784200,45.904996
"13",58.810169,59.390161,58.260163,58.420165,2411500,45.763993
"14",57.600161,57.850159,55.210161,55.520155,3953900,43.492242
"15",55.420158,55.780155,54.370148,54.440152,4194400,42.646211
"16",54.330156,54.500153,53.50015,54.150158,3832600,42.419042
"17",54.010147,54.690157,53.78015,54.100151,2573600,42.379868
"18",54.650148,54.740152,53.570145,54.120151,2654100,42.395536
"19",54.420151,55.620157,54.270147,55.590163,3101000,43.547083
"20",56.340159,56.360159,55.480155,56.170154,2209100,44.001426
"21",55.910163,55.970151,54.810147,55.450152,1803400,43.437405
"22",54.430149,54.800153,54.150158,54.550147,2451500,42.732377
"23",55.080153,55.590163,54.800153,55.260155,2503300,43.288569
"24",55.850162,57.50016,55.850162,56.990167,3920300,44.64379
"25",57.720163,57.720163,56.150154,56.610153,2350700,44.346102
"26",56.40016,56.550164,54.540153,54.740152,2268200,42.881219
"27",55.090151,55.700158,55.000156,55.490161,2388300,43.468746
"28",54.800153,56.360159,54.480152,56.320159,2036000,44.118933
"29",57.040161,57.290167,55.570162,56.030165,1738300,43.891764
"30",56.670166,57.980163,56.550164,57.900161,3335900,45.356643
"31",57.850159,58.49016,57.760164,58.170168,3015700,45.568155
"32",58.430171,59.050172,58.000163,59.040166,2072900,46.249676
"33",59.400167,59.400167,58.020163,58.140165,1712300,45.544652
"34",58.150159,58.780166,57.800164,58.390158,1829100,45.740487
"35",59.490162,60.000168,57.810166,58.440165,2725500,45.77966
"36",57.990169,58.87017,57.200159,58.640164,2565400,45.936331
"37",59.480168,59.480168,58.250169,59.210162,1829300,46.382845
"38",58.940164,59.400167,58.590161,58.920164,1477100,46.155672
"39",58.900164,59.540169,58.820167,59.520169,1754100,46.625691
"40",59.190162,59.670161,59.020166,59.510171,2218900,46.617859
"41",59.020166,60.150176,58.970171,60.010161,2632600,47.009532
"42",60.230173,60.250174,59.570163,60.100169,2237200,47.08004
"43",59.260165,59.670161,58.410159,59.150174,2411700,46.335852
"44",57.580161,58.090171,56.630166,56.930166,2402200,44.596788
"45",56.120156,56.990167,56.110162,56.530151,2226400,44.283433
"46",56.340159,56.840158,56.270164,56.570165,2411100,44.314777
"47",56.230151,56.520158,55.620157,56.230151,2136400,44.048425
"48",56.760161,58.21016,56.38016,57.52016,2099200,45.058965
"49",57.250154,58.340164,57.250154,58.23016,2851700,45.615151
"50",57.950156,58.250169,56.820158,57.060161,2593400,44.698621
"51",57.170165,57.480164,56.470163,57.370168,2205800,44.941468
"52",57.690156,57.920162,56.360159,56.480157,2134600,44.244269
"53",55.810153,55.940157,54.940155,55.340157,2214600,43.351239
"54",55.030158,55.560156,54.170145,55.310163,2858900,43.327743
"55",55.190148,55.650163,54.490159,54.620154,2750700,43.153926
"56",55.040156,55.550149,54.110145,55.480155,1937000,43.833389
"57",55.400158,55.590163,54.250159,54.250159,2311400,42.861602
"58",54.030156,54.490159,53.510157,54.120151,3348900,42.758886
"59",54.900154,56.720161,54.520153,56.570165,2832400,44.694577
"60",56.790155,57.680162,56.650166,57.670156,2582400,45.56365
"61",58.170168,58.480166,57.310155,57.820164,2256800,45.682168
"62",57.24016,57.410156,56.520158,56.540158,2257600,44.670869
"63",56.42016,57.030167,56.42016,56.850165,1987900,44.915797
"64",57.660162,57.670156,56.760161,57.090164,1984000,45.105414
"65",57.250154,58.89017,57.230153,58.730172,2756600,46.401141
"66",59.610172,59.970174,58.690171,58.810169,2383800,46.464344
"67",58.810169,58.810169,58.200162,58.340164,1662400,46.093006
"68",58.190168,58.580163,57.800164,57.990169,2242300,45.816484
"69",57.900161,58.140165,57.590155,57.770157,1639200,45.642659
"70",58.240162,59.270171,58.000163,58.91017,3020400,46.543353
"71",59.060166,59.940167,58.730172,59.750162,2148600,47.207008
"72",59.600166,60.070175,59.390161,59.580166,1901000,47.072698
"73",59.600166,60.150176,59.060166,59.070173,1613600,46.669766
"74",58.660164,59.810163,58.600163,59.050172,2044900,46.653965
"75",59.790175,60.610175,59.600166,60.330175,2458300,47.66526
"76",60.290166,60.610175,60.200171,60.270165,3070800,47.617849
"77",60.340169,60.630167,59.570163,60.520171,2525500,47.815371
"78",60.170164,60.660169,59.88017,60.200171,2848200,47.562548
"79",60.790177,61.740173,60.060169,60.630167,2843900,47.902276
"80",61.250167,61.500173,60.200171,60.330175,3124900,47.66526
"81",60.14017,60.70017,59.840169,60.110163,2381500,47.491435
"82",60.760171,62.310179,60.760171,62.050179,2824100,49.02419
"83",62.140175,62.680174,61.870181,62.080174,2775000,49.047888
"84",62.600177,62.67018,61.710166,62.140175,2696100,49.095293
"85",62.240176,62.850183,62.040173,62.290179,1719300,49.213807
"86",62.25017,62.400174,61.920175,62.010179,1273800,48.992587
"87",61.980176,62.120174,60.970176,61.760173,1877500,48.795064
"88",62.150168,62.540176,61.780173,62.190182,1886400,49.134802
"89",62.200175,62.570183,61.480173,61.83018,1810000,48.850375
"90",62.580177,62.840177,61.660172,61.870181,2041100,48.881978
"91",62.050179,62.050179,60.930167,61.620175,2344100,48.684455
"92",60.790177,61.440172,60.110163,60.430176,2851500,47.744269
"93",60.640169,61.390178,60.640169,61.150179,1984500,48.313123
"94",61.380172,62.300177,61.30017,61.720172,1704300,48.76346
"95",61.750179,62.070167,61.420172,61.900175,1282100,48.905676
"96",62.140175,62.230182,60.850178,60.910167,2774600,48.123496
