"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"1",69.410004,69.800003,69.209999,69.760002,1421200,62.901323
"2",69.550003,69.82,69.169998,69.690002,1468000,62.838206
"3",71.040001,71.040001,70.099998,70.190002,1658000,63.289046
"4",70.459999,71.110001,70.199997,71.110001,1376800,64.118592
"5",70.900002,72.050003,70.480003,72.050003,1334700,64.966175
"6",72.089996,72.220001,71.470001,71.919998,1318000,64.848952
"7",71.970001,72.029999,71.269997,71.32,1937700,64.307944
"8",71.730003,72.150002,71.25,71.480003,1682400,64.452217
"9",71.480003,72.559998,71.150002,71.160004,1507500,64.163679
"10",71.209999,71.260002,69.900002,70.050003,2171800,63.162811
"11",70.010002,70.300003,69.330002,69.419998,1551100,62.594748
"12",69.330002,69.919998,68.739998,69.050003,2632500,62.26113
"13",69.32,69.610001,68.5,69.160004,1150900,62.360315
"14",68.059998,68.32,67,67.449997,2213000,60.818433
"15",67.239998,68.139999,67.050003,67.620003,2027200,60.971724
"16",67.730003,67.730003,66.629997,67.290001,2283300,60.674168
"17",67.339996,68.360001,67.290001,67.970001,1487300,61.287312
"18",68.629997,68.830002,67.589996,68.18,1490100,61.476664
"19",68.139999,70.300003,67.900002,70.279999,2112500,63.370194
"20",70.519997,71.019997,69.440002,69.959999,1791200,63.081657
"21",69.910004,70.089996,69.050003,69.459999,1012400,62.630816
"22",69.410004,69.459999,68.830002,69.080002,1245200,62.288179
"23",69.550003,70.080002,69.400002,69.519997,1252800,62.684914
"24",69.279999,69.589996,68.519997,69.589996,1375200,62.748032
"25",69.300003,69.690002,68.870003,69.360001,955100,62.540649
"26",69.160004,69.330002,67.620003,67.75,1221100,61.088941
"27",67.980003,68.379997,67.809998,68.059998,765700,61.36846
"28",67.529999,68.169998,67.139999,68.129997,1734600,61.431577
"29",68.260002,68.260002,66.639999,66.919998,1876700,60.340543
"30",67.260002,68.239998,67.099998,67.400002,2360500,60.773353
"31",67.07,67.07,66.470001,66.889999,2774400,60.313494
"32",67.059998,68.639999,66.720001,68.550003,1917000,61.810289
"33",69.220001,69.260002,68.089996,68.269997,1736700,61.557812
"34",68.089996,68.800003,67.389999,68.330002,2236100,61.611918
"35",69.32,69.93,67.129997,67.540001,2089100,60.899588
"36",67.150002,69.150002,66.870003,68.800003,2110800,62.035709
"37",69.550003,70.5,69.199997,70.400002,2255700,63.478399
"38",70.360001,70.889999,70.110001,70.459999,1311000,63.532497
"39",70.629997,71.269997,70.25,71.190002,1226200,64.190728
"40",71,71.779999,70.739998,71.610001,1370600,64.569433
"41",71.190002,71.800003,70.489998,71.68,1214700,64.63255
"42",71.599998,72,71.5,71.879997,661600,64.812884
"43",71.440002,72.690002,71.059998,72.389999,1251800,65.272744
"44",71.599998,71.779999,70.529999,71.099998,1745200,64.109573
"45",70.220001,71.220001,70.220001,71.059998,1041900,64.073505
"46",71,71.260002,70.639999,70.959999,668500,63.983338
"47",70.620003,70.800003,70.139999,70.629997,687700,63.685782
"48",70.910004,72.309998,70.669998,71.980003,1048500,64.903058
"49",71.970001,72.68,71.57,72.330002,941200,65.218645
