"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"1",57.790001,59.349998,57.349998,59.169998,16931400,54.740756
"2",58.439999,59.709999,58.220001,59.48,10919100,55.027552
"3",60.400002,60.91,58.509998,58.66,11821200,54.268934
"4",59.709999,61.060001,59.150002,60.869999,9340600,56.313501
"5",59.790001,61.650002,59.790001,60.810001,9602000,56.257994
"6",61.360001,61.59,60.560001,61.360001,9951400,56.766823
"7",61.139999,61.240002,59.459999,60.529999,16572100,55.998952
"8",61.639999,61.889999,59.810001,60.330002,10320700,55.813926
"9",60.330002,60.560001,58.189999,58.259998,15054100,53.898875
"10",58.23,58.740002,57.439999,58.330002,8165300,53.963638
"11",58.040001,58.310001,56.869999,57.139999,7830400,52.862715
"12",57.360001,58.5,56.650002,58.220001,24144300,53.861872
"13",57.849998,58.290001,57.07,57.34,8834400,53.047744
"14",56.119999,56.580002,54.849998,55.080002,12915500,50.956921
"15",55.34,56.619999,55.02,55.34,13046800,51.197457
"16",55.290001,55.799999,53.610001,55.259998,14512400,51.123444
"17",55.259998,56.16,54.220001,54.959999,11996700,50.845901
"18",56.150002,56.73,54.700001,55.540001,10999000,51.382486
"19",55.68,57.549999,55.400002,57.540001,12151000,53.232774
"20",58.360001,58.540001,57.02,58.540001,9054900,54.157918
"21",58.599998,58.860001,57.849998,58.560001,6312900,54.176421
"22",58.419998,58.959999,57.599998,58.25,7019600,53.889625
"23",59.099998,59.700001,58.560001,58.619999,9267000,54.231927
"24",58.400002,59.52,57.93,58.889999,7879700,54.481717
"25",58.919998,58.919998,57.419998,58.669998,11485800,54.278184
"26",58.5,58.509998,56.599998,56.68,17111800,52.43715
"27",57.77,59.68,57.34,59.150002,14266600,54.722256
"28",58.490002,61.330002,58.02,61.040001,13817800,56.470777
"29",61.25,61.5,58.91,59.59,12534900,55.129318
"30",60.5,61.869999,60.27,61.299999,12752300,56.711313
"31",59.080002,60,58.200001,59.349998,18903000,54.907282
"32",59.650002,59.650002,57.84,58.849998,9594800,54.44471
