"","RTN.Open","RTN.High","RTN.Low","RTN.Close","RTN.Volume","RTN.Adjusted"
"1",51.110001,51.73,50.860001,51.5,2695700,43.690503
"2",51.060001,51.759998,50.66,51.709999,1718600,43.868658
"3",52.049999,52.27,51.360001,51.400002,2139100,43.605669
"4",51.84,53.130001,51.84,53.130001,2491400,45.07333
"5",52.860001,53.209999,52.700001,52.849998,2565100,44.835787
"6",53.009998,53.16,52.389999,53.099998,1827600,45.047877
"7",53.279999,53.330002,52.77,53.25,2398600,45.175132
"8",53.580002,53.759998,52.919998,53.189999,2051200,45.124229
"9",52.939999,53.470001,52.07,52.18,1650000,44.267388
"10",52.18,52.419998,51.41,51.959999,2344400,44.080748
"11",51.73,51.98,50.639999,50.799999,2266100,43.096651
"12",50.82,51,50.049999,50.380001,5923800,42.740342
"13",50.57,51.02,50.169998,50.59,1992400,42.918496
"14",49.889999,50.049999,48.419998,48.75,2741300,41.357515
"15",48.77,49.040001,48.310001,48.389999,3156100,41.052105
"16",47.849998,48.009998,47.189999,47.73,2931400,40.808434
"17",47.91,48.150002,47.259998,47.580002,1986300,40.680188
"18",47.990002,48.18,47.02,47.470001,2191300,40.586139
"19",47.459999,48.860001,47.360001,48.810001,2002600,41.731819
"20",49.02,49.59,48.849998,49.5,1997300,42.321757
"21",49.560001,49.580002,48.490002,48.810001,1940000,41.731819
"22",48.52,48.709999,47.970001,48.099998,1751800,41.124777
"23",48.400002,48.779999,48.080002,48.330002,3445400,41.321427
"24",48.529999,48.860001,47.91,48.57,2564100,41.526621
"25",49.07,49.299999,48.259998,49.02,3226900,41.911365
"26",48.830002,49.310001,47.68,47.73,2636000,40.808434
"27",48.07,48.400002,47.759998,48.029999,2209900,41.064928
"28",47.509998,48.560001,47.09,48.450001,2497300,41.424024
"29",48.860001,48.860001,47.849998,48.139999,2013000,41.158977
"30",48.580002,48.990002,48.200001,48.689999,3293700,41.629218
"31",48.849998,49.310001,48.5,49.060001,3649100,41.945565
"32",49.27,50,49.259998,49.639999,3019500,42.441455
"33",49.330002,49.59,48.119999,48.310001,4526100,41.304326
"34",48.259998,48.599998,48.169998,48.27,3404200,41.270126
"35",47.220001,47.970001,46.639999,46.669998,5095100,39.902148
"36",46.310001,46.610001,46,46.27,4344400,39.560156
"37",46.98,46.990002,46.150002,46.889999,3390600,40.090246
"38",46.669998,46.880001,45.900002,45.990002,4405900,39.320762
"39",46.049999,46.48,45.830002,46.34,3411000,39.620005
"40",46.169998,46.849998,45.950001,46.43,3354100,39.696954
"41",45.98,46.470001,45.799999,46.139999,2731700,39.449007
"42",46.400002,46.75,46.32,46.450001,2242700,39.714054
"43",46.130001,46.529999,45.639999,46.299999,3170000,39.585805
"44",45.740002,45.830002,44.740002,44.93,2701000,38.414476
"45",44.529999,44.830002,44.23,44.59,2812900,38.123781
"46",44.490002,45.189999,44.490002,44.740002,2134300,38.25203
"47",44.470001,45.07,44.240002,44.759998,2675600,38.269127
"48",45.150002,45.799999,44.950001,45.459999,2933500,38.867617
"49",45.490002,45.490002,45.060001,45.23,3857100,38.670971
"50",44.93,44.93,43.889999,44.009998,3560200,37.627888
"51",43.619999,43.880001,43.16,43.75,4071700,37.405594
"52",43.84,44.369999,43.439999,43.490002,3026800,37.183299
"53",43.18,43.549999,42.650002,43.259998,4483500,36.98665
"54",42.880001,43.369999,42.700001,43.209999,7247000,36.943901
"55",43.299999,43.669998,43.110001,43.25,3529600,36.978101
"56",43.439999,44.32,43.23,44.23,4494100,37.815986
"57",44.66,44.66,44.18,44.200001,3868200,37.790338
"58",43.919998,44.380001,43.799999,43.919998,4756200,37.55094
"59",44.5,45.459999,44.310001,45.060001,3837800,38.525625
"60",45.060001,45.77,45,45.66,2854500,39.038615
"61",46.02,46.209999,45.450001,45.669998,2522700,39.047163
"62",46.259998,46.259998,45.400002,45.68,3350200,39.055715
"63",45.41,45.43,44.799999,45.32,3709400,38.74792
"64",45.82,45.959999,45.110001,45.470001,2272800,38.876169
"65",45.509998,46.740002,45.509998,46.689999,3674400,39.919248
"66",47.400002,47.66,46.299999,46.5,3353100,39.756802
"67",46.380001,46.5,46,46.209999,2222300,39.508856
"68",45.869999,46.16,45.450001,45.84,2326300,39.192512
"69",45.639999,45.900002,45.509998,45.720001,1765200,39.089915
"70",45.939999,46.16,45.52,45.889999,2977900,39.235261
"71",45.950001,47.060001,45.889999,46.959999,2602300,40.150095
"72",46.849998,47.169998,46.279999,46.290001,3923400,39.577256
"73",46.290001,46.59,45.810001,45.84,2640300,39.192512
