"","FOSL.Open","FOSL.High","FOSL.Low","FOSL.Close","FOSL.Volume","FOSL.Adjusted"
"101",59.48,60.110001,58.84,59.259998,827100,59.259998
"102",59.919998,60.41,59.689999,60.169998,1245900,60.169998
"103",60.209999,60.540001,59.509998,60.220001,771600,60.220001
"104",60.759998,61.450001,60.23,61.25,1040200,61.25
"105",61.290001,62.310001,61.110001,62.220001,504100,62.220001
"106",62.5,64,62.380001,63.970001,1566500,63.970001
"107",69.010002,69.800003,67.339996,67.849998,2214800,67.849998
"108",68.209999,70.07,67.709999,69.699997,1190400,69.699997
"109",69.169998,69.400002,68.199997,68.910004,1025300,68.910004
"110",68.199997,68.980003,66.970001,67.739998,902300,67.739998
"111",67.279999,69.099998,67.279999,67.989998,824200,67.989998
"112",67.5,67.599998,64.760002,65.860001,1066900,65.860001
"113",65.839996,67.099998,65.120003,66.82,615800,66.82
"114",67.769997,69.68,67.550003,69.029999,703400,69.029999
"115",69.029999,69.029999,67.639999,68.449997,841400,68.449997
"116",68.300003,68.830002,66.82,68.730003,954900,68.730003
"117",66.220001,68.300003,66.220001,67.269997,755100,67.269997
"118",67.870003,68.970001,67.790001,68.889999,707600,68.889999
"119",68.639999,69.75,68.269997,68.650002,345000,68.650002
"120",68.209999,68.760002,66.949997,67.760002,738200,67.760002
"121",67.059998,68.650002,66.510002,67.650002,1976400,67.650002
"122",68.699997,68.980003,67.690002,68.25,782800,68.25
"123",68.650002,73.010002,68.269997,72.779999,2011100,72.779999
"124",72.5,72.989998,71.379997,72.260002,578800,72.260002
"125",72.400002,73.099998,71.480003,72.900002,600700,72.900002
"126",73.809998,74.339996,72.459999,72.550003,857500,72.550003
"127",72.959999,74.239998,71.400002,72.209999,566500,72.209999
"128",72.790001,73.82,72.449997,73.330002,513400,73.330002
"129",73.449997,74.239998,72.559998,73.419998,491600,73.419998
"130",74.080002,74.239998,73.050003,73.190002,529300,73.190002
"131",73.199997,73.739998,72.519997,72.790001,341700,72.790001
"132",72.82,73.360001,70.879997,71.360001,625300,71.360001
"133",71.260002,72.980003,71.120003,71.510002,605700,71.510002
"134",71.809998,72.470001,71.120003,71.32,919700,71.32
"135",71.599998,72.230003,70.32,71.870003,637200,71.870003
"136",72.239998,73.389999,71.510002,73.029999,550600,73.029999
"137",73.239998,73.389999,71.860001,71.889999,509300,71.889999
"138",71.629997,73.089996,71.269997,72.529999,420200,72.529999
"139",72.18,72.629997,70.650002,71.279999,543600,71.279999
"140",71.230003,71.800003,70.830002,71.5,277300,71.5
"141",71.75,72.089996,70.519997,70.559998,308000,70.559998
"142",70.489998,72.540001,69.470001,71.889999,477000,71.889999
"143",71.949997,72.449997,70.379997,70.480003,503700,70.480003
"144",71.620003,72.82,71.230003,72.690002,599500,72.690002
"145",72.980003,73.190002,70.830002,72.589996,702800,72.589996
"146",72.589996,72.82,71.589996,72,704600,72
