"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"1183",119.870003,121.690002,119.620003,121.589996,1058200,121.127827
"1184",121.589996,121.589996,120.730003,121.309998,770100,120.848892
"1185",121.07,121.839996,120.699997,121.760002,819500,121.297187
"1186",121.449997,121.75,120.440002,120.519997,986300,120.061894
"1187",120.519997,121.389999,119.860001,121.330002,579400,120.868821
"1188",120.980003,121.370003,120.300003,120.389999,698100,119.932391
"1189",120.389999,121.540001,120.199997,121.389999,1266800,120.92859
"1190",121.190002,121.279999,118.709999,119.269997,873300,118.816646
"1191",119.150002,119.660004,117.970001,118.760002,1028400,118.527221
"1192",119.139999,119.739998,118.629997,119.18,1145400,118.946396
"1193",119.129997,119.139999,116.239998,116.349998,1243200,116.121941
"1194",116.949997,117.230003,116.190002,116.949997,1204200,116.720763
"1195",115.540001,116.709999,115.230003,115.510002,1171200,115.283591
"1196",116.150002,116.959999,115.849998,116.230003,1020200,116.002181
"1197",116.629997,117.660004,116.440002,117.199997,1259900,116.970273
"1198",117.559998,118.199997,115.379997,116.25,1323100,116.022139
"1199",116.650002,118.230003,116.650002,118.019997,761000,117.788666
"1200",117.300003,117.300003,114.510002,115.279999,2853300,115.054039
"1201",115.190002,119.919998,114.699997,119.209999,2317400,118.976336
"1202",118.599998,118.769997,118.050003,118.559998,1249200,118.327608
"1203",119.309998,119.730003,118.330002,118.760002,1390200,118.527221
"1204",118.760002,119.32,118.080002,118.470001,847500,118.237788
"1205",118.010002,118.68,117.309998,117.309998,1142300,117.080058
"1206",117.330002,118.199997,115.199997,115.309998,1009900,115.083979
"1207",115.339996,116.620003,114.660004,115.650002,792900,115.423316
"1208",115.699997,117.93,115.529999,117.5,1288900,117.269688
"1209",118.059998,118.989998,117.769997,118.57,723100,118.337591
"1210",117.860001,118.209999,117.120003,117.519997,960800,117.289646
"1211",118.220001,118.470001,115.709999,116.190002,1049500,115.962259
"1212",116.339996,117.660004,115.779999,116.919998,632400,116.690823
"1213",116.139999,117.629997,115.82,117.360001,622500,117.129963
"1214",117.190002,117.989998,115.970001,116.010002,634700,115.782611
"1215",116.089996,116.889999,115.230003,116.120003,672000,115.892396
"1216",116.300003,117.32,115.589996,117.199997,840800,116.970273
"1217",117.529999,117.860001,117.07,117.449997,958600,117.219783
"1218",117.739998,118.339996,115.970001,116.209999,1176700,115.982216
"1219",116.400002,117.110001,115.230003,115.959999,1240800,115.732706
"1220",116.18,116.620003,115.550003,115.620003,986800,115.393376
"1221",115.43,115.839996,114.980003,115.360001,1002600,115.133884
"1222",114.989998,115.099998,113.709999,114.610001,1092600,114.385354
"1223",115.080002,116.449997,114.879997,115.919998,583300,115.692784
"1224",116.389999,117.790001,116.339996,117.370003,824400,117.139946
"1225",117.120003,118.269997,116.57,117.489998,731600,117.259706
"1226",117.360001,119.099998,116.709999,118.57,740500,118.337591
"1227",118.089996,118.919998,117.730003,118.760002,737600,118.527221
"1228",119,119,116.349998,116.610001,820400,116.381433
"1229",116.040001,117.160004,114.519997,116.730003,1130200,116.501201
"1230",116.43,116.790001,114.830002,115.339996,1305100,115.113919
"1231",111.589996,112.010002,108.540001,109.839996,3317600,109.624699
"1232",110.169998,111.129997,109.480003,110.43,1413500,110.213547
"1233",110.720001,111.650002,110.410004,110.68,1297700,110.463057
"1234",110.690002,110.870003,109.550003,110.510002,2116200,110.293392
"1235",110.860001,111.330002,109.230003,110.099998,1919400,109.884192
"1236",110.379997,111.330002,110.07,111.040001,1668300,110.822352
"1237",112.199997,113.099998,111.709999,112.949997,1244700,112.728604
"1238",112.57,113.75,112.379997,113.18,1409600,112.958156
"1239",112.510002,112.940002,111.629997,112.239998,2028800,112.019996
"1240",112.639999,112.709999,111.730003,111.839996,953100,111.839996
"1241",112.739998,113.650002,112.139999,113.57,1270500,113.57
"1242",113.529999,113.760002,112.809998,113.18,783300,113.18
"1243",113.360001,114.559998,113.120003,114.279999,598000,114.279999
"1244",114.209999,114.760002,113.730003,114.339996,706900,114.339996
"1245",114.379997,114.910004,113.919998,114.339996,441200,114.339996
"1246",114.019997,114.529999,113.900002,114.459999,584000,114.459999
"1247",114.080002,114.470001,113.230003,113.769997,1013300,113.769997
"1248",113.790001,113.790001,112.709999,113.089996,1136600,113.089996
"1249",113.690002,114.43,112.709999,114.269997,869300,114.269997
"1250",113.949997,114.349998,112.75,113.389999,1830900,113.389999
"1251",112.989998,114.870003,112.559998,114.089996,1795100,114.089996
"1252",114.580002,115.220001,113.940002,114.769997,887100,114.769997
"1253",114.139999,114.830002,113.989998,114.160004,684400,114.160004
"1254",114.269997,114.68,113.660004,113.900002,720000,113.900002
"1255",112.93,114.190002,112.82,113.07,892300,113.07
"1256",113,113.400002,112.339996,113.25,952000,113.25
"1257",113.540001,114.470001,113.089996,113.139999,876100,113.139999
"1258",113.07,113.889999,112.57,112.639999,850200,112.639999
"1259",113.260002,114.010002,112.589996,113.660004,1300200,113.660004
