"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"1",60.220001,61.32,60.209999,61.32,1115800,29.347284
"2",60.41,61.970001,60.41,61.91,697600,29.629653
"3",62.110001,63.119999,61.619999,61.759998,1337600,29.557864
"4",62.41,63.299999,62.25,63.290001,1411400,30.290111
"5",62.619999,63.43,62.580002,63.150002,1220800,30.223109
"6",63.41,63.59,62.5,63.48,1162800,30.381043
"7",62.959999,63.400002,62.380001,62.439999,2093000,29.883307
"8",62.740002,63.369999,62.110001,62.529999,1934400,29.92638
"9",62.549999,63.470001,61.650002,61.669998,1237000,29.51479
"10",61.779999,62.009998,61.16,61.580002,1707600,29.471719
"11",61.41,61.919998,60.200001,60.360001,1763600,28.887836
"12",60.549999,61.049999,60.060001,60.310001,2064000,28.863906
"13",60.220001,60.709999,59.790001,60.259998,1041000,28.899873
"14",59.41,59.57,57.93,58.240002,1606800,27.931111
"15",58.34,58.73,57.25,57.43,1588400,27.542645
"16",57.860001,57.860001,56.080002,57.330002,1916400,27.494687
"17",57.470001,57.790001,56.25,56.549999,1272600,27.120608
"18",57.549999,57.75,55.639999,56.25,1775600,26.976733
"19",56.169998,57.5,56.09,57.490002,2062600,27.571421
"20",58.02,58.790001,57.889999,58.68,1836400,28.142128
"21",58.799999,59.830002,58.529999,59.439999,1049800,28.506613
"22",59.349998,59.450001,58.209999,58.400002,1140400,28.007844
"23",59.169998,60.060001,59.029999,59.830002,1601400,28.693653
"24",59.720001,60.040001,59.040001,59.619999,1111200,28.592938
"25",59.610001,59.610001,58.580002,59.27,1328200,28.425084
"26",58.91,59.02,57.919998,58.029999,1853200,27.830396
"27",58.169998,58.240002,57.41,58.040001,730600,27.835193
"28",57.349998,59.150002,57.349998,59.139999,931600,28.362737
"29",59.540001,59.849998,58.349998,58.639999,1483200,28.122944
"30",59.389999,60.07,59.029999,59.459999,2213600,28.516205
"31",59.369999,60.470001,59.32,60.41,1838400,28.971812
"32",60.400002,61.790001,60.400002,61.77,1347600,29.62405
"33",62.389999,62.689999,61.41,61.75,1234000,29.614458
"34",61.540001,62.650002,61.540001,61.939999,1568600,29.705579
"35",62.330002,63.619999,59.650002,63,3422400,30.213941
"36",62.259998,63.130001,62.25,62.490002,1961400,29.969353
"37",63.360001,63.790001,62.77,63.549999,2020800,30.477713
"38",63.150002,63.790001,62.880001,63.490002,1230400,30.448939
"39",63.529999,64.550003,63.52,64.440002,1351400,30.904546
"40",64.110001,64.690002,64,64.43,677600,30.89975
"41",63.869999,64.809998,63.57,64.209999,660400,30.79424
"42",64.389999,64.720001,63.93,64.370003,909000,30.870975
"43",63.560001,63.75,62.310001,62.77,1730000,30.103636
"44",61.639999,61.720001,60.549999,61.009998,1219800,29.259563
"45",60.290001,61.23,60.110001,60.860001,711000,29.187626
"46",60.639999,61.27,60.389999,60.720001,639000,29.120485
"47",60.299999,61.41,60,61.07,631400,29.288339
"48",61.830002,63.240002,61.830002,62.540001,1202400,29.993332
"49",62.459999,63.279999,61.939999,63.07,1075800,30.247512
"50",62.889999,62.919998,61.110001,61.59,739200,29.537724
"51",61.049999,61.919998,60.73,61.84,852600,29.657621
"52",62.029999,62.779999,62.009998,62.130001,1389000,29.796701
"53",61.369999,61.779999,60.700001,60.849998,973600,29.182829
"54",60.41,60.529999,59.25,60.400002,1408400,28.967017
"55",60.830002,61.790001,60.57,61.150002,974000,29.326707
"56",61.48,63.07,60.880001,63.060001,763200,30.242717
"57",62.900002,63.25,62.360001,62.419998,868600,29.93578
"58",62.009998,62.560001,61.549999,62.279999,1365600,29.868638
"59",63.209999,63.830002,62.73,63.830002,1793800,30.611998
"60",63.990002,64.690002,63.919998,64.489998,828200,30.928524
"61",64.989998,65.389999,64.669998,65.260002,931200,31.297807
"62",64.389999,65.25,64.389999,64.739998,587200,31.04842
"63",65.089996,65.970001,64.940002,65.540001,561600,31.432091
"64",66.330002,66.339996,64.620003,64.779999,762400,31.067604
"65",64.830002,65.040001,64.150002,64.209999,1141600,30.79424
"66",64.800003,65.93,64.800003,65.889999,716400,31.599945
"67",65.75,66.599998,65.690002,66,641800,31.6527
"68",65.760002,66.459999,65.489998,66.379997,717800,31.834941
"69",66.300003,66.830002,66.290001,66.660004,575200,31.969229
"70",67.209999,67.589996,66.580002,67.360001,1112000,32.304938
"71",67.459999,68.540001,67.25,68.5,930600,32.851666
"72",68.660004,69.379997,68.230003,68.43,1933600,32.818095
"73",68.449997,68.830002,67.699997,67.75,1021200,32.491976
"74",66.980003,67.849998,66.589996,66.690002,1104400,31.983616
"75",67.190002,68.43,67.040001,68.099998,1601000,32.659831
"76",68,68.18,67.529999,67.68,872200,32.458405
"77",67.709999,68.419998,66.540001,68.260002,1156400,32.79714
"78",68.110001,68.489998,67.660004,67.949997,878400,32.64819
"79",68.480003,69.199997,67.580002,68.410004,1178600,32.869211
"80",68.040001,68.269997,66.839996,67.830002,2461000,32.590536
"81",67.540001,67.980003,67.449997,67.870003,1324800,32.609755
"82",68.709999,69.650002,68.330002,69.599998,972200,33.440973
"83",69.629997,69.940002,69.18,69.43,654200,33.359293
"84",69.610001,69.639999,68,68.419998,1102800,32.874014
"85",68.599998,69.75,68.599998,69.330002,1188600,33.311246
"86",69.5,69.669998,68.959999,69.550003,898600,33.416951
"87",69.010002,69.769997,68.209999,69.620003,958200,33.450584
"88",70,71.25,69.870003,71,1268000,34.113637
"89",71.25,71.470001,70.010002,70.370003,727000,33.81094
"90",70.690002,71.239998,69.050003,70.529999,1025800,33.887813
"91",70.459999,70.93,70.18,70.599998,608400,33.921446
"92",69.559998,70.440002,69.019997,69.269997,1141600,33.282416
"93",69.709999,70.82,69.620003,70.029999,1145600,33.647577
"94",70.190002,71.07,69.75,70.32,820000,33.786914
