"","FFIV.Open","FFIV.High","FFIV.Low","FFIV.Close","FFIV.Volume","FFIV.Adjusted"
"1",68.269997,68.989998,66.790001,68.099998,899200,68.099998
"2",67.160004,69.949997,66.919998,69.949997,1348700,69.949997
"3",71,71.830002,70.010002,70.470001,1237600,70.470001
"4",71.410004,73.290001,70.879997,72.970001,1041600,72.970001
"5",72.099998,75.239998,72.010002,74.690002,2505900,74.690002
"6",75.279999,75.93,72.769997,73.419998,1614800,73.419998
"7",73.360001,74.620003,72.940002,73.809998,1591200,73.809998
"8",74.989998,77.099998,73.800003,74.220001,1871300,74.220001
"9",74.440002,76,73.029999,73.169998,1478700,73.169998
"10",72.660004,75.239998,72.32,74.360001,1380900,74.360001
"11",74.080002,74.089996,71.529999,71.980003,1479800,71.980003
"12",72.019997,72.300003,70.099998,71.889999,1412100,71.889999
"13",72.220001,74.480003,72.209999,73.510002,1200300,73.510002
"14",71.459999,71.970001,68.830002,69.089996,1852600,69.089996
"15",69.099998,70.519997,67.720001,68.57,2086200,68.57
"16",68.510002,69.910004,66.790001,69.599998,1525400,69.599998
"17",69.980003,69.980003,67.970001,68.650002,1221800,68.650002
"18",69.900002,72.459999,69.260002,70.139999,1581200,70.139999
"19",70.5,75.190002,70.5,75.120003,2138600,75.120003
"20",75.610001,76.160004,74.160004,75.529999,1768700,75.529999
"21",75.18,75.900002,74.400002,75.230003,799800,75.230003
"22",75.129997,77.959999,74.959999,76.669998,1373400,76.669998
"23",77.5,77.699997,74.93,76.860001,1738200,76.860001
"24",77.07,79.209999,77.040001,77.870003,1260100,77.870003
"25",78.239998,79,76.910004,78.699997,867500,78.699997
"26",77.940002,78.519997,76.290001,76.370003,1384500,76.370003
"27",75.239998,77.029999,75.019997,76.25,1825800,76.25
"28",75,77,73.760002,76.790001,1234900,76.790001
"29",77.150002,77.739998,72.480003,73.110001,3213100,73.110001
"30",80.099998,83.849998,79.400002,83.400002,5529600,83.400002
"31",83.199997,87.349998,82.739998,87.209999,2952600,87.209999
"32",87.160004,87.690002,85.809998,87.480003,1785900,87.480003
"33",87.879997,87.970001,85.160004,86.089996,1489500,86.089996
"34",85.760002,87.209999,84.599998,85.779999,978400,85.779999
"35",86.870003,87.699997,84.349998,86.529999,1313100,86.529999
"36",85.269997,88.339996,84.510002,87.830002,2213200,87.830002
"37",87.959999,90.25,87.010002,88.599998,2191000,88.599998
"38",88.139999,89.269997,87.510002,88.589996,1097400,88.589996
"39",88.510002,90,87.870003,89.82,1211800,89.82
"40",89.510002,90.830002,88.370003,88.949997,1125500,88.949997
"41",87.489998,89.5,86.720001,88.480003,1262400,88.480003
"42",89.400002,91.970001,88.75,91.410004,1742300,91.410004
"43",90.839996,92.699997,89.989998,92.230003,1205900,92.230003
"44",89.559998,89.940002,86.010002,86.82,2272400,86.82
"45",82.470001,84.68,80,82.769997,3858700,82.769997
"46",82.830002,84.959999,82.269997,83.879997,1451400,83.879997
"47",82.959999,85.190002,82.339996,83.889999,806900,83.889999
"48",85.209999,89.769997,84.699997,87.910004,2003900,87.910004
"49",88.519997,89.519997,87.889999,88.860001,1781500,88.860001
"50",88.459999,89.599998,88.120003,88.730003,1165900,88.730003
"51",88.120003,91.629997,88.080002,91.040001,1420300,91.040001
"52",90.760002,91.599998,88.760002,89.269997,1271600,89.269997
"53",87.559998,87.639999,85.57,86.269997,1459600,86.269997
"54",85.629997,87.080002,84.010002,86.889999,1693100,86.889999
"55",87.879997,89.599998,87.349998,87.660004,1217100,87.660004
"56",88.699997,89.889999,86,89.019997,1203600,89.019997
"57",89.089996,90.970001,89,89.239998,1203400,89.239998
"58",88.580002,89.209999,86.459999,87.43,1385100,87.43
"59",89.839996,91.169998,89.209999,90.739998,1174900,90.739998
"60",91.220001,91.690002,89.830002,91.110001,1612600,91.110001
"61",92.720001,94.480003,92,93.800003,1211100,93.800003
"62",93.220001,94.43,92.25,93.519997,1029100,93.519997
"63",94.370003,97.050003,93.559998,96.360001,2180300,96.360001
"64",97,98.010002,94.699997,95.730003,2076900,95.730003
"65",95.629997,95.629997,92.75,94.150002,1469700,94.150002
"66",96.309998,99.720001,95.910004,98.870003,1992000,98.870003
"67",98.470001,100.169998,97.57,98.660004,1799900,98.660004
"68",99.129997,99.730003,97.199997,99.139999,1324100,99.139999
"69",99.32,100.919998,98,100.519997,1453600,100.519997
"70",100.559998,101.449997,99.330002,100.980003,1344300,100.980003
"71",101.959999,105.199997,100.989998,104.639999,1780200,104.639999
"72",104.910004,104.910004,102.029999,103.379997,1453600,103.379997
"73",102.629997,103.82,99.610001,100.489998,1678600,100.489998
"74",99.169998,104.099998,99.040001,102.489998,1673000,102.489998
"75",104.239998,105.720001,102.809998,103.07,1473400,103.07
"76",103.5,104.099998,101.190002,103.230003,1324900,103.230003
"77",103.660004,105.5,100.800003,104.059998,1888100,104.059998
"78",104.120003,105.5,102.959999,104.410004,1318100,104.410004
"79",105.089996,107.300003,102.559998,103.809998,2583100,103.809998
"80",104.82,105.269997,101.650002,103.290001,1792700,103.290001
"81",103.650002,109,103.160004,105.889999,3064600,105.889999
"82",107.849998,112.050003,107.510002,111.5,2688300,111.5
"83",108.5,109.800003,96.870003,97.540001,7616100,97.540001
"84",98.199997,100.879997,94.099998,98.980003,5800900,98.980003
"85",94.150002,95.25,90.120003,94.690002,7941400,94.690002
"86",95.629997,96.139999,90.629997,91.18,4086500,91.18
"87",91.620003,96.68,90.589996,95.610001,3643700,95.610001
"88",96.639999,97.690002,95,96.739998,2896600,96.739998
"89",97.400002,97.43,95,95.660004,1585600,95.660004
"90",96.349998,97.75,94.830002,97.199997,1637100,97.199997
"91",97.230003,97.449997,91.57,93.169998,3354000,93.169998
"92",91,92.470001,89.050003,90.989998,3379500,90.989998
"93",90.800003,93.260002,89.050003,91.93,2356700,91.93
"94",92.5,94.099998,91.519997,92.82,1642900,92.82
"95",93.230003,98.540001,93.010002,98.449997,3672700,98.449997
"96",100,101.949997,99.949997,100.830002,3032500,100.830002
"97",100.32,103.75,99.269997,102.540001,5417700,102.540001
"98",111.790001,118.989998,111.529999,117.580002,9954500,117.580002
"99",117.949997,118.470001,114.599998,116.779999,3024300,116.779999
"100",116.769997,119.879997,116.529999,117.699997,2208300,117.699997
"101",117.980003,118.239998,115.300003,116.370003,1655200,116.370003
