"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"1",115.809998,119.190002,115.809998,118.970001,848800,116.406623
"2",118.230003,124,118.230003,123.410004,1210500,120.750959
"3",125.279999,125.419998,122.709999,122.919998,1131000,120.271512
"4",123.160004,124.410004,121.93,123.25,1271900,120.594403
"5",121.93,129.529999,121.93,126.940002,1970000,124.204899
"6",123.910004,124.5,120.800003,122.330002,2362500,119.694228
"7",122.230003,123.230003,121.580002,122.169998,1109200,119.537672
"8",123.199997,124.029999,120.830002,121.480003,712300,118.862544
"9",121.75,123.410004,119.190002,119.410004,666900,116.837145
"10",118.870003,120.150002,116.610001,117.519997,686000,114.987861
"11",116.400002,116.949997,114.260002,114.519997,936500,112.0525
"12",115.5,119.139999,115,118.360001,1005400,115.809766
"13",118.360001,119.5,115.849998,118,1004400,115.457522
"14",116.599998,116.980003,113.080002,113.879997,1098900,111.426291
"15",113.779999,115.900002,112.580002,113.029999,842000,110.594607
"16",113.620003,114.440002,109.720001,112.629997,814500,110.203224
"17",112.709999,112.720001,104.760002,106.230003,1918800,103.941127
"18",107.599998,107.889999,101.739998,103.910004,1609400,101.671115
"19",104.080002,107.07,102.57,106.779999,1518200,104.479272
"20",107.150002,108.010002,105.559998,107.309998,898100,104.997851
"21",107.089996,108.199997,105.639999,106.639999,823300,104.342289
"22",106.339996,107.309998,105.790001,106.610001,534500,104.312936
"23",107.709999,108.599998,107.260002,108,810000,105.672986
"24",107.389999,107.809998,104.43,105.900002,1259800,103.618235
"25",105.809998,106.75,103.650002,105.529999,1025100,103.256205
"26",104.300003,105.379997,101.339996,101.540001,995400,99.352177
"27",101.790001,103.589996,101.449997,102.889999,734000,100.673088
"28",103.010002,107.830002,102.510002,107.540001,1382300,105.222899
"29",109.080002,109.080002,104.199997,104.379997,751400,102.130982
"30",105.800003,107.489998,105.230003,106.519997,484100,104.224872
"31",105.650002,108.489998,105.650002,108.360001,485100,106.02523
"32",108.669998,108.669998,106.900002,108,574400,105.672986
"33",108.470001,108.900002,106.800003,107.199997,656200,104.89022
"34",107.150002,108.220001,106.449997,106.650002,402400,104.352075
"35",107.019997,108.160004,105.699997,106.470001,396200,104.175953
"36",105.669998,106.470001,104.129997,105.620003,609600,103.344269
"37",107,108.849998,106.739998,108.639999,685100,106.299196
"38",108.25,108.43,106.75,107.410004,774300,105.095702
"39",108.25,111.550003,108.25,110.309998,1059300,107.933212
"40",110,110,107.959999,108.959999,597000,106.612301
"41",107.519997,108.959999,106.699997,107.330002,533900,105.017424
"42",107.980003,108.669998,106.07,108.540001,665500,106.201352
"43",107.449997,108,105.379997,106.25,1003500,103.960693
"44",104.910004,104.989998,101.790001,102.019997,1366700,99.821831
"45",100.879997,101.379997,99.519997,100.510002,721900,98.344371
"46",100.32,100.790001,95.57,96.459999,1897400,94.381631
"47",97.300003,98.610001,96.18,98.209999,1177800,96.093925
"48",99.099998,100.349998,97.709999,99.910004,1206500,97.7573
"49",99.720001,100.050003,98.639999,99.690002,805900,97.542039
"50",99.220001,99.800003,97.370003,97.419998,688400,95.320946
"51",96.519997,97.709999,96.5,97.050003,812200,94.958923
"52",97.160004,98.010002,96.309998,96.480003,1078200,94.401204
"53",95.519997,95.519997,93.68,93.919998,1504800,91.896358
"54",93.440002,96.25,92.18,95.629997,1667800,93.569513
"55",96.220001,97.290001,95.160004,95.68,992700,93.618439
"56",96.370003,97.360001,95.779999,97.339996,1303400,95.242668
"57",97.199997,97.279999,94.379997,94.419998,734600,92.385585
"58",94,95.989998,94,95.559998,1142500,93.501021
"59",97.510002,99.410004,97.410004,99.410004,754800,97.268074
"60",98.980003,100.760002,98.120003,100.650002,531900,98.481354
"61",101.779999,102.339996,100.25,102.330002,616600,100.125156
"62",101.720001,103.889999,101.419998,103.25,1207000,101.025332
"63",103.290001,105,103.290001,104.089996,902800,101.847229
"64",105.370003,105.459999,103.849998,104.389999,576600,102.140768
"65",104.290001,106,104.290001,105.519997,448800,103.246418
"66",106.529999,107.709999,106.059998,107.239998,433800,104.929359
"67",107.089996,107.830002,106.300003,106.440002,656000,104.146601
"68",106.239998,107.300003,105.82,107.160004,624500,104.851089
"69",107.120003,107.32,105.519997,106.220001,694200,103.93134
"70",106.599998,106.790001,104.870003,104.959999,769500,102.698487
"71",105.199997,105.410004,103.949997,104.93,1819700,102.669134
"72",104.959999,105.510002,103.099998,103.489998,765000,101.260159
"73",103.290001,104.870003,102.599998,102.849998,639800,100.633949
"74",102.290001,102.550003,100.760002,101.07,1424900,98.892303
"75",102.260002,104.699997,102.07,104.529999,645200,102.277751
"76",104.790001,106.010002,104.269997,105.07,597800,102.806117
"77",105.099998,106.029999,103.980003,105.839996,623400,103.559523
"78",105.260002,105.849998,104.309998,105.230003,429900,102.962673
"79",106.150002,107.190002,104.720001,104.720001,649600,102.46366
"80",105.629997,107.199997,105.080002,106.550003,736000,104.254232
"81",106.040001,107.809998,105.830002,107.360001,915200,105.046777
"82",108.32,111.839996,107.470001,111.300003,1073600,108.901886
"83",110.879997,111.68,110.25,110.790001,620200,108.402873
"84",111.260002,112.540001,110.75,111.400002,665600,108.99973
"85",111.5,112.68,110.629997,112.360001,520000,109.939044
"86",112.32,112.57,111.589996,111.980003,386500,109.567235
"87",111.849998,113.599998,111.110001,113.239998,804300,110.800081
"88",113.889999,115,112.800003,112.940002,1181900,110.506549
"89",112.900002,113.970001,112.059998,112.949997,891300,110.516328
"90",114.080002,115.209999,112.809998,115,846000,112.522161
"91",115,116.900002,114.330002,116.790001,651100,114.273594
"92",115.269997,117.160004,114.050003,115.970001,1024500,113.471262
"93",115.970001,117.150002,115.610001,115.989998,786000,113.490828
"94",116.440002,118.360001,116.120003,118.18,629200,115.633644
"95",118.239998,119.089996,116.699997,116.839996,675800,114.322512
"96",117.459999,118,115.360001,115.610001,1269600,113.119019
"97",113.459999,114.419998,110.720001,113.169998,1031500,110.731589
"98",112.529999,114.849998,112.449997,114.669998,531100,112.19927
"99",115.360001,115.559998,114.129997,114.57,874000,112.101426
"100",114.029999,115.57,113.800003,114.870003,810700,112.394965
"101",114.519997,115.599998,112.550003,114.269997,1286600,111.807887
"102",115.68,115.720001,113.150002,113.489998,536800,111.044694
"103",113.870003,114.050003,111.349998,112.5,847100,110.076027
"104",113.589996,114.769997,112.849998,114.720001,837700,112.248195
"105",115.160004,117.669998,114.760002,117.440002,936500,114.90959
"106",116.839996,117.459999,115.330002,117.330002,648700,114.80196
"107",117.5,117.5,114.860001,115.129997,386100,112.649358
"108",115.150002,116.190002,113.769997,115.959999,384200,113.461476
"109",114.970001,115.900002,114.120003,114.68,419900,112.209056
"110",114,114.480003,111.860001,112.260002,524500,109.841201
"111",112.760002,114.410004,112.57,113.349998,448100,110.907711
"112",112.760002,113.559998,110.580002,110.760002,504700,108.37352
"113",110.93,111.860001,110.360001,111.68,470000,109.273696
"114",112.75,113.940002,111.82,113.150002,639300,110.712024
"115",113.150002,115.010002,112.459999,114.779999,657500,112.3069
"116",113.959999,114.080002,112.489998,112.959999,487700,110.526115
"117",111.68,112.830002,111.010002,111.809998,484200,109.400892
"118",112.32,114.300003,111.949997,114.230003,436300,111.768755
"119",113.260002,114.480003,112.690002,113.07,273800,110.633746
"120",112.489998,113.43,111.68,112.919998,390600,110.486976
"121",111.809998,113,111.349998,112.699997,444900,110.271715
"122",114.220001,115.690002,113.5,115.620003,605700,113.128805
"123",115.970001,120.809998,115.629997,120.339996,920400,117.7471
"124",119.849998,120,115.379997,116.760002,992300,114.244242
"125",116.5,118.029999,116.339996,117.940002,510500,115.398817
"126",117.940002,119.419998,116.099998,116.199997,535800,113.696303
"127",116.389999,118.129997,116.220001,118.040001,456600,115.496661
"128",118.110001,118.639999,116.730003,117.720001,329200,115.183556
"129",117.720001,118.290001,116.82,117.550003,396100,115.017221
"130",118.5,120.57,117.75,117.75,796000,115.212909
"131",117.669998,117.669998,115.830002,116.379997,447600,113.872425
"132",116.139999,118.459999,115.610001,117.800003,668200,115.261834
"133",117.660004,118.400002,116.360001,117.360001,670100,114.831312
"134",118.989998,120.260002,117.019997,119.230003,811500,116.661023
"135",119.349998,120.489998,118.940002,119.059998,418600,116.49468
"136",119.449997,120.400002,119.129997,120.080002,430200,117.492707
"137",120.080002,121.900002,120.080002,120.449997,368000,117.85473
"138",120.18,120.370003,119.589996,120,340700,117.414429
"139",119.550003,120.900002,119.440002,120.860001,322500,118.2559
"140",120.889999,121.279999,120.32,120.900002,261700,118.295039
"141",120.900002,120.919998,119.199997,119.849998,369600,117.26766
"142",119.849998,120.239998,119.18,119.489998,220700,116.915416
"143",119.120003,119.830002,119.059998,119.150002,187800,116.582745
"144",119.800003,120.989998,118.82,119.150002,759300,116.582745
"145",119.190002,120.18,117.470001,117.970001,615700,115.42817
"146",117.629997,119.129997,117.209999,117.650002,536000,115.115065
"147",117.599998,117.699997,113.769997,114.480003,1317000,112.013369
"148",114.650002,115.040001,112.129997,114.019997,769100,111.563274
"149",112.660004,115.459999,112.660004,114.089996,1003300,111.631765
"150",114.739998,115.5,112.480003,112.480003,745700,110.056462
"151",113.5,116.68,112.760002,115.400002,1082300,112.913544
"152",115.339996,116.720001,114.589996,116.349998,673600,113.843072
"153",116.379997,117.209999,115.360001,116.269997,797900,113.764794
"154",116.620003,117.370003,116.099998,116.760002,582600,114.244242
"155",116.379997,117.059998,115.209999,115.559998,698600,113.070093
"156",114.800003,116.160004,113.260002,115.550003,1074200,113.060314
"157",116.57,118.190002,115.949997,116.589996,632900,114.077899
"158",116.07,117.849998,116.07,116.809998,432600,114.29316
"159",116.290001,117.309998,113.419998,115.400002,1267200,112.913544
"160",115.720001,115.800003,114.519997,114.970001,574400,112.492809
"161",115.099998,118.129997,114.639999,117.849998,782200,115.310753
"162",117.970001,118.480003,115.660004,116.910004,789100,114.391011
"163",117.089996,120.540001,117.089996,120.489998,1158800,117.893869
"164",120.550003,122.5,120.43,121.379997,654000,118.764692
"165",121.07,121.910004,119.870003,120.290001,647100,117.698182
"166",120.290001,120.290001,117.790001,119.260002,727400,116.690376
"167",119.18,120.379997,118.449997,120.379997,524600,117.786239
"168",121.349998,121.809998,120.129997,120.32,370000,117.727534
"169",120.559998,120.709999,117.550003,118.220001,959500,115.672783
"170",120.010002,123.470001,119.5,123.129997,2631600,120.476986
"171",122.629997,129.160004,122.5,128.449997,1630400,125.682359
"172",127.589996,129.5,126.940002,128.779999,621300,126.00525
"173",128.550003,131.539993,127.639999,130.460007,705100,127.64906
"174",130,130.210007,125.870003,126.739998,982100,124.009204
"175",126.989998,129.300003,126.5,127.879997,803700,125.124641
"176",127.010002,129.529999,127.010002,128.899994,860600,126.12266
"177",129.110001,129.110001,125.639999,127.18,779600,124.439726
"178",125.599998,126.120003,121.290001,122.290001,1410600,119.655089
"179",122.440002,123.18,120.800003,122.730003,1073400,120.085611
"180",122.019997,124.800003,121.5,123.639999,733000,120.976
"181",124.220001,126.980003,123.980003,126.910004,549600,124.175547
