"","KRFT.Open","KRFT.High","KRFT.Low","KRFT.Close","KRFT.Volume","KRFT.Adjusted"
"1",44,45.57,43.060001,45.099998,1300600,40.360245
"2",45.82,45.990002,45,45.669998,1161500,40.870341
"3",45.740002,46.380001,45.5,46,2803500,41.165662
"4",45.939999,46.900002,45.5,46.450001,4425700,41.56837
"5",47.299999,47.299999,45.16,45.98,3876800,41.147763
"6",46.5,46.5,45.080002,46,1702400,41.165662
"7",46,46.130001,45.200001,45.25,1135400,40.494482
"8",45.799999,45.91,44.75,44.75,1608500,40.047029
"9",44.939999,45.139999,44.009998,44.779999,2144200,40.073876
"10",45.049999,46.5,44.200001,44.630001,3148600,39.939642
"11",45.57,45.619999,42,44.099998,12031400,39.465339
"12",44.450001,46.139999,44.439999,45.419998,12314500,40.646615
"13",45.549999,47.759998,44.830002,44.869999,26426900,40.154417
"14",45.5,46.68,45.5,46.630001,7550100,41.729453
"15",46.549999,47.759998,46.5,47.57,8998600,42.570663
"16",47.919998,48,46.5,46.59,6450000,41.693656
"17",46.700001,47.290001,45.950001,47,7724400,42.060567
"18",47.279999,47.529999,46.200001,46.349998,9671700,41.478877
"19",47,47.040001,45.439999,46.459999,12664700,41.577317
"20",46.669998,47.41,46.049999,47.099998,7384000,42.150056
"21",47.169998,47.68,46.779999,46.959999,7890200,42.02477
"22",46.900002,47.259998,46.32,47.25,5934900,42.284294
"23",47.400002,47.740002,46.549999,46.650002,3948700,41.747352
"24",46.669998,46.779999,45.91,46.400002,5681500,41.523625
"25",46.419998,46.5,45.900002,46.029999,4863600,41.192508
"26",46.200001,46.849998,46.150002,46.619999,4607700,41.720502
"27",46.220001,46.43,45.939999,46.209999,4141800,41.353591
"28",46.080002,46.619999,45.209999,45.52,4924400,40.736107
"29",45.84,46.169998,45.419998,45.91,2825100,41.08512
"30",45.84,45.84,45.110001,45.299999,3235900,40.539227
"31",45.619999,46.200001,44.799999,45.459999,3979000,40.682412
"32",45.380001,45.650002,45.02,45.130001,3277400,40.387095
"33",45.220001,45.389999,44.529999,44.560001,3751300,39.876999
"34",44.470001,44.82,44.400002,44.77,2746300,40.064928
"35",45.200001,45.290001,44.689999,44.700001,3821300,40.002285
"36",45.5,45.57,44.310001,44.57,4212600,39.885946
"37",44.799999,45.09,43.689999,43.77,4163500,39.170022
"38",43.82,44.279999,43.400002,43.66,3350200,39.071582
"39",43.619999,44.279999,43.25,43.939999,3004800,39.322155
"40",43.810001,44.259998,43.650002,43.959999,3198800,39.340053
"41",44.150002,44.959999,43.669998,44.34,4481900,39.680118
"42",44.080002,44.459999,43.5,43.919998,2993300,39.304256
"43",43.810001,44.310001,43.459999,44.189999,3576800,39.545881
"44",44.470001,45,44.279999,44.889999,2864400,40.172316
"45",44.900002,44.900002,44.450001,44.880001,1751500,40.163368
"46",44.810001,45.139999,44.400002,44.509998,1885600,39.832251
"47",44.41,45.299999,44.41,45.279999,806000,40.521328
"48",45,45.18,44.060001,44.310001,3627800,39.653272
"49",44.310001,45.470001,44.099998,45.330002,3829900,40.566076
"50",44.919998,45.91,44.27,45.82,3388800,41.004578
"51",45.959999,46.009998,45.5,45.939999,2938300,41.111966
"52",45.130001,46.369999,45.110001,45.240002,6090300,40.485535
"53",45.259998,45.869999,45.099998,45.689999,3715400,40.88824
"54",45.650002,45.889999,45.360001,45.700001,3727000,40.897191
"55",45.91,46.599998,45.669998,45.779999,3685500,40.968781
"56",45.639999,45.990002,45.119999,45.150002,3546800,40.404993
"57",45.389999,45.400002,44.459999,44.669998,3143400,39.975435
"58",44.52,45.209999,44.27,44.32,2144100,39.66222
"59",44.32,44.990002,44.32,44.830002,4059500,40.118624
"60",44.91,46.080002,44.900002,45.700001,4532000,40.897191
"61",46.130001,46.240002,45.700001,46.009998,3084600,41.174609
"62",46.220001,46.630001,46.110001,46.619999,2688700,41.720502
"63",46.639999,46.650002,45.990002,46.330002,3182900,41.460982
"64",46.439999,46.630001,46.099998,46.549999,3283100,41.657859
"65",46.400002,46.599998,46.049999,46.360001,2989200,41.487828
"66",46.540001,46.650002,46.299999,46.43,2879100,41.550471
"67",46,46.43,45.490002,45.529999,4946400,40.745055
"68",45.66,45.860001,45.34,45.450001,1289900,40.673464
"69",45.41,45.439999,44.610001,44.650002,2234200,39.95754
"70",44.43,44.509998,44.080002,44.389999,3377700,40.174747
"71",44.360001,44.599998,44.150002,44.41,2344800,40.192849
"72",44.18,45.48,44.16,45.470001,3517500,41.152193
"73",46.490002,46.5,45.380001,45.759998,4343500,41.414652
"74",45.700001,45.740002,45.209999,45.580002,2841700,41.251748
"75",45.66,46.049999,45.16,45.369999,3283100,41.061687
"76",45.200001,46.07,45.150002,46.029999,3330100,41.659013
"77",46.02,46.060001,45.560001,45.619999,3346900,41.287947
"78",45.610001,46.5,45.610001,46.389999,2541900,41.984828
"79",46.549999,46.669998,45.84,46.009998,3333500,41.640912
"80",46.200001,46.439999,45.860001,46.369999,2190000,41.966727
"81",46.639999,46.970001,46.360001,46.849998,2330300,42.401146
"82",46.779999,46.939999,46.18,46.709999,2681300,42.274441
"83",46.759998,47.099998,46.43,46.509998,4238100,42.093432
"84",46.799999,47.110001,46.73,46.919998,2474900,42.464499
"85",47,47.09,46.59,47.049999,2591800,42.582155
"86",47.110001,47.43,46.279999,47.09,3119600,42.618357
"87",47.130001,47.200001,46.650002,46.740002,2155900,42.301595
"88",46.889999,46.98,46.48,46.91,2985600,42.45545
"89",47.34,47.529999,46.990002,47.139999,2430500,42.663609
"90",47.5,47.59,46.889999,47,2386500,42.536904
"91",47.009998,47.380001,46.830002,47.049999,1634200,42.582155
"92",47.139999,47.310001,46.66,46.720001,2197200,42.283493
"93",46.5,46.709999,46.18,46.220001,3676400,41.830973
"94",46.619999,46.849998,46.16,46.599998,2150500,42.174886
"95",46.779999,46.860001,46.169998,46.400002,2706000,41.993881
"96",46.540001,47.439999,46.48,47.02,2533500,42.555005
"97",47,47.450001,46.869999,47.009998,2315200,42.545953
"98",47.07,47.23,46.419998,46.66,2579200,42.22919
"99",46.93,47.060001,46.5,46.900002,2068100,42.446401
"100",46.939999,47.400002,46.91,47.290001,1849200,42.799366
"101",47.490002,47.5,47.049999,47.240002,1682300,42.754115
"102",47.200001,47.200001,46.560001,46.77,2007200,42.328745
"103",47.400002,47.650002,46.869999,47.16,5690600,42.68171
"104",47.299999,47.450001,47,47.169998,6103000,42.690759
"105",47.209999,47.799999,47.209999,47.369999,5348800,42.871768
"106",47.580002,47.610001,47.169998,47.23,4175400,42.745063
"107",47.23,47.34,46.650002,46.849998,3304400,42.401146
"108",47.049999,47.540001,46.849998,47.459999,3041800,42.953221
"109",47.77,47.790001,46.73,46.740002,3112700,42.301595
"110",46.919998,47.400002,46.799999,47.27,3662500,42.781265
"111",47.290001,47.869999,47.110001,47.669998,2741000,43.143279
"112",47.810001,48.91,47.73,48.48,4529100,43.876363
"113",48.25,48.66,47.810001,48.57,3231400,43.957817
"114",48.400002,49.169998,48.400002,49.150002,3591500,44.482742
"115",49.43,49.5,49,49.189999,4323800,44.518941
"116",49.57,49.75,49.110001,49.189999,2838600,44.518941
"117",49.369999,49.389999,48.880001,49.040001,2681200,44.383187
"118",49.369999,50,49.23,49.709999,3251200,44.989563
"119",49.950001,50.330002,49.790001,49.990002,4027800,45.242976
"120",50.110001,50.630001,49.93,50.549999,4667100,45.749797
"121",50.490002,50.84,49.950001,50.740002,3736800,45.921757
"122",50.790001,50.849998,50.27,50.470001,3559100,45.677395
"123",50.16,50.650002,49.93,50.27,21024900,45.496386
"124",49.939999,50.830002,49.849998,50.650002,3136200,45.840303
"125",50.880001,50.900002,50.200001,50.580002,2762900,45.77695
"126",51.049999,51.57,50.93,51.509998,4237600,46.618635
"127",51.310001,51.900002,51.25,51.66,3650500,46.754392
"128",51.849998,52.290001,51.029999,51.189999,13842000,46.329022
"129",51.509998,51.950001,51,51.25,12234600,46.383326
"130",51.07,51.380001,50.860001,51.360001,2888400,47.407915
"131",51.110001,51.450001,50.810001,51.369999,2593300,47.417144
"132",51.310001,51.700001,51.139999,51.529999,3159500,47.564832
"133",51.380001,52.099998,51.259998,51.889999,2814200,47.897131
"134",51.990002,52.509998,51.639999,52.369999,3030300,48.340195
"135",52.490002,52.490002,51.400002,51.66,3133100,47.68483
"136",51.66,52.009998,51.529999,51.849998,1665700,47.860208
"137",51.5,51.540001,51.139999,51.240002,3207500,47.29715
"138",51.41,51.799999,51,51.73,3032400,47.749443
"139",51.75,52.209999,50.509998,50.700001,3074800,46.798701
"140",50.950001,51.43,50.93,51.360001,2983500,47.407915
"141",51.610001,51.93,50.889999,51,4265100,47.075616
