"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume","FLS.Adjusted"
"1",88.199999,90.140013,87.800011,90.02001,3893700,28.326168
"2",89.070002,90.389997,88.509991,90.389997,2939700,28.44259
"3",91.5,93.230009,91.059992,91.530001,3178200,28.801309
"4",92.27001,95.639997,91.77,95.570011,4020900,30.07256
"5",95.210009,95.340002,93.780001,94.850012,3580500,29.846002
"6",94.809992,95.040001,92.990009,93.870003,3613800,29.537627
"7",94.449989,94.919998,93.609987,94.610012,2507700,29.770482
"8",95.949989,97.869987,94.409998,95.139988,4131600,29.937247
"9",95.03001,95.459999,91.029991,91.220009,2623500,28.703766
"10",91.98999,92.97999,90,92.529991,3339000,29.115972
"11",91.98999,92.27001,90,90.600002,3792600,28.508671
"12",91.080002,91.430008,89.319992,90.899998,5023500,28.603069
"13",90.519991,90.590012,88.52001,89.370003,2024700,28.211641
"14",87.200008,87.399988,84.120003,85.199999,4475400,26.895286
"15",84.99999,86.840012,84.360003,84.800011,4851000,26.769021
"16",84.399988,87.039991,83.600012,86.669998,5103300,27.359324
"17",87.009991,87.609987,85.47999,85.830002,3585900,27.094161
"18",87.200008,88.26,85.700008,86.73,3405600,27.378265
"19",86.73999,90.609987,86.46999,90.51,2988900,28.571507
"20",91.070011,91.629988,90.090002,91.460009,2237700,28.871398
"21",91.5,92.859987,90.840002,92.690008,1680900,29.259675
"22",92.019991,92.51001,89.49999,89.97999,2262600,28.404197
"23",91.409998,92.649988,91.220009,92.049992,3005100,29.05764
"24",91.809992,93.27,91.23999,92.189999,2813400,29.101836
"25",92.879997,92.879997,90.320011,91.640013,1937400,28.928221
"26",90.929998,90.929998,88.26,88.76001,2929200,28.019083
"27",87.689999,89.870012,86.340002,89.600012,2524800,28.284249
"28",87.99,91.730009,87.890013,91.580011,1616700,28.90928
"29",92.769991,93.53001,91.089993,91.5,2619900,28.884023
"30",93.110012,94.20999,92.289991,93.72999,2930700,29.587969
"31",93.740009,95.889988,92.669998,95.850002,2140800,30.257198
"32",96,98.490005,95.529991,98.399998,2620200,31.062161
"33",99.27,100.749985,96.27,96.500015,4772400,30.462389
"34",96,96.950008,95.189999,95.73999,1585500,30.22247
"35",96.399994,100.23,95.27001,99.149998,4470000,31.298916
"36",97.599987,99.830006,96.800011,99.159988,2216700,31.302069
"37",101.700005,102.930004,100.190014,102.060001,3680700,32.217523
"38",101.960014,101.960014,99.999985,101.51001,2117400,32.043906
"39",102.060001,104.180008,101.679989,103.850006,2239800,32.782578
"40",103.070011,104.439995,102.380013,103.71999,1384500,32.741536
"41",102.350006,103.340012,100.839993,102.500015,1826400,32.356424
"42",104.300011,104.549995,101.180008,102.350006,2300100,32.30907
"43",101.040001,101.150013,98.939999,100.140003,2354700,31.611433
"44",97.23999,98.46999,96.549992,96.96999,3075300,30.610747
"45",94.20999,97.209995,94.20999,96.650013,1401900,30.509739
"46",96.020016,96.870003,95.439989,96.21999,1605300,30.373993
"47",95.610003,96.860012,94.649998,96.209999,2278500,30.370839
"48",97.599987,101.100002,97.449989,100.179989,2032200,31.624055
"49",99.999985,100.080002,98.910004,99.060001,1873200,31.270506
"50",98.630013,99.21999,95.720009,96.350006,2245500,30.415036
"51",95.52,96,94.910007,95.289991,1578600,30.080418
"52",96.089996,96.309986,93.339993,93.440008,1248000,29.49643
"53",91.590002,91.659988,89.75001,89.97999,4261500,28.404197
"54",88.74,90.740009,87.759991,90.339993,2839200,28.51784
"55",90.810001,92.54001,89.409988,89.429998,1583100,28.23058
"56",90.099993,92.25,88.949999,92.189999,1923300,29.101836
"57",91.28001,91.52001,90.099993,90.159988,1580100,28.461018
"58",89.990009,91.160007,89.03001,89.379988,2097300,28.214793
"59",90.600002,94.350002,90.600002,94.160007,2392800,29.723713
"60",94.880013,97.130013,94.23,96.96999,1863900,30.610747
"61",98.480015,99.48999,97.23,98.490005,1672800,31.090574
"62",97.640007,97.670013,96.500015,96.810001,1422000,30.560243
"63",97.259995,98.949989,97.190014,97.929989,1308000,30.913792
"64",99.380013,99.380013,97.899994,98.970005,1524600,31.242097
"65",99.060001,102.519985,98.910004,102.249985,3142800,32.277496
"66",103.28001,105.159988,102.53001,104.949989,2415600,33.129813
"67",104.229984,104.589993,103.620003,103.850006,1863600,32.782578
"68",102.819992,103.529995,102.140007,103.329987,1568400,32.618423
"69",102.999985,104.03001,102.999985,103.310005,1185300,32.612115
"70",104.180008,104.25,102.789986,103.929989,1640400,32.807827
"71",104.349987,106.869987,103.950005,106.629993,1900500,33.660144
"72",106.509991,107.750015,105.879993,106.310005,2372700,33.559132
"73",106.569992,107.289986,106.149994,106.389988,2358000,33.58438
"74",105.299995,105.299995,102.779995,103.209995,1695600,32.580545
