"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"139",85.980003,86.080002,85.5,85.830002,3186800,40.38983
"140",86.239998,86.779999,86.110001,86.330002,4229800,40.625119
"141",86.540001,86.540001,85.25,85.269997,3480200,40.126303
"142",85.300003,86.120003,85.120003,85.760002,2955000,40.356889
"143",85.400002,85.839996,85.120003,85.419998,2898000,40.19689
"144",85.830002,86.580002,85.260002,86.089996,4283200,40.512178
"145",85.599998,85.75,83.75,83.970001,6898800,39.514552
"146",83.650002,84.830002,83.510002,84.519997,5799400,39.773368
"147",84.449997,84.5,83.559998,83.760002,4028600,39.41573
"148",83.699997,83.949997,83.269997,83.529999,4087200,39.307496
"149",83.25,84.489998,83.059998,84.169998,4457200,39.608666
"150",84.199997,84.800003,83.620003,84.019997,2781600,39.538078
"151",84.400002,84.489998,83.68,83.730003,4826800,39.401614
"152",83.830002,83.830002,82.449997,82.559998,4887200,38.851033
"153",82.620003,84.300003,82.370003,84.07,4195400,39.561609
"154",84.419998,84.980003,83.870003,84.059998,4512200,39.556902
"155",84.089996,84.169998,82.830002,83.660004,5450600,39.368673
"156",83.199997,83.650002,82.5,83.07,4715600,39.091029
"157",83.510002,83.559998,82.190002,82.300003,3715200,38.728685
"158",82,82.900002,81.5,82.660004,4057800,38.898094
"159",82.57,82.949997,81.919998,82.879997,3717000,39.001618
"160",83.139999,84.169998,82.790001,84,5178800,39.528668
"161",84.07,84.339996,82.690002,82.769997,4884800,38.949854
"162",82.910004,82.980003,81.300003,81.459999,4484000,38.333396
"163",81.519997,82.559998,81.010002,82.480003,3840400,38.813389
"164",82.75,83.699997,82.620003,83.550003,4852600,39.316909
"165",83.43,83.940002,83.120003,83.910004,3882200,39.486318
"166",83.57,84.300003,83.379997,83.800003,5176200,39.434554
"167",84.010002,85.889999,83.809998,85.739998,4818200,40.347476
"168",85.800003,86.800003,85.660004,86.5,4190400,40.705117
"169",86.68,86.809998,86.18,86.709999,3418400,40.803938
"170",86.709999,87.699997,86.449997,87.25,4184400,41.058051
"171",86.919998,87.440002,86.260002,86.790001,3376200,40.841585
"172",86.449997,86.709999,85.959999,86.209999,3696400,40.568648
"173",86.32,86.540001,85.449997,85.769997,3688000,40.361592
"174",85.269997,85.589996,84.620003,85.550003,4054800,40.258068
"175",85.519997,85.949997,85.120003,85.75,4454400,40.352182
"176",84.739998,86.080002,84.400002,86.040001,5968600,40.488651
"177",86.480003,88.830002,86,88.82,7354600,41.796861
"178",87.599998,88.32,86.910004,87.230003,5489400,41.048641
"179",86.889999,87.830002,85.790001,86.190002,5927200,40.559238
"180",85.919998,86.919998,85.5,86.519997,4382600,40.714527
"181",86.669998,88.300003,86.540001,87.980003,4499200,41.401576
"182",88.290001,89.160004,87.949997,89.029999,5176400,41.895682
"183",89.650002,89.809998,87.510002,87.699997,6859200,41.269811
"184",87.660004,89.230003,87.230003,88.330002,4732600,41.566278
"185",88.910004,89.989998,88.900002,89.839996,5210600,42.425748
"186",89.809998,90,89.339996,89.879997,5090800,42.444638
"187",90,91.120003,88.269997,88.919998,8133200,41.991291
"188",89.150002,89.669998,88.830002,89.190002,4811000,42.118797
"189",88.760002,89.660004,88.25,88.949997,4975200,42.005458
"190",88.25,89.07,87.540001,88.18,4539200,41.641837
"191",87.480003,87.589996,85.470001,87.169998,7458600,41.164877
"192",86.860001,86.879997,85.360001,86.209999,5118000,40.71153
"193",84.629997,85.82,84,85.330002,4945600,40.295963
"194",85,85.870003,84.050003,84.82,5012400,40.055121
"195",85.57,85.739998,84.489998,85.410004,6911000,40.333743
"196",77.989998,78.650002,76.830002,77.589996,39447600,36.640848
"197",77.620003,77.949997,76.620003,76.839996,11713000,36.28667
"198",76.650002,77,69.43,75.449997,18314200,35.630262
"199",75.18,77.699997,75.050003,77.220001,24281000,36.466123
"200",77.480003,77.839996,76.400002,76.730003,8863400,36.234728
"201",76.830002,77.599998,76.620003,76.660004,9416800,36.201671
"202",76.68,76.989998,75.800003,75.889999,7396800,35.838047
"203",76.099998,76.650002,75.620003,76.360001,7836200,36.059999
"204",76.470001,77,76.239998,76.75,4955600,36.244171
"205",76.489998,76.610001,75.620003,75.699997,6548600,35.748321
"206",75.940002,76.900002,75.82,76.529999,6446200,36.140278
"207",76.779999,77.559998,76.349998,77.410004,4982600,36.555849
"208",77.18,78,76.849998,77.93,6391600,36.80141
"209",78.639999,79,78.239998,78.669998,7842000,37.150864
"210",78.639999,78.639999,77.019997,78.089996,7411400,36.876966
"211",78.669998,79,77.059998,77.389999,5384800,36.546402
"212",77.260002,78.139999,77.25,78.129997,4164600,36.895856
"213",77.519997,78.370003,77.349998,78.199997,4425000,36.928913
"214",78.18,79.529999,78.150002,79.410004,6034800,37.500322
"215",78.860001,80.269997,78.650002,80.080002,7043800,37.81672
"216",80.410004,80.410004,78.669998,78.730003,6873400,37.179201
"217",78.07,78.650002,77.199997,78.580002,5771600,37.108365
"218",78.669998,79.550003,78.489998,78.730003,5401400,37.179201
"219",79.440002,80.25,79.260002,80.07,7432600,37.811997
"220",80.629997,80.629997,79.839996,80.190002,4353000,37.868666
"221",80.610001,80.910004,79.879997,80.110001,3488000,37.830887
"222",80.089996,80.599998,79.400002,79.959999,3658800,37.76005
"223",80.059998,81.230003,79.919998,81.120003,4990600,38.307847
"224",81.080002,82.730003,80.599998,82.57,5032000,38.992589
"225",82.260002,82.529999,81.75,82.32,4422200,38.874529
"226",82.779999,83.480003,82,82.239998,6201200,38.83675
"227",82.349998,82.599998,81.540001,81.660004,4355400,38.562855
"228",82.480003,83,81.410004,82.790001,5978000,39.096481
"229",82.699997,83.339996,82.089996,82.610001,4815600,39.011478
"230",83.190002,83.43,81.760002,82.019997,4812400,38.732857
"231",81.800003,82.970001,81.699997,82.910004,3268400,39.153151
"232",83.25,83.699997,82.730003,83.5,5202800,39.431769
"233",83.169998,83.660004,82.199997,82.660004,4300800,39.035092
"234",82.639999,84.699997,82.440002,84.580002,5120400,39.941785
"235",84.720001,86.529999,84.699997,86.260002,7224400,40.735143
"236",85.739998,86.260002,85.019997,85.269997,5328400,40.267626
"237",84.82,85.019997,83.970001,84.889999,4986200,40.088178
"238",84.889999,85.599998,84.529999,84.830002,4928800,40.059845
"239",85.190002,86.160004,85.040001,86.110001,4119800,40.664307
"240",86.389999,86.480003,84.389999,85.050003,5065200,40.163737
"241",84.099998,84.730003,83.459999,83.620003,4556200,39.488439
"242",83.790001,84.730003,83.629997,84.330002,2878000,39.823726
"243",83.779999,83.800003,83.110001,83.190002,4615200,39.285377
"244",83.169998,84.239998,82.989998,84.07,3381000,39.700944
"245",84.239998,84.800003,84.190002,84.620003,3039800,39.960675
"246",84.839996,84.949997,83.82,84.449997,4439600,39.880392
"247",84.339996,84.720001,82.080002,82.150002,5062400,38.79425
"248",81.870003,82.589996,81.059998,81.150002,5914600,38.467171
"249",80.510002,81.349998,80.220001,80.360001,5629600,38.092691
"250",80.370003,80.949997,79.739998,79.769997,4546400,37.813014
"251",80.190002,82.32,80.150002,81.900002,6904600,38.822691
"252",81.529999,81.989998,79.870003,80.099998,6111600,37.969443
"253",80.290001,81.330002,80.239998,80.669998,4769400,38.239638
"254",80.589996,81.559998,79.550003,79.660004,4960000,37.760874
"255",79.75,81.889999,79.68,80.510002,5393800,38.163795
"256",81.169998,82.43,81.080002,82.239998,5865800,38.983858
"257",81.559998,81.910004,79.900002,80.389999,5709400,38.106911
"258",80.470001,80.75,79.440002,80.290001,4546000,38.059509
"259",80.809998,81.589996,80.800003,81.110001,5247200,38.44821
"260",80.860001,83.389999,80.860001,83.230003,4570400,39.453145
"261",83.150002,84.830002,83.050003,84.510002,4631600,40.059898
"262",83.889999,84.410004,81.849998,81.949997,9185200,38.84639
"263",81.360001,82.360001,80.629997,82.190002,8543000,38.960158
"264",82.110001,82.489998,80.730003,81.18,7782200,38.481392
"265",80.919998,82.769997,80.919998,81.620003,11496400,38.689964
"266",85.269997,90.580002,85.160004,89.900002,30228400,42.614895
"267",89.660004,90.349998,88.18,89.779999,12713800,42.55801
"268",89.220001,90.43,89.220001,89.980003,8857600,42.652818
"269",89.650002,91.989998,89.43,91.82,8390600,43.525023
"270",91.279999,92.110001,90.93,91.739998,7469400,43.4871
"271",91.389999,92.489998,91.370003,92.349998,7244000,43.776256
"272",92.760002,94.230003,92.709999,93.660004,8599000,44.397232
"273",92.989998,93.339996,92.269997,93.239998,6336200,44.198138
"274",91.870003,93.050003,91.129997,91.43,6299800,43.340153
"275",91.279999,91.980003,90.650002,91.230003,3642000,43.24535
"276",90.980003,92.870003,90.980003,92.050003,4729200,43.63405
"277",92.169998,92.949997,91.25,91.959999,5421600,43.591386
"278",92.370003,92.370003,90.830002,91.699997,7165200,43.468139
"279",90.900002,91.589996,90.480003,90.639999,5831200,42.965673
"280",91.449997,91.529999,90.510002,90.739998,9289800,43.013074
"281",90.889999,90.980003,90.169998,90.599998,4958000,42.946711
"282",90.760002,92.589996,90.290001,91.839996,5810600,43.534502
"283",92.050003,92.290001,91.43,91.709999,3609600,43.47288
"284",90.339996,91.410004,90.32,90.93,3482600,43.10314
"285",91,91.32,90.190002,90.330002,3783400,42.818726
