"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"1",67.82,68.889999,67.25,68.739998,1081300,68.739998
"2",68.150002,69.480003,67.989998,68.910004,1006400,68.910004
"3",69.019997,69.989998,68.690002,68.849998,1372600,68.849998
"4",69.110001,70.349998,69.110001,70.32,721500,70.32
"5",69.940002,71.230003,69.800003,70.910004,659700,70.910004
"6",71.440002,71.910004,70.550003,71.809998,941300,71.809998
"7",71.730003,71.989998,71.169998,71.709999,962200,71.709999
"8",72.470001,72.989998,70.989998,71.389999,532500,71.389999
"9",71.68,72.239998,71,71.089996,1225900,71.089996
"10",71.25,71.25,69.5,69.940002,1306400,69.940002
"11",69.650002,69.739998,68.269997,68.410004,762500,68.410004
"12",68.580002,69.610001,68.309998,69.150002,928200,69.150002
"13",69.360001,69.57,68.269997,68.760002,476900,68.760002
"14",67.800003,67.839996,65.370003,65.489998,2005200,65.489998
"15",65.360001,66.389999,64.599998,64.699997,1330000,64.699997
"16",64.720001,64.720001,62.400002,63.560001,1597400,63.560001
"17",64.089996,64.089996,62.689999,63.110001,791500,63.110001
"18",63.889999,64.900002,63.349998,64.029999,1015700,64.029999
"19",64,64,61.990002,63.310001,1715700,63.310001
"20",63.700001,64.139999,63.02,64.089996,1431600,64.089996
"21",63.650002,64.43,63.650002,64.400002,754900,64.400002
"22",64.089996,64.110001,63.450001,63.810001,594300,63.810001
"23",64.120003,65.199997,64.120003,64.93,603400,64.93
"24",64.610001,64.949997,64.150002,64.730003,582400,64.730003
"25",64.68,65.230003,64.010002,65.07,609100,65.07
"26",64.610001,64.620003,62.869999,63.02,689200,63.02
"27",63.299999,63.790001,62.959999,63.5,449400,63.5
"28",62.68,64.050003,62.290001,63.990002,599200,63.990002
"29",64.160004,64.339996,62.610001,62.889999,579500,62.889999
"30",63.560001,64.889999,63.459999,64.489998,854400,64.489998
"31",64.050003,65.010002,63.939999,64.589996,733200,64.589996
"32",64.660004,65.959999,64.599998,65.959999,681800,65.959999
"33",65.5,65.739998,62.639999,62.740002,1867900,62.740002
"34",64.010002,66.889999,64,65.660004,2083600,65.660004
"35",66.400002,67.5,63.389999,64.779999,1746700,64.779999
"36",64.129997,64.830002,63.32,64.160004,854000,64.160004
"37",64.800003,66.120003,64.800003,65.559998,625200,65.559998
"38",65.449997,66.370003,65.120003,66.010002,753400,66.010002
"39",66.239998,67.010002,66,66.839996,526400,66.839996
"40",66.330002,66.650002,66.129997,66.360001,383800,66.360001
"41",65.949997,66.489998,65.139999,66.419998,853700,66.419998
"42",66.760002,66.940002,66.290001,66.849998,453000,66.849998
"43",65.870003,66.980003,65.339996,66.370003,728900,66.370003
"44",65.32,65.339996,64.43,64.68,920500,64.68
"45",63.5,63.939999,62.830002,63.060001,1782300,63.060001
"46",62.84,63.32,62.349998,62.389999,1145900,62.389999
"47",62,62.360001,61.459999,61.950001,1282900,61.950001
"48",62.560001,64.790001,62.560001,64.43,955800,64.43
"49",64.290001,64.860001,63.439999,64.519997,583800,64.519997
"50",64.099998,64.379997,62.43,62.529999,835100,62.529999
"51",61.990002,62.73,61.439999,62.68,927100,62.68
"52",62.720001,63.23,62.32,62.669998,562000,62.669998
"53",61.700001,62.299999,60.650002,61.029999,1580300,61.029999
"54",60.82,62.16,60.009998,61.849998,863800,61.849998
"55",62.130001,62.43,61.07,61.279999,967100,61.279999
"56",61.470001,62.189999,60.490002,62.150002,719500,62.150002
"57",61.57,61.939999,60.880001,60.880001,534500,60.880001
"58",60.540001,61.099998,60.009998,60.52,838700,60.52
"59",61.380001,63.360001,61.139999,62.959999,836400,62.959999
"60",63.299999,63.779999,62.880001,63.689999,663300,63.689999
"61",64.400002,64.790001,64.129997,64.779999,667000,64.779999
"62",64.360001,64.970001,64.059998,64.199997,670100,64.199997
"63",64.339996,64.93,64.129997,64.419998,682800,64.419998
"64",65.029999,65.830002,64.900002,65.25,689100,65.25
"65",65.260002,66.220001,65.129997,65.970001,630400,65.970001
"66",66.379997,67.389999,66.169998,67.050003,666000,67.050003
"67",67.389999,69.209999,67.040001,67.699997,1304500,67.699997
"68",67.599998,68.489998,67.550003,68.330002,918400,68.330002
"69",68.059998,68.68,67.709999,68.489998,699900,68.489998
"70",68.849998,69.57,68.470001,68.93,994000,68.93
"71",69.25,70,69.120003,69.879997,602600,69.879997
"72",69.669998,70.839996,69.529999,70.290001,565700,70.290001
"73",70.300003,71.32,70.120003,70.800003,674400,70.800003
"74",70.300003,70.919998,69.599998,69.699997,577000,69.699997
"75",70.410004,71.580002,70.410004,71.489998,571500,71.489998
"76",71.349998,71.370003,70.82,70.849998,458900,70.849998
"77",70.940002,71.07,69.949997,70.919998,773600,70.919998
"78",70.470001,71.489998,70.470001,71.120003,426300,71.120003
"79",71.370003,72.260002,70.660004,70.779999,696300,70.779999
"80",71.389999,71.650002,70.519997,70.889999,400300,70.889999
"81",70.610001,71.279999,69.589996,69.870003,374000,69.870003
"82",71.209999,72.440002,71.129997,71.519997,1429700,71.519997
"83",71.379997,71.75,70.300003,70.529999,612100,70.529999
"84",71.019997,71.199997,70.150002,70.620003,449100,70.620003
"85",70.82,71.209999,70.389999,70.790001,643300,70.790001
"86",70.760002,71.099998,70.660004,70.910004,264900,70.910004
"87",70.830002,71.849998,70.129997,71.610001,571800,71.610001
"88",72.150002,72.730003,72.050003,72.459999,497000,72.459999
"89",72.230003,72.339996,70.739998,71.440002,602800,71.440002
"90",71.949997,72.400002,71.040001,72.059998,655500,72.059998
"91",71.910004,72.660004,71.160004,72.459999,542400,72.459999
"92",71.470001,71.889999,70.459999,70.919998,643500,70.919998
"93",71.160004,72.900002,71.150002,72.190002,655400,72.190002
"94",72.360001,72.919998,71.379997,72.360001,609300,72.360001
"95",72.660004,72.849998,72.07,72.529999,557600,72.529999
"96",73,74.019997,72.610001,73.260002,862600,73.260002
"97",72.800003,73.57,71.790001,73.290001,995500,73.290001
"98",72.93,74.209999,72.760002,74.040001,796300,74.040001
