"","ALXN.Open","ALXN.High","ALXN.Low","ALXN.Close","ALXN.Volume","ALXN.Adjusted"
"1",50.610001,51.66,50.130001,51.580002,1395200,25.790001
"2",51.07,52.529999,50.57,51.950001,986800,25.975
"3",51.869999,53.740002,51.869999,52.919998,1564600,26.459999
"4",52.98,54.169998,52.689999,53.849998,1674600,26.924999
"5",53.82,54.5,53.18,53.330002,2104800,26.665001
"6",53.25,54.310001,53.240002,54.220001,1157800,27.110001
"7",54.259998,54.799999,54.029999,54.389999,1519000,27.195
"8",54.810001,55.139999,54.16,54.380001,979400,27.190001
"9",54.369999,54.580002,53.82,53.93,1751000,26.965
"10",53.560001,54.23,53.41,53.889999,625400,26.945
"11",53.490002,53.73,52.650002,52.68,1184200,26.34
"12",52.759998,54.029999,52.700001,53.560001,1318200,26.780001
"13",53.77,54.310001,53.32,53.950001,818000,26.975
"14",53.490002,53.540001,52.279999,52.470001,1134000,26.235001
"15",52.619999,53.049999,51.080002,51.189999,1634400,25.594999
"16",51.189999,51.189999,48.610001,49.639999,3449800,24.82
"17",49.43,51,49.43,50.450001,1844600,25.225
"18",51.16,51.73,50.049999,50.43,950800,25.215
"19",50.360001,50.610001,49.290001,50.400002,2550400,25.200001
"20",50.57,51.549999,50.450001,51.349998,1142000,25.674999
"21",51.099998,52.25,51.099998,52.16,820800,26.08
"22",51.91,52.279999,49.490002,49.98,2064200,24.99
"23",50.5,51.529999,50.049999,50.849998,1581600,25.424999
"24",51.080002,51.400002,50.540001,51.27,902000,25.635
"25",51.169998,51.639999,50.830002,51.369999,1230800,25.684999
"26",51.080002,51.419998,50.25,50.400002,1082400,25.200001
"27",50.400002,50.830002,50,50.25,726800,25.125
"28",49.799999,50.880001,49.459999,50.75,923400,25.375
"29",50.830002,52.16,50.830002,51.119999,2262400,25.559999
"30",51.509998,53.73,51.5,53.200001,3293800,26.6
"31",53.139999,53.139999,51,52.799999,2326600,26.4
"32",53.209999,54.990002,53.040001,54.419998,1268600,27.209999
"33",54.689999,54.689999,53.619999,54.43,1434200,27.215
"34",54.52,54.84,53.16,53.220001,883600,26.610001
"35",53.080002,54.310001,53.049999,53.900002,1116800,26.950001
"36",53.540001,54.700001,53.220001,54.360001,1637200,27.18
"37",54.709999,56,54.709999,55.939999,1093600,27.969999
"38",55.880001,56.869999,55.560001,56.580002,1292200,28.290001
"39",56.599998,57.610001,56.580002,57.509998,1384800,28.754999
"40",57.299999,57.68,57.009998,57.290001,960000,28.645
"41",57.040001,57.310001,55.860001,56.720001,1859400,28.360001
"42",57.099998,57.389999,56.630001,56.950001,521800,28.475
"43",56.450001,56.77,55.650002,56.32,960000,28.16
"44",55.509998,55.509998,54.169998,55,1651200,27.5
"45",54.740002,57.490002,54.060001,56.689999,1687800,28.344999
"46",56.57,56.919998,56.150002,56.240002,491400,28.120001
"47",55.790001,58,55.59,57.720001,1870800,28.860001
"48",57.990002,58.669998,57.799999,57.98,1057600,28.99
"49",57.709999,58.139999,57.25,57.759998,1010800,28.879999
"50",57.5,57.5,56.099998,56.75,1463200,28.375
"51",56.459999,56.459999,55.27,55.650002,1617800,27.825001
"52",56.110001,56.990002,55.959999,56.16,891200,28.08
"53",55.830002,56.110001,55.080002,55.459999,1224600,27.73
"54",55.310001,56.59,55.240002,56.439999,891000,28.219999
"55",56.669998,56.950001,55.77,55.939999,738600,27.969999
"56",56.389999,57.689999,55.32,57.52,1153000,28.76
"57",57.529999,58.060001,56.830002,57.139999,697600,28.57
"58",56.709999,57.540001,56.220001,56.470001,820800,28.235001
"59",57.459999,58.66,57.330002,57.990002,1014200,28.995001
"60",57.869999,58.299999,57.619999,58.119999,770000,29.059999
"61",58.360001,58.700001,57.470001,58.18,719600,29.09
"62",57.990002,58.18,57.57,57.709999,529200,28.855
"63",57.98,59.360001,57.970001,59.029999,1415400,29.514999
"64",59.490002,59.5,58.580002,58.849998,958600,29.424999
"65",59.029999,60.779999,58.880001,60.639999,2547600,30.32
"66",60.919998,61.369999,59.759998,59.869999,1622400,29.934999
"67",60.009998,60.369999,59.5,59.75,1021400,29.875
"68",59.490002,60.110001,59.490002,60.07,921800,30.035
"69",59.849998,60.200001,59.689999,59.779999,523000,29.889999
"70",60,60.310001,59.41,60.07,1028600,30.035
"71",60.34,61.650002,60.169998,61.310001,886400,30.655001
"72",61.049999,61.700001,60.720001,61.200001,1190000,30.6
"73",61.959999,64.080002,61.82,62.970001,4533600,31.485001
"74",62.869999,63.720001,62.700001,63.009998,1315200,31.504999
"75",63.75,63.93,62.880001,63.540001,902000,31.77
"76",63.580002,64.330002,63.119999,64.07,1762800,32.035
"77",64.160004,65.089996,62.330002,64.980003,2210400,32.490002
"78",65.07,65.379997,64.120003,64.309998,1424800,32.154999
"79",64.5,64.639999,63.759998,64.360001,1526600,32.18
"80",64.57,64.629997,62.860001,64.190002,999400,32.095001
"81",63.75,64.5,63.439999,63.560001,1312400,31.780001
"82",64.18,66.449997,64.029999,66.309998,1912000,33.154999
"83",66.489998,67.68,66.489998,67,3039000,33.5
"84",67.239998,67.610001,66.739998,67.07,1110800,33.535
"85",66.989998,67.410004,66.57,67.400002,999600,33.700001
"86",67.389999,67.57,67,67.349998,1000400,33.674999
"87",67.470001,68.650002,66.809998,68.400002,1365000,34.200001
"88",68.550003,68.919998,67.080002,67.199997,2044800,33.599998
"89",67.410004,67.709999,66.860001,67.480003,2908000,33.740002
"90",67.769997,68.239998,67.160004,67.769997,2194200,33.884998
"91",68.089996,68.410004,67.889999,68.309998,1296000,34.154999
"92",67.389999,68.010002,67.150002,67.510002,2029000,33.755001
"93",67.529999,68.610001,67.150002,68.07,2386200,34.035
"94",71.699997,72.449997,67.550003,68.410004,7057600,34.205002
"95",67.720001,67.940002,66.139999,67.019997,3940400,33.509998
"96",67.690002,68.639999,67.449997,67.860001,1873800,33.93
"97",67.699997,68.25,67.230003,67.610001,848200,33.805
"98",67.419998,68.559998,67.129997,67.879997,980200,33.939999
"99",68.209999,68.910004,68.110001,68.230003,998000,34.115002
"100",68.370003,68.879997,68.07,68.300003,987400,34.150002
"101",68.589996,68.730003,66.959999,67.400002,951600,33.700001
"102",68.150002,69.330002,68.040001,69.269997,1306600,34.634998
"103",69.339996,70.720001,69.269997,70.480003,2153200,35.240002
"104",71.18,72.769997,71.010002,72.769997,2915000,36.384998
"105",72.709999,72.879997,71.900002,72.720001,2333400,36.360001
"106",72.580002,72.839996,71.849998,72.730003,1346000,36.365002
"107",72.599998,72.68,72,72.040001,1965000,36.02
"108",72.169998,72.720001,71.489998,72.459999,1452200,36.23
"109",71.800003,72.730003,71.800003,72.410004,1533000,36.205002
"110",71.870003,72.82,71.790001,72.489998,1405800,36.244999
"111",72.629997,73.589996,72.32,73.230003,1211600,36.615002
"112",72.650002,73.260002,71.760002,72.720001,1353400,36.360001
"113",72.489998,73.199997,72.07,72.260002,1255000,36.130001
"114",72.5,74.330002,72.32,74.080002,1495400,37.040001
"115",73.860001,75,73.379997,75,1640200,37.5
"116",75.110001,76.230003,74.25,75.980003,1911600,37.990002
"117",75.669998,76,74.800003,75.279999,1345400,37.639999
"118",75.5,76.68,75.5,76.169998,1721000,38.084999
"119",75.529999,77.599998,75.25,76.849998,1297200,38.424999
"120",76.550003,76.660004,74.559998,75.540001,2540000,37.77
"121",75.75,77.639999,75.18,76.449997,10368800,38.224998
"122",76.779999,76.940002,75.860001,76.239998,2861800,38.119999
"123",76,76.480003,75.519997,76.150002,2070800,38.075001
"124",75.879997,76.419998,75.400002,76,1843800,38
"125",76.139999,76.529999,75.610001,76.029999,2173600,38.014999
"126",76.559998,77.349998,75.709999,76.919998,1585200,38.459999
"127",77.160004,77.449997,76.529999,77.209999,1922600,38.605
"128",77.410004,77.410004,75.129997,75.699997,2126000,37.849998
"129",75.650002,76.620003,75.449997,76.239998,1571400,38.119999
"130",76.419998,76.419998,74.93,75.160004,1704000,37.580002
"131",75.029999,78.57,75.029999,78.230003,2321800,39.115002
"132",78.120003,79.830002,77.5,79.010002,1624800,39.505001
"133",79.459999,80.980003,78.849998,80.830002,1872000,40.415001
"134",81,83.620003,81,82.339996,5087800,41.169998
"135",82.389999,82.43,80.599998,81.709999,1605400,40.855
"136",82.129997,82.279999,80.949997,81.709999,809000,40.855
"137",81.760002,81.959999,80.970001,81.449997,610600,40.724998
"138",81.139999,81.339996,80.650002,81.18,690600,40.59
"139",80.879997,81.650002,80.529999,81.190002,508000,40.595001
"140",81.120003,81.489998,80.900002,81.18,446200,40.59
"141",81.18,81.220001,80.639999,80.860001,469400,40.43
"142",80.660004,81,80.360001,80.650002,545200,40.325001
"143",80.690002,81.150002,79.75,80.550003,903600,40.275002
"144",81.360001,81.809998,81.110001,81.330002,772000,40.665001
"145",81.370003,81.949997,80.959999,81.470001,708000,40.735001
"146",81.389999,83.480003,81.050003,82.760002,1057400,41.380001
"147",82.900002,83.440002,82,82.559998,931200,41.279999
"148",82.489998,82.900002,80.080002,82.339996,1430200,41.169998
"149",81.269997,83.139999,81.139999,82.800003,766800,41.400002
"150",83.220001,84,83.010002,83.510002,743600,41.755001
"151",83.779999,84.290001,83.160004,84.25,775400,42.125
"152",84.32,84.970001,84.089996,84.639999,638400,42.32
"153",84,84,81.339996,82.370003,2050000,41.185001
"154",82.660004,87.139999,82.660004,86.370003,2459400,43.185001
"155",86.440002,86.610001,84.32,84.68,1612000,42.34
"156",84.169998,85.599998,83.970001,85.169998,1201400,42.584999
"157",85.550003,85.919998,84.269997,84.43,917000,42.215
"158",84.57,86.339996,84.510002,84.599998,1245200,42.299999
"159",84.720001,85.339996,84.190002,85.239998,999200,42.619999
"160",85.089996,86.400002,84.989998,85.5,872000,42.75
"161",85.449997,86.389999,84.290001,85.029999,1244200,42.514999
"162",85.260002,85.389999,81.419998,82.339996,1752800,41.169998
"163",82.480003,84.809998,81.82,83.82,1311000,41.91
"164",84.360001,86.050003,84.010002,85.650002,1092400,42.825001
"165",85.050003,85.959999,84.510002,85.309998,1597400,42.654999
"166",85.279999,85.529999,83.339996,83.690002,1283000,41.845001
"167",84.18,85.25,83.290001,84.980003,747400,42.490002
"168",85,85.510002,84,84.290001,1021200,42.145
"169",84.290001,86.660004,83.459999,86.400002,1524600,43.200001
"170",86.309998,86.5,84.830002,86.120003,1626800,43.060001
"171",84.5,90.290001,84.080002,89.940002,3298200,44.970001
"172",88.720001,90.18,88.080002,90.050003,1428200,45.025002
"173",89.080002,90.050003,89.080002,89.93,1027400,44.965
"174",89.860001,90.220001,89.279999,90.080002,657000,45.040001
"175",90.43,92.809998,90.25,92.410004,1208200,46.205002
"176",92.449997,93.449997,91.730003,93.370003,1771200,46.685001
"177",94.349998,94.660004,93.550003,94.639999,1346400,47.32
"178",95,95.5,93,93.43,1804600,46.715
"179",93.760002,94.209999,92.07,92.349998,1683800,46.174999
"180",92.089996,92.650002,91,92.169998,1993000,46.084999
"181",92.769997,95.029999,92.599998,94.919998,966400,47.459999
"182",96.940002,96.940002,94.650002,96.279999,1408400,48.139999
"183",96.93,97.029999,95.25,97.029999,1790800,48.514999
"184",96.860001,100.360001,96.5,98.419998,2576600,49.209999
"185",99.290001,99.519997,98.309998,99.470001,1181800,49.735001
"186",99.620003,99.800003,97.910004,98.339996,1551800,49.169998
"187",99.080002,99.75,97.669998,98.410004,1547600,49.205002
"188",98.410004,100,98.129997,99.610001,1607400,49.805
"189",99.580002,100,99.239998,99.730003,877000,49.865002
"190",98.919998,99.07,97,97.260002,1951200,48.630001
"191",97.190002,99.029999,97,98.220001,1249600,49.110001
"192",97.389999,98.150002,96.809998,97.75,1269000,48.875
"193",95.110001,96,93.290001,95.25,2754200,47.625
"194",94.989998,95.970001,93.5,93.989998,1868800,46.994999
"195",94.279999,95.330002,93.480003,93.68,1396000,46.84
"196",94.959999,94.970001,93.57,93.769997,1794400,46.884998
"197",95.459999,95.599998,94.440002,94.599998,1173400,47.299999
"198",95.080002,95.080002,93.760002,94.410004,1146400,47.205002
"199",94.18,94.339996,92.959999,93.709999,1405400,46.855
"200",94,94.760002,93.610001,94.400002,1198400,47.200001
"201",94.449997,96.349998,94.260002,94.82,1258600,47.41
"202",94.769997,94.769997,92.809998,93.510002,1399000,46.755001
"203",93.620003,97.269997,93.620003,97.139999,1212200,48.57
"204",98.879997,100,98.010002,99.459999,1939200,49.73
"205",99.019997,99.919998,98.099998,98.68,1502600,49.34
"206",99.379997,100.620003,98.199997,100,7426600,50
"207",100.160004,101.68,99.330002,100.790001,1823600,50.395
"208",101.330002,104.889999,100.870003,104.389999,2571600,52.195
"209",105,105,101.800003,102,1568400,51
"210",102.690002,103.470001,100.779999,103.110001,1292200,51.555
