"","LO.Open","LO.High","LO.Low","LO.Close","LO.Volume","LO.Adjusted"
"1",73.070011,73.98,73.070011,73.940008,4084200,19.372722
"2",73.539991,73.820011,72.320011,73.709999,4527900,19.312458
"3",74.090012,74.280001,73.340012,73.620003,4986600,19.288878
"4",73.860003,74.70999,73.689989,74.589993,3918900,19.543021
"5",74.129997,75.129988,73.98,75.030001,2470800,19.658306
"6",75.230009,75.350012,74.27001,74.610003,2448300,19.548264
"7",74.619987,75.149998,74.619987,74.990009,3117000,19.647828
"8",75.740009,75.929998,75.009991,75.419998,3288000,19.760488
"9",75.51,75.819992,73.95999,74.22999,4910100,19.448699
"10",73.940008,74.580002,73.550011,74.090012,3074400,19.412024
"11",73.899988,74.079992,72.710009,72.879988,5766900,19.09499
"12",73.02,73.02,71.619987,71.769991,13988100,18.804164
"13",71.930008,74.159998,71.769991,73.539991,5968200,19.267915
"14",72.980009,73.509991,72.21999,72.540001,4602900,19.005911
"15",72.369987,73.050001,71.930008,71.97999,5313900,18.859185
"16",72.129988,72.179998,70.869987,71.949989,3918900,18.851325
"17",72.099993,72.309992,71.379988,71.909998,4020900,18.840847
"18",72.620012,73.110003,71.960009,72.650007,3040500,19.034734
"19",72.540001,72.950008,71.529991,72.51,6658200,18.998051
"20",72.669989,74.210009,72.659998,74.189999,5076600,19.438221
"21",74.259991,74.450008,73.79001,74.420008,5730000,19.498484
"22",74.76,75.27,74.390013,74.669998,3591600,19.563983
"23",75.050011,75.159988,73.359987,74.649988,8625300,19.558741
"24",74.439989,74.78001,74.079992,74.720009,3839100,19.577087
"25",74.580002,75.620012,74.150007,74.76,8679600,19.587565
"26",74.49999,75,73.490009,73.530001,4221900,19.265297
"27",73.869987,74.109987,73.320002,74.03001,3810300,19.396303
"28",73.329992,75.159988,73.329992,75,3010200,19.650446
"29",75.009991,75.419998,73.98,74.450008,4192500,19.506345
"30",74.949989,75.920008,74.649988,75.909988,5160000,19.888868
"31",75.759991,76.47999,75.740009,76.299992,2755500,19.991051
"32",76.880013,77.720009,76.610012,77.25,2666100,20.239959
"33",77.589993,77.690008,77.070002,77.420008,2189700,20.284502
"34",77.210009,77.669998,76.590002,76.679998,2790000,20.090615
"35",76.839993,77.310001,75.719999,75.800011,2292900,19.860053
"36",75.29001,76.340012,74.960009,76.23999,3868200,19.975331
"37",76.670008,77.00001,75.899998,76.359987,3012600,20.006771
"38",76.379997,76.649998,75.719999,75.789991,3476400,19.857428
"39",75.99999,76.190008,74.580002,74.799992,4989600,19.598042
"40",74.699999,75.890013,74.459999,75.890013,3754500,19.883635
"41",75.399988,76.389988,75.320011,76.320002,3592500,19.996294
"42",76.460009,76.610012,76.089993,76.110003,4846800,19.941273
"43",75.789991,76.659988,75.629997,76.179989,4044300,19.95961
"44",75.410007,75.759991,75.090002,75.710009,3533100,19.836472
"45",75.02001,75.600002,74.390013,75.300001,6486000,19.729048
"46",75.440008,75.860012,75.149998,75.300001,3113100,19.729048
"47",75.02001,75.129988,74.25,74.459999,3137700,19.508962
