"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"1",62.880001,63.689999,62.66,63.32,4759200,28.705515
"2",62.779999,64.93,62.779999,64.779999,4592000,29.367391
"3",65.32,65.610001,64.019997,64.07,4095000,29.04552
"4",64.769997,65.599998,64.559998,65.580002,2147800,29.730065
"5",68.5,68.5,66.300003,66.540001,5963200,30.165271
"6",66.910004,66.940002,64.699997,66.160004,4454200,29.993003
"7",66.139999,67.290001,66.139999,66.660004,3486800,30.219673
"8",67.709999,68.279999,66.400002,66.809998,2292400,30.287672
"9",66.959999,67.269997,65.5,65.540001,2697400,29.711931
"10",65.589996,65.82,64.32,65.099998,2912000,29.51246
"11",64.610001,64.660004,63,63.110001,3025400,28.610314
"12",63.209999,63.700001,62.369999,62.950001,5231000,28.537779
"13",63.220001,63.490002,62.389999,62.889999,1937400,28.510578
"14",61.779999,61.779999,60.630001,61,3489200,27.653765
"15",60.990002,62.029999,60.23,60.41,2363800,27.386294
"16",60.209999,61.330002,59.689999,61.049999,4767200,27.676432
"17",61.209999,61.68,59.919998,60.57,2318000,27.458829
"18",61.25,61.869999,59.950001,60.560001,3102200,27.454296
"19",60.419998,63.07,60.310001,63.07,3177600,28.59218
"20",63.959999,64.599998,63.349998,64.25,3471600,29.127121
"21",64.129997,65.080002,63.939999,64.620003,2169400,29.294859
"22",64.43,64.470001,63.209999,63.779999,3350800,28.914051
"23",64.330002,65.599998,64.230003,65.330002,3411600,29.61673
"24",65.019997,65.660004,63.75,64.519997,4191400,29.249522
"25",64.510002,65.220001,63.599998,64.599998,2884800,29.28579
"26",64.32,64.480003,62.27,62.459999,3378600,28.315642
"27",62.82,63.139999,61.57,62.150002,3382400,28.175107
"28",61.470001,64.739998,61.470001,64.639999,5586000,29.303924
"29",65.139999,65.510002,64.230003,64.800003,4139000,29.37646
"30",65.440002,66.800003,65.010002,66,3025800,29.920467
"31",65.980003,67.720001,65.82,67.650002,2546200,30.66848
"32",67.849998,68.239998,67.330002,68.199997,3289800,30.917815
"33",68.830002,69.529999,68.5,68.800003,5074200,31.189822
"34",68.389999,69.18,68.389999,68.839996,2459800,31.207952
"35",69.18,69.760002,67.839996,68.82,2655600,31.198887
"36",67.900002,69.709999,67.849998,69.470001,2573200,31.493559
"37",70.110001,71.279999,69.989998,71.120003,2544600,32.241571
"38",70.419998,70.989998,69.879997,70.019997,2498200,31.742894
"39",70.279999,70.93,70.190002,70.879997,2105800,32.132767
"40",70.540001,70.849998,69.589996,70.25,3070600,31.847164
"41",69.379997,70.089996,68.529999,69.550003,2674000,31.778628
"42",69.809998,70.160004,69.389999,69.769997,1675200,31.879147
"43",69.230003,69.809998,68.629997,69.339996,2237400,31.682672
"44",67.93,67.93,66.720001,67.050003,2288600,30.636333
"45",65.809998,67.010002,65.760002,66.849998,1860400,30.544948
"46",66.5,66.970001,66.269997,66.309998,1444000,30.298212
"47",65.839996,66.779999,65.449997,66.510002,1467000,30.389597
"48",67.330002,68.25,67.279999,67.739998,2266600,30.951604
"49",67.720001,67.720001,66.699997,67.25,2233400,30.727716
"50",66.860001,66.989998,65.040001,65.589996,2400800,29.96923
