"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"1",51.049999,52.700001,50.880001,52.66,4571200,50.2216
"2",51.779999,53.57,51.779999,53.450001,3109600,50.975021
"3",54.189999,54.75,53.560001,53.669998,4235800,51.280772
"4",54.240002,55.389999,53.970001,55.310001,2612700,52.847767
"5",54.849998,55.48,54.57,55,2510200,52.551566
"6",55.150002,55.209999,54.169998,54.689999,3510100,52.255365
"7",54.900002,56.220001,54.27,56.18,4057200,53.679036
"8",57.09,57.450001,55.59,56.009998,3593600,53.516602
"9",55.900002,56.060001,54.34,54.509998,4328000,52.083378
"10",54.459999,55.470001,53.970001,55.07,3992200,52.61845
"11",54.82,54.98,53.380001,53.73,4527700,51.338102
"12",53.959999,54.48,53.110001,53.799999,3181800,51.404986
"13",53.790001,53.84,52.669998,52.970001,3179000,50.611937
"14",52.18,52.209999,50.779999,50.950001,4094700,48.681861
"15",51.029999,51.860001,50.209999,50.34,4065400,48.099015
"16",49.82,50.740002,48.709999,49.959999,5958100,47.735931
"17",50.169998,50.759998,49.639999,50.080002,2873500,47.850591
"18",51.200001,51.919998,50.299999,50.950001,4341000,48.681861
"19",51.290001,53.220001,51.23,53.220001,3716800,50.850807
"20",53.790001,54.110001,52.759998,54.099998,2817200,51.69163
"21",54.040001,54.110001,52.630001,53.23,2932000,50.860361
"22",53.049999,53.689999,52.700001,53.689999,2288300,51.299882
"23",54.389999,54.740002,53.990002,54.349998,2439900,51.930501
"24",53.959999,54.490002,53.330002,53.59,2707900,51.204335
"25",53.900002,53.900002,52.419998,53.32,3314600,50.946354
"26",52.490002,52.880001,51.259998,51.490002,3320600,49.197822
"27",51.880001,52.380001,51.490002,51.830002,2036600,49.522687
"28",51.049999,52.93,51,52.880001,3433400,50.525943
"29",53.59,53.59,50.41,50.889999,5432200,48.62453
"30",51.459999,52.889999,51.34,52.200001,5847900,49.876214
"31",52.040001,52.939999,51.32,52.700001,4835700,50.353956
"32",52.610001,53.060001,52.200001,52.779999,5053200,50.430393
"33",52.900002,53.360001,52.41,53.299999,6413500,50.927244
"34",53.110001,53.939999,52.009998,52.470001,7073800,50.134195
"35",52.509998,54.029999,52.490002,53.849998,6356100,51.452759
"36",53.369999,53.91,52.939999,53.59,4471300,51.204335
"37",54.630001,56.080002,54.52,55.939999,4416700,53.449719
"38",56.060001,56.150002,55.07,56.080002,3469400,53.583489
"39",56.200001,56.560001,55.740002,56.5,2955600,53.984791
"40",56,56.59,55.790001,56.310001,2146900,53.80325
"41",55.82,56.189999,54.650002,55.59,2565400,53.115301
"42",56.07,56.200001,55.310001,56.060001,2188600,53.564379
"43",55.07,55.950001,54.650002,55.560001,2799900,53.086638
"44",54.41,54.509998,53.040001,53.400002,2922500,51.022795
"45",52.369999,53.48,52.279999,53.16,2148500,50.793477
"46",52.880001,53.740002,52.73,52.77,1974900,50.420839
"47",52.490002,52.759998,52.049999,52.619999,3097200,50.277515
"48",53.400002,53.619999,52.779999,53.439999,2891800,51.061011
"49",53.369999,53.369999,52.200001,52.900002,2821600,50.545053
"50",52.509998,52.740002,51.889999,51.990002,3815700,49.675564
"51",51.439999,52,50.959999,51.240002,2753200,48.958952
"52",51.18,51.720001,51.02,51.23,1827500,48.949395
"53",50.549999,50.990002,50.119999,50.209999,4278500,47.974802
"54",49.990002,50.66,49.790001,50.41,4447300,48.165899
"55",50.759998,51.02,49.799999,49.880001,2484600,47.659494
"56",50.200001,51.560001,49.599998,51.459999,2583500,49.169155
"57",51.18,51.490002,50.490002,50.52,2078800,48.271003
"58",50.27,50.900002,49.810001,50.25,2130000,48.013022
"59",51.32,53.189999,51.18,53.110001,3480600,50.745704
"60",53.419998,54.91,53.25,54.889999,4279000,52.446462
"61",55.139999,55.439999,54.490002,55.290001,2439500,52.828657
"62",54.82,54.82,53,53.380001,4560000,51.003685
"63",53.360001,54.799999,53.25,54.299999,2892100,51.882727
"64",54.98,55.16,53.860001,54.119999,2417000,51.71074
"65",54.540001,55.080002,54.299999,54.419998,2631800,51.997384
"66",55.32,55.32,54.369999,54.490002,3728100,52.064271
"67",54.279999,55.07,53.84,54.799999,3363200,52.360469
"68",54.389999,55.23,54,55,2960800,52.551566
"69",54.59,55.880001,54.439999,55.82,3797600,53.432211
"70",56.119999,56.240002,54.950001,54.970001,5242400,52.618572
"71",55.25,56.849998,55.18,56.669998,3403500,54.245849
"72",56.310001,56.860001,55.310001,56.139999,2781000,53.738522
"73",56.25,57.93,56.240002,56.400002,3373900,53.987402
"74",55.68,56.720001,55.459999,56.049999,2199400,53.652372
"75",56.91,58.169998,56.540001,57.810001,2568500,55.337087
"76",57.810001,57.889999,57.459999,57.669998,2783700,55.203073
"77",57.740002,58.470001,57.18,58.189999,3970000,55.700829
"78",58.119999,59.349998,57.860001,58.779999,3007000,56.265591
"79",59.349998,59.790001,58.130001,59.119999,3426000,56.591047
"80",60,61.119999,59.990002,60.919998,4574300,58.314049
"81",60.619999,60.970001,59.23,59.490002,4397200,56.945223
"82",60.689999,62.18,60.650002,61.419998,5033600,58.79266
