"","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"1",68.980003,69.410004,68.709999,69.370003,6743600,59.1119
"2",68.860001,69.550003,68.75,69.540001,5367100,59.25676
"3",69.949997,69.980003,69.300003,69.300003,4525300,59.052252
"4",69.940002,70.489998,69.849998,70.400002,6419900,59.989588
"5",70.059998,70.5,70.010002,70.290001,4548500,59.895854
"6",70.550003,70.580002,69.379997,70.050003,7014900,59.691346
"7",70.25,70.43,69.809998,69.879997,8817900,59.546479
"8",70.269997,70.5,69.769997,69.919998,5203100,59.580565
"9",70.010002,70.370003,68.550003,68.639999,5487700,58.489846
"10",68.82,69.300003,68.470001,68.629997,5443200,58.481323
"11",68.43,68.540001,67.610001,67.730003,5942800,57.714416
"12",67.709999,68.290001,67.370003,67.419998,8041700,57.450253
"13",67.580002,67.889999,67.25,67.330002,4427700,57.373565
"14",66.610001,66.790001,66.089996,66.459999,8715200,56.632214
"15",66.290001,66.839996,65.800003,65.870003,7204900,56.129464
"16",66.720001,66.900002,65.309998,66.709999,10924400,56.845245
"17",66.75,67,65.959999,66.139999,5280600,56.359534
"18",66.519997,67.099998,65.629997,66.110001,5940700,56.333972
"19",66.089996,67.370003,66,67.309998,6623200,57.356519
"20",67.800003,69.150002,67.550003,69.019997,7871200,58.813652
"21",69.080002,69.330002,68.75,69.220001,4513000,58.98408
"22",68.959999,70,68.959999,69.940002,5420800,59.597611
"23",70.440002,71.07,70.120003,70.839996,6072100,60.364518
"24",70.5,70.980003,70.160004,70.900002,4476100,60.41565
"25",70.900002,71.459999,70.43,71.330002,5470100,60.782064
"26",71.160004,71.279999,69.860001,69.940002,5981000,59.597611
"27",69.970001,70.379997,69.449997,69.910004,5072700,59.572049
"28",69.470001,70.959999,69.440002,70.870003,5474300,60.390088
"29",70.93,71,69.650002,70.110001,5734400,59.742471
"30",70.510002,71.540001,70.510002,71.400002,6717900,60.841713
"31",70.760002,71.169998,68.940002,69.900002,12238900,59.563526
"32",70.040001,70.870003,69.900002,70.870003,5525400,60.390088
"33",71.029999,71.029999,69.989998,70.400002,6214900,59.989588
"34",70.209999,70.379997,69.370003,69.769997,6708400,59.452745
"35",70.199997,70.25,68.900002,69.379997,5131700,59.120417
"36",68.919998,69.980003,68.589996,69.730003,5990300,59.418666
"37",70.5,70.5,69.93,70.25,5873100,59.861768
"38",70.209999,70.839996,70.059998,70.449997,4946000,60.03219
"39",70.379997,70.949997,70.209999,70.690002,4567100,60.236705
"40",70.5,70.5,69.839996,70.449997,5441500,60.03219
"41",70.160004,71.800003,70.019997,71.739998,6775300,61.131432
"42",72.410004,73.339996,72.349998,72.919998,8921200,62.13694
"43",72.5,72.980003,71.970001,72.839996,5689700,62.068768
"44",72.010002,72.32,71.5,71.57,5478000,60.986572
"45",71.040001,72.150002,71.040001,72.059998,5641400,61.404112
"46",71.690002,72.470001,71.690002,71.889999,5937300,61.259252
"47",71.760002,72.120003,71.540001,71.790001,4935700,61.174041
"48",72.080002,73.639999,71.739998,73.220001,7392900,62.39258
"49",73.230003,73.82,72.800003,73.25,6030800,62.418142
"50",73.150002,73.400002,72.449997,72.970001,6950500,62.179548
"51",72.870003,73.199997,72.68,73.080002,5566300,62.273283
"52",73.529999,73.940002,73.330002,73.339996,5404300,62.49483
"53",72.75,73.099998,72.190002,72.720001,5846200,61.966517
"54",72.300003,73.449997,72.300003,73.190002,6704600,62.367017
"55",73.690002,73.760002,73.110001,73.160004,5215600,62.341454
"56",73.470001,74.07,72.860001,73.989998,6592900,63.048713
"57",73.309998,73.470001,72.739998,72.739998,4192900,62.447757
"58",72.559998,73.32,72.550003,73.059998,5598100,62.722478
"59",73.919998,74.599998,73.720001,74.540001,6746800,63.993071
"60",74.75,75.059998,74.290001,75.019997,5885200,64.40515
"61",74.900002,75.349998,74.419998,75.089996,7328100,64.465246
"62",74.970001,75.980003,74.93,75.800003,7188700,65.074791
"63",75.940002,76.260002,75.75,76.080002,6808700,65.315172
"64",74.339996,76.080002,73.660004,74.370003,14615200,63.847126
"65",74.190002,75.129997,74.18,75.010002,7483900,64.39657
"66",75.25,75.339996,74.010002,74.57,7851500,64.018825
"67",74.470001,74.57,73.809998,73.940002,6543500,63.477968
"68",73.720001,74.830002,73.709999,74.709999,4549400,64.139015
"69",74.620003,74.900002,74.349998,74.800003,5073300,64.216284
"70",74.599998,74.790001,74.129997,74.32,7933500,63.804198
