"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"1",50.560001,51.790001,50.310001,51.720001,3304200,50.521846
"2",51.200001,51.98,51,51.950001,2156300,50.746518
"3",52.169998,52.759998,52.139999,52.16,2106800,50.951652
"4",52.59,53.48,52.549999,53.48,3759200,52.241072
"5",53.029999,53.68,52.68,53.43,2230800,52.192231
"6",53.330002,53.560001,52.650002,53.439999,2090500,52.201998
"7",53.48,53.860001,53.330002,53.66,2485400,52.416903
"8",54.099998,54.869999,53.369999,53.630001,2496800,52.387599
"9",53.799999,53.889999,52.330002,52.41,2271800,51.19586
"10",52.380001,52.689999,51.82,52.349998,2085300,51.137249
"11",52.099998,52.259998,50.759998,50.970001,4061500,49.789221
"12",51.07,51.439999,50.73,50.900002,4181700,49.720843
"13",51.150002,51.380001,50.439999,51.049999,2795200,49.867366
"14",50.299999,50.619999,49.080002,49.75,4913500,48.597483
"15",49.580002,50.110001,48.970001,49.049999,6938200,47.913698
"16",49.049999,49.049999,47.25,48.16,5789300,47.044317
"17",48.23,48.349998,47.209999,47.580002,3506900,46.477755
"18",48.169998,49.439999,48.07,48.970001,4473200,47.835553
"19",48.939999,48.939999,47.400002,48.639999,6164700,47.513196
"20",48.869999,49.25,48.57,48.880001,4846400,47.747638
"21",49.009998,49.450001,48.830002,49.279999,3241900,48.138369
"22",49.049999,49.139999,48.009998,48.220001,5552800,47.102928
"23",48.52,49.779999,48.27,49.540001,4657900,48.392348
"24",49.439999,50.139999,49.060001,49.740002,3788800,48.587716
"25",49.68,50.279999,49.279999,50.16,3486600,48.997984
"26",49.669998,50.040001,48.950001,49.060001,3323700,47.923469
"27",49.330002,49.540001,48.939999,49.07,1985400,47.933235
"28",48.5,49.459999,48.139999,49.450001,2196400,48.304433
"29",49.650002,49.68,48.360001,48.709999,2494400,47.581574
"30",49.130001,50.439999,49.110001,50.380001,3220500,49.212889
"31",50.23,51.299999,50.09,51.09,4562900,49.90644
"32",50.939999,51.360001,50.490002,50.990002,4479900,49.808758
"33",48.740002,48.759998,45.950001,46.169998,19242700,45.100416
"34",46.369999,46.709999,45.830002,46,8067700,44.934356
"35",46.119999,46.220001,44.84,44.970001,9162700,43.928218
"36",44.669998,45.25,44.560001,44.860001,7800100,43.820766
"37",45.389999,45.73,44.880001,45.009998,9136600,43.967289
"38",44.93,45.080002,44.25,44.549999,8399000,43.517946
"39",44.540001,45.790001,44.529999,45.459999,6017900,44.406865
"40",45.139999,45.389999,44.880001,44.990002,4336400,43.947755
"41",44.799999,45.84,44.610001,45.77,3562500,44.709684
"42",45.849998,46.18,45.41,46,2857000,44.934356
"43",45.59,46.200001,45.43,45.84,3685900,44.778062
"44",45.34,45.380001,44.799999,45.040001,4728300,43.996596
"45",44.380001,44.93,44.380001,44.5,3545300,43.469105
"46",44.310001,44.720001,44.139999,44.299999,2219500,43.273737
"47",44.009998,44.490002,43.799999,44.259998,2227600,43.234663
"48",44.700001,45.799999,44.639999,45.52,3584900,44.465476
"49",45.139999,45.630001,44.900002,45.169998,2603500,44.123582
"50",45,45.279999,44.119999,44.349998,2723800,43.322578
"51",44.07,44.360001,43.810001,44.200001,2615700,43.176056
"52",44.349998,44.52,43.950001,44.02,2437900,43.000225
"53",43.529999,43.830002,42.59,42.650002,5360200,41.661964
"54",42.52,43.529999,42.110001,43.34,4556700,42.335978
"55",43.540001,43.98,42.799999,42.880001,3141800,41.886635
"56",43.029999,43.25,42.669998,43.18,4314100,42.179685
"57",43.200001,43.279999,42.349998,42.349998,2300400,41.368911
"58",42.220001,42.380001,41.740002,42.119999,3834800,41.144239
"59",42.759998,44.009998,42.700001,43.869999,2798200,42.853699
"60",43.880001,44.25,43.669998,44.209999,2216100,43.185822
"61",44.610001,45.240002,44.610001,45.189999,2708000,44.143119
"62",45.040001,45.16,44.599998,44.650002,2071100,43.615632
"63",44.599998,44.73,44.41,44.52,2752900,43.488642
"64",45.16,46.02,45.16,45.790001,3473500,44.729222
"65",45.98,46.380001,45.66,45.880001,2377100,44.817137
"66",46.18,46.740002,45.959999,46.700001,2839400,45.61814
"67",46.799999,47.919998,46.400002,46.880001,3393400,45.793971
"68",46.84,47.09,46.5,46.990002,2638100,45.901423
"69",46.669998,47.200001,46.669998,47.029999,2502700,45.940493
"70",47.400002,47.73,47.119999,47.310001,3448200,46.214009
"71",47.490002,47.880001,47.130001,47.59,2474500,46.487522
"72",47.07,48.080002,46.68,47.919998,3251600,46.809875
"73",48,48.740002,47.970001,48.150002,2499400,47.03455
"74",47.790001,48.470001,47.709999,47.82,3091000,46.712193
"75",48.34,48.619999,47.849998,47.900002,3900000,46.790341
