"","FDO.Open","FDO.High","FDO.Low","FDO.Close","FDO.Volume","FDO.Adjusted"
"1",38.740002,39.009998,38.389999,38.68,1978600,36.159543
"2",37.860001,38.700001,37.860001,38.57,2185500,36.201779
"3",38.619999,39.419998,38.619999,38.98,2130500,36.586604
"4",39.110001,39.5,38.849998,39.459999,2294900,37.037132
"5",39.290001,39.610001,39.02,39.330002,1937100,36.915116
"6",39.330002,39.619999,39.080002,39.610001,1597400,37.177923
"7",39.830002,39.830002,39.290001,39.400002,2446800,36.980818
"8",39.580002,39.580002,38.68,39.040001,2333100,36.642922
"9",38.939999,39.349998,38.369999,38.450001,2325100,36.089148
"10",38.540001,39.43,38.48,39.189999,2853600,36.783709
"11",39.150002,39.529999,38.900002,39.099998,3083100,36.699235
"12",39.049999,39.099998,38.049999,38.16,4095000,35.816953
"13",38.09,38.68,38.02,38.549999,2113500,36.183006
"14",38.16,38.290001,37.700001,38.080002,3272800,35.741867
"15",37.98,38.450001,37.68,37.689999,3997300,35.37581
"16",37.5,38.84,37.419998,38.75,3835500,36.370727
"17",38.73,39.16,38.52,38.619999,2584400,36.248708
"18",39.610001,40.040001,38.759998,39.439999,3939900,37.018359
"19",37,37.349998,35.889999,36.259998,14319000,34.033613
"20",36.34,36.5,35.310001,36.299999,4875100,34.071158
"21",36.360001,36.490002,35.75,36,2813500,33.789579
"22",36.02,36.290001,35.810001,36.110001,1727200,33.892825
"23",36.25,36.77,36.25,36.540001,2518100,34.296423
"24",36.57,37.240002,36.369999,37.080002,3290600,34.803268
"25",37,38.110001,36.849998,38.099998,3894800,35.760636
"26",38.150002,38.34,37.860001,38.119999,3972200,35.779408
"27",38.220001,38.349998,37.849998,38.130001,3872700,35.788796
"28",37.950001,38.41,37.630001,38.360001,4713800,36.004674
"29",38.349998,38.93,37.700001,38.310001,6199200,35.957745
"30",38.529999,39,38.439999,38.709999,2300000,36.333182
"31",38.77,39.57,38.669998,39.470001,3237100,37.04652
"32",39.310001,39.75,38.919998,39.700001,2746400,37.262397
"33",39.860001,39.939999,39.369999,39.470001,3332500,37.04652
"34",40.900002,42.259998,40.759998,41.290001,8128900,38.75477
"35",41.32,41.849998,40.580002,40.98,4386000,38.463803
"36",40.77,41.630001,40.59,41.349998,2883800,38.811084
"37",42.060001,42.490002,41.299999,41.919998,3446200,39.346085
"38",41.799999,42,41.299999,41.41,1647600,38.867401
"39",41.240002,42.049999,41.169998,42.009998,2047500,39.43056
"40",41.77,42.07,41.389999,41.91,1435700,39.336701
"41",41.700001,42.009998,41.240002,42,1481500,39.421175
"42",41.990002,42.810001,41.98,42.75,2396800,40.125125
"43",42.529999,42.880001,42.27,42.700001,1977800,40.078195
