"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"1",97.25,100.089996,96.720001,99.769997,1378400,89.078111
"2",98.269997,100.18,96.190002,98.239998,1694400,87.712075
"3",100.169998,100.730003,97.809998,98.230003,1906700,87.703152
"4",99.120003,102.699997,98.279999,102.480003,1685600,91.497699
"5",101.93,103.779999,99.879997,102.800003,1480500,91.783406
"6",103.599998,103.599998,99.510002,101.860001,1072000,90.944139
"7",101.989998,102.349998,100.559998,101.360001,1046000,90.497722
"8",103.040001,105.470001,102.699997,103.529999,1753300,92.435172
"9",103.769997,104.190002,97.330002,97.940002,1504300,87.444229
"10",97.910004,98.949997,95.050003,97.709999,1585400,87.238874
"11",96.949997,97.589996,93.300003,94.290001,1540200,84.185381
"12",94.639999,96.739998,93.470001,96.650002,1864200,86.292472
"13",96.580002,97.629997,95,95.639999,882000,85.390707
"14",94.029999,94.029999,89.019997,89.940002,2114700,80.301552
"15",89.870003,90.82,87.580002,87.82,1734700,78.40874
"16",88.230003,88.230003,82.07,85.349998,3030100,76.203437
"17",86.629997,86.879997,83.5,84.099998,1228500,75.087394
"18",85.639999,86.519997,82.019997,83.449997,2438300,74.50705
"19",83.559998,90.389999,83.559998,90.139999,2791200,80.480116
"20",90.910004,92.400002,88.449997,90.290001,1353200,80.614043
"21",90.650002,92.620003,90.040001,92.389999,977700,82.488994
"22",91.760002,92.769997,88.849998,90.639999,818500,80.926533
"23",92.209999,95.089996,91.489998,94.599998,1485400,84.462158
"24",94.449997,96.900002,93.480003,95.68,2015300,85.426421
"25",96.559998,96.559998,91.540001,94.379997,1368300,84.265733
"26",93.959999,94.279999,89.82,90.410004,2118200,80.721185
"27",90.110001,91.900002,87.449997,91.360001,2739500,81.569375
"28",90.540001,91.260002,85.779999,88.699997,6745200,79.194432
"29",89.209999,89.919998,84.599998,86.169998,3656800,76.935561
"30",87.5,88.309998,85.190002,86.199997,2953000,76.962345
"31",85.970001,86.419998,84.199997,85.970001,2076000,76.756997
"32",86.040001,89.360001,85.199997,88.18,1610200,78.730161
"33",89.25,89.379997,85.099998,86.18,1742500,76.944492
"34",86.169998,86.5,83.660004,84.279999,1351500,75.248104
"35",84.519997,84.879997,81.800003,84.110001,1777000,75.096324
"36",82.68,83.650002,82.029999,83.300003,1800700,74.37313
"37",84.379997,87.400002,83.699997,86.75,2090000,77.453407
