"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"1",37.209999,38.07,37.049999,37.799999,3793800,18.562877
"2",37.360001,38,37.110001,37.82,3136600,18.572699
"3",38.330002,39.369999,38.150002,38.740002,2347200,19.024495
"4",40.470001,41.240002,40.029999,41.23,5437600,20.247287
"5",40.919998,41.400002,40.540001,40.959999,3284400,20.114694
"6",41,41.299999,40.27,41.09,3505800,20.178535
"7",41.18,41.580002,40.75,41.310001,2645800,20.286574
"8",41.970001,42.200001,41.610001,41.82,5011000,20.537025
"9",42.02,42.029999,40.220001,40.240002,4041800,19.761117
"10",40.299999,41.060001,39.549999,40.509998,3924000,19.893707
"11",40.299999,40.310001,39.389999,39.669998,2401000,19.481199
"12",39.77,39.77,38.959999,39.299999,3987600,19.299499
"13",40.82,40.82,39.57,39.650002,2981000,19.471379
"14",39.07,39.07,37.18,37.490002,4581000,18.410643
"15",37.549999,38.779999,37.209999,37.34,4461800,18.33698
"16",37.23,38.439999,36.450001,38.119999,5097800,18.720023
"17",38.040001,38.27,37.25,37.470001,2807600,18.400821
"18",38.220001,38.220001,35.68,36.080002,4861600,17.718218
"19",36.27,38.389999,36.18,38.310001,4308800,18.81333
"20",38.91,39.029999,38.02,38.889999,2257000,19.098156
"21",38.880001,39.970001,38.68,39.93,2757200,19.608881
"22",39.84,40.34,39.529999,39.860001,2732000,19.574506
"23",40.360001,42.389999,40.360001,42.02,5620200,20.635241
"24",42.400002,43.110001,41.720001,42.689999,5201400,20.964265
"25",42.619999,42.860001,41.830002,42.580002,2974200,20.910248
"26",42.369999,42.389999,40.330002,40.43,3611200,19.854422
"27",40.650002,41.07,40.330002,40.970001,2114800,20.119606
"28",40.279999,42.27,40.130001,42.23,3847000,20.738368
"29",42.490002,42.490002,40.349998,40.450001,5185600,19.864244
"30",41.43,42.459999,41.25,42.18,3949600,20.713814
"31",41.91,43.5,41.650002,42.970001,5349200,21.101769
"32",43.119999,43.860001,43.119999,43.779999,2415200,21.499544
"33",43.990002,44.099998,42.290001,42.380001,5242200,20.812031
"34",42.419998,42.869999,41.759998,42.119999,3379400,20.684349
"35",42.560001,43,41.68,42.48,4407200,20.861138
"36",43.5,44.5,42.490002,43.860001,7956600,21.538831
"37",44.630001,46.240002,44.27,46.060001,6060400,22.619211
"38",46.009998,46.09,45.220001,45.830002,4186200,22.506262
"39",46.029999,46.299999,45.59,46.279999,3930800,22.727247
"40",45.790001,47.040001,45.650002,46.939999,4015200,23.051361
"41",46.27,47.18,46.02,47.009998,6058000,23.085737
"42",47.02,47.669998,47.02,47.5,3245600,23.326367
"43",45.77,46.349998,44.560001,46.060001,5123800,22.619211
"44",45.02,46.130001,44.66,45.790001,6382600,22.486619
"45",44.68,45.950001,44.02,45.5,3763800,22.344204
"46",45.400002,45.950001,44.91,45.310001,2727400,22.2509
"47",44.880001,46.5,44.669998,45.599998,3205400,22.393312
"48",46.279999,47.299999,46.119999,46.669998,2707200,22.918769
"49",46.529999,47.290001,45.959999,47.07,2244000,23.115202
"50",46.740002,47.150002,45.009998,45.259998,4454200,22.226344
"51",44.990002,45.639999,44.490002,45.509998,3781600,22.349114
"52",45.900002,45.970001,44.630001,44.860001,4185600,22.029913
"53",44.16,44.16,43.080002,43.560001,5504200,21.391507
"54",43,43.799999,42.18,43.59,5259400,21.406239
"55",43.77,44.349998,43.040001,43.209999,2689200,21.219628
"56",43.689999,44.27,42.669998,44.09,3110000,21.65178
"57",43.93,44.32,43.240002,43.259998,1439600,21.244181
"58",42.990002,44.18,42.740002,43.650002,2640600,21.435705
"59",44.299999,45.84,44.299999,45.73,3063600,22.457153
"60",45.580002,46.869999,45.560001,46.73,2101600,22.948234
"61",47.290001,49.040001,47.060001,48.419998,4121800,23.778161
"62",48.080002,48.349998,47.43,47.619999,3224600,23.385297
"63",46.52,46.68,45.66,46.599998,3818000,22.884393
"64",47.240002,47.689999,45.93,46.18,4310400,22.67814
"65",46.27,46.75,46.060001,46.380001,3034000,22.776357
"66",46.869999,48.490002,46.869999,47.68,4925800,23.414762
"67",47.619999,48,47.02,47.400002,4485600,23.27726
"68",47.110001,47.84,46.709999,47.68,2239400,23.414762
"69",46.66,47.860001,45.68,47.650002,4368400,23.40003
"70",47.740002,47.849998,46.93,47.650002,2590400,23.40003
"71",48.060001,48.849998,47.830002,48.380001,1740200,23.758519
"72",48.470001,49.23,48.189999,48.66,4511800,23.896022
"73",48.630001,49.5,48.41,48.810001,3081800,23.969685
"74",48.130001,48.799999,47.18,47.709999,2633800,23.429494
"75",48.68,49.990002,48.610001,49.68,2519200,24.396925
"76",49.75,50.889999,49.68,50.360001,2334200,24.73086
"77",50.610001,51.950001,50.099998,51.720001,4081200,25.398731
"78",51.650002,52.169998,51.34,51.650002,4259400,25.364356
"79",51.98,53.419998,51.880001,52.619999,5525200,25.840704
"80",52.360001,53.48,51.369999,52.18,2986000,25.624628
"81",52.07,52.52,51.330002,52.07,2115200,25.570609
"82",52.540001,53.709999,52.540001,53.279999,2701000,26.164817
"83",53,53.279999,51.419998,52.189999,5921400,25.629538
"84",52.43,52.57,51.18,51.540001,6216200,25.310337
"85",51.450001,53.130001,51.450001,52.82,2762800,25.93892
"86",52.700001,52.869999,52.16,52.52,1844400,25.791596
"87",51.77,53.560001,51.060001,53.110001,4572200,26.081334
"88",53.639999,54.860001,53.25,54.07,2348800,26.552772
"89",54.07,54.400002,53.349998,53.75,1721000,26.395626
"90",54.43,54.82,53.040001,54.189999,3100800,26.611701
"91",54.369999,54.689999,53.880001,54.139999,1505800,26.587148
"92",53.23,54.18,52.689999,53.360001,2174200,26.204105
"93",53.630001,54.990002,53.619999,54.279999,1650800,26.655899
