"","HOT.Open","HOT.High","HOT.Low","HOT.Close","HOT.Volume","HOT.Adjusted"
"103",55,55.259998,54.060001,55.150002,3119000,48.898786
"104",55.540001,57.77,55.400002,57.41,4843000,50.902615
"105",56.779999,60,56.580002,59.290001,5666600,52.56952
"106",58.240002,58.869999,57.830002,58.52,2100100,51.886798
"107",58.52,58.959999,56.549999,56.990002,2617300,50.530224
"108",57.040001,58.209999,56.75,58.009998,2274000,51.434605
"109",57.509998,58.16,56.75,57.84,1875600,51.283876
"110",57.110001,57.919998,55.810001,56.349998,2206100,49.962765
"111",56.060001,57.09,55.57,55.709999,1525000,49.395309
"112",55.139999,55.93,54.310001,54.490002,3009000,48.313597
"113",54.509998,55.369999,53.959999,54.700001,2239600,48.499793
"114",55.77,56.959999,55.689999,56.16,2449000,49.794302
"115",56.59,56.790001,56,56.66,1744100,50.237627
"116",56.240002,57.139999,55.75,56.700001,1491500,50.273094
"117",55.880001,56.169998,55.09,56.060001,1788900,49.705638
"118",56.330002,58.189999,56.330002,57.970001,2063800,51.399141
"119",57.029999,57.860001,56.68,57.77,583000,51.22181
"120",56.75,57.43,55.790001,57.189999,1891600,50.707551
"121",56.389999,57.189999,56.130001,56.84,1960100,50.397225
"122",58.189999,58.5,57.419998,58.419998,2441400,51.798131
"123",58.049999,58.950001,58,58.75,2703900,52.090728
"124",58.209999,58.900002,57.790001,58.84,1986700,52.170526
"125",58.290001,60.360001,58.290001,60.080002,3246000,53.269975
"126",60.790001,61.25,59.75,59.919998,2743600,53.128107
"127",60.130001,60.18,59.119999,59.91,2317000,53.119242
"128",60.549999,61.200001,60.040001,60.900002,2641100,53.997028
"129",61.099998,61.450001,60.700001,61.23,1860100,54.289621
"130",61.689999,61.689999,60.669998,60.73,1828400,53.846295
"131",60.470001,60.490002,59.150002,59.400002,2523000,52.928515
"132",59.119999,59.68,57.84,57.91,3123400,51.600846
"133",58.509998,59.73,58.290001,59.630001,2873100,53.133457
"134",59.490002,60,59.259998,59.75,2217400,53.240382
"135",60,61.259998,60,61.09,2310500,54.434393
"136",61.490002,62.529999,61.259998,62.41,2171600,55.610582
"137",62.650002,62.720001,61.580002,61.84,1670100,55.102682
"138",61.610001,62.330002,60.900002,61.150002,1713200,54.487857
"139",61.240002,61.240002,60.029999,60.709999,1783900,54.095792
"140",60.790001,61.349998,60.360001,61.25,1272300,54.576961
"141",61.369999,61.73,61.009998,61.09,849500,54.434393
"142",60.889999,61.200001,60.689999,60.799999,770800,54.175987
"143",60.950001,61.23,60.560001,60.779999,1345400,54.158165
"144",61.25,62.380001,61.25,62,2343800,55.24525
"145",62.02,62.099998,60.549999,61.279999,1826000,54.603692
"146",60.689999,62.48,60.689999,62.220001,2314900,55.441283
"147",62.240002,62.380001,60.939999,61.200001,1869400,54.532409
"148",61.439999,61.98,60.150002,61.290001,1748200,54.612604
"149",60.799999,61.23,59.919998,61.02,1632700,54.372019
"150",61.389999,61.549999,60.369999,60.549999,1345300,53.953224
"151",60.860001,61.130001,59.5,60.09,2200500,53.54334
"152",60.349998,61.34,60.130001,61.310001,2040600,54.630425
"153",61.23,62.98,61.23,62.889999,2077300,56.038286
"154",62.98,63.5,62.389999,62.689999,1899500,55.860075
"155",62.560001,62.689999,61.630001,61.98,2159500,55.227429
"156",61.48,61.529999,59.970001,61.119999,3023900,54.461123
"157",61.779999,62.619999,61.259998,62,2390300,55.24525
"158",61.889999,63.139999,61.560001,62.700001,2510000,55.868988
"159",62.240002,62.450001,60.860001,61.439999,2761100,54.74626
"160",61.669998,62.23,61.310001,61.779999,2777700,55.049218
"161",61.669998,62.23,60.810001,61.330002,1751400,54.648247
"162",61.470001,61.860001,58.299999,58.439999,4460200,52.073102
"163",58.650002,59.91,58.439999,58.970001,2454100,52.545363
"164",59.68,60.709999,59.5,60.419998,2577800,53.837386
"165",60.139999,61.09,59.580002,60.810001,2664400,54.184899
"166",61.950001,63.990002,59.75,60.330002,6994200,53.757194
"167",60.98,61.98,60.369999,61.709999,2586000,54.986844
"168",62.790001,63.299999,62.220001,62.84,2773600,55.993735
"169",62.32,63.189999,62.110001,63.049999,2616400,56.180855
"170",62.77,63.240002,62.25,62.880001,2707500,56.029377
"171",62.41,63.52,62.330002,63.389999,2007500,56.483813
"172",62.959999,65.150002,62.810001,65.010002,2365100,57.92732
"173",64.910004,65.410004,64.260002,65,1988500,57.918408
"174",65.110001,65.290001,64.300003,64.910004,1893300,57.838216
"175",65.110001,65.510002,64.459999,64.82,1506900,57.758018
"176",64.980003,65,64.349998,64.580002,1224100,57.544167
"177",64.580002,65.150002,64.300003,65.089996,1727200,57.998599
"178",63.830002,63.84,61.720001,61.93,3075700,55.182877
"179",61.849998,62.27,59.650002,60.450001,3893300,53.86412
"180",60.349998,61.139999,59.009998,60.029999,4396200,53.489876
"181",60.34,61.73,60.060001,61.549999,1989400,54.844276
"182",61.560001,61.830002,60.73,61.099998,2629900,54.443302
"183",61,61,58.040001,58.48,3833000,52.108745
"184",58.450001,59.549999,58.43,59.16,2507800,52.714661
"185",59.970001,60.889999,59.970001,60.360001,2832100,53.783925
"186",60.150002,60.150002,58.299999,58.98,2481800,52.554272
"187",59.09,59.200001,57.5,57.740002,3389600,51.449369
"188",58.029999,58.970001,57.330002,58.509998,3378400,52.135476
"189",58.299999,59.490002,57.700001,59.290001,2329200,52.830499
"190",58.110001,58.700001,57.68,57.950001,2001700,51.636489
"191",57.790001,58.529999,56.93,57.84,2609100,51.538472
"192",57.57,58.43,57.259998,58.290001,2439900,51.939447
"193",56.360001,57.509998,55.650002,57.099998,3563100,50.879092
"194",56.759998,57.77,55.93,56.23,3432200,50.103877
"195",57.57,57.779999,56.91,57.130001,2499700,50.905826
"196",58.310001,58.5,57.639999,57.810001,2889000,51.511742
"197",58.700001,58.900002,57.919998,58.700001,1537400,52.304778
"198",58.610001,58.610001,56.57,56.720001,3974200,50.540495
"199",56.5,57.169998,55.700001,57.009998,3403700,50.798897
"200",57.18,57.939999,56.75,57.810001,2339900,51.511742
"201",57.919998,59.900002,57.790001,58.740002,2145200,52.340421
"202",58.700001,59.080002,54.950001,55.369999,11300100,49.337572
"203",55.919998,57.799999,55.889999,57.509998,5779400,51.244423
"204",58.119999,58.43,57.400002,58.330002,2910000,51.97509
"205",57.740002,58.299999,57.02,58.119999,2637800,51.787966
"206",59.060001,59.060001,57.509998,57.77,3232900,51.476099
"207",57.75,58.150002,57.110001,57.529999,2167200,51.262245
"208",57.279999,58.119999,57.099998,57.34,1802600,51.092946
"209",57.639999,57.709999,56.549999,57.290001,2045400,51.048394
"210",57.110001,57.549999,56.330002,56.790001,3424800,50.602868
"211",57.009998,57.290001,56.080002,56.43,2111200,50.282089
"212",56.41,56.619999,55.549999,56.419998,2584600,50.273176
"213",56.240002,57.27,56.240002,57,3833800,50.789988
"214",57.200001,57.860001,57.029999,57.040001,3012800,50.825631
"215",56.84,57.150002,56.310001,56.580002,2008800,50.415748
"216",56.470001,57.52,56.41,57.48,2281900,51.217693
"217",56.509998,58.369999,56.330002,58.240002,3649600,51.894895
"218",58.540001,58.73,57.959999,58.720001,2269800,52.322599
