"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"1",88.989998,91.089996,88.309998,91,1596800,76.781608
"2",89.339996,91.419998,88.449997,91.269997,1325700,77.692425
"3",91.720001,92.489998,90.900002,91.510002,1857000,77.896727
"4",92.029999,93.720001,91.400002,93.629997,1645600,79.701346
"5",93.379997,94.370003,92.690002,93.699997,1381600,79.760932
"6",93.589996,94.169998,93.150002,93.839996,1418300,79.880105
"7",94.290001,94.290001,93.230003,93.82,1702000,79.863083
"8",94.870003,95,92.449997,92.830002,1005800,79.02036
"9",92.860001,93.690002,91.660004,91.839996,2148000,78.17763
"10",91.849998,94.010002,91.519997,93.18,2010300,79.318292
"11",92.57,93.059998,91.050003,91.169998,1291900,77.607303
"12",91.669998,93.599998,91.089996,93.279999,2301200,79.403414
"13",93.769997,93.769997,91.410004,91.709999,910100,78.066972
"14",90.68,90.949997,88.720001,89.470001,1885600,76.160202
"15",89.43,90.150002,87.589996,87.910004,1772300,74.832274
"16",88.830002,88.839996,86.309998,88.099998,1480100,74.994005
"17",88.279999,88.669998,86.379997,86.68,1101500,73.785249
"18",88.330002,88.690002,85.040001,85.779999,1444100,73.019134
"19",85.970001,90.019997,85.970001,90,1923300,76.611357
"20",90.830002,91.290001,89.769997,91.279999,1595900,77.700939
"21",91.080002,92.459999,90.870003,92.379997,1022400,78.637299
"22",92.300003,93.099998,91.589996,92.900002,886400,79.079946
"23",93.550003,95.82,93.550003,95.470001,1424600,81.267626
"24",94.889999,96.220001,94.379997,95.5,1266900,81.293162
"25",95.540001,95.709999,93.510002,94.709999,1126400,80.620684
"26",93.860001,94.290001,90.93,91.379997,1886700,77.786062
"27",91.379997,92.610001,90.199997,92.269997,976400,78.543663
"28",90.870003,94.529999,90.510002,94.459999,1321900,80.407874
"29",95.360001,95.360001,92.440002,92.93,1298400,79.105482
"30",94,96.739998,93.849998,96.080002,1464200,81.786881
"31",95.559998,96.709999,94.440002,96.660004,1026800,82.2806
"32",96.339996,98.809998,96.059998,98.68,974800,84.000097
"33",98.940002,99.75,97.110001,98.779999,759900,84.085219
"34",98.639999,99.550003,97.900002,98.669998,950100,83.991583
"35",99.529999,100.400002,98.220001,98.68,1168200,84.000097
"36",97.760002,99.400002,97.279999,98.120003,1441300,83.523406
"37",99.300003,101.839996,99.300003,101.720001,1081500,86.587859
"38",101.029999,102.169998,100.540001,101.370003,1110800,86.289927
