"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"1136",110.440002,111.57,110.129997,110.629997,3574800,109.036569
"1137",110.349998,111.220001,109.949997,110,4212900,108.415645
"1138",110.169998,111.5,110.059998,110.75,4275700,109.154843
"1139",110.269997,111.400002,109.830002,109.830002,4884300,108.248096
"1140",108.82,109,106.470001,108.550003,6501500,106.986533
"1141",109.730003,111.099998,109.309998,110.93,3766100,109.332251
"1142",110.800003,111.989998,110.370003,110.959999,5581100,109.361817
"1143",111.370003,112,111.010002,112,2349800,110.386839
"1144",112.089996,113.099998,112.089996,112.449997,2664400,110.830354
"1145",112.82,113.07,112.410004,112.410004,1283300,110.790937
"1146",112.440002,112.580002,111.800003,111.93,1289600,110.317847
"1147",111.779999,112.660004,111.480003,112.449997,1760600,110.830354
"1148",112.300003,112.910004,111.739998,112.139999,2346100,110.524822
"1149",112.449997,112.699997,111.07,111.169998,1393800,109.568792
"1150",111.269997,111.650002,109.400002,110.379997,2662900,108.790169
"1151",109.989998,109.989998,107.959999,108.169998,3519600,106.612001
"1152",108.169998,108.870003,106.519997,107.459999,3808900,105.912229
"1153",108.260002,108.769997,107.589996,108.459999,1949500,106.897825
"1154",109.290001,110.629997,109.290001,110.410004,2876100,108.819744
"1155",110.43,110.650002,109.120003,109.599998,2059700,108.021405
"1156",109.919998,110.599998,109.099998,109.639999,2196400,108.06083
"1157",110.489998,111.870003,109.43,110.110001,3233600,108.524062
"1158",109.019997,109.68,108.440002,109.370003,2981000,107.794722
"1159",109.370003,110.360001,109.040001,109.290001,2839700,107.715873
"1160",109.300003,110.339996,108.459999,110.300003,4495200,108.711327
"1161",110.870003,111.620003,109.839996,111.309998,4124800,109.706775
"1162",111.120003,112.32,110.790001,111.68,2144300,110.071448
"1163",112.459999,114.400002,111.900002,114.25,3008100,112.604432
"1164",103.699997,104.980003,102.699997,102.93,19275400,101.447476
"1165",101.699997,102.5,99.599998,102.349998,10903700,100.875829
"1166",100.559998,101.940002,100.559998,100.849998,4766300,99.397433
"1167",101.160004,101.910004,99.199997,99.300003,5481400,97.869763
"1168",99.260002,100.699997,98.290001,100.419998,4648300,98.973626
"1169",99.540001,101.269997,98.809998,98.839996,5916300,97.416382
"1170",99,100.260002,98.339996,100.129997,3811800,98.687802
"1171",100.889999,101.639999,99.239998,100.57,5581600,99.121467
"1172",100.07,101.260002,99.839996,100.529999,4278600,99.082043
"1173",100.989998,102.239998,100.699997,101.459999,4026400,99.998648
"1174",101.129997,101.559998,100.32,100.669998,2941600,99.220026
"1175",100.32,100.980003,99.870003,100.459999,2626200,99.013051
"1176",100.839996,101.309998,100.150002,101.080002,2750900,99.624124
"1177",101.099998,101.769997,100.519997,100.910004,2826100,99.456574
"1178",100.870003,101.68,100.559998,101.410004,2981600,99.949373
"1179",101.169998,101.970001,101.099998,101.790001,2106000,100.323897
"1180",101.900002,102.82,101.660004,102.510002,3814800,101.033528
"1181",102.510002,102.800003,102.050003,102.620003,2348400,101.141944
"1182",102.059998,102.459999,101.639999,101.699997,2435200,100.95333
"1183",101.489998,102.050003,100.949997,101.959999,3411700,101.211423
"1184",102.089996,102.089996,101.449997,101.769997,1728100,101.022815
"1185",101.75,102.419998,101.639999,102.32,2715800,101.56878
"1186",102.449997,102.580002,101.75,101.959999,2215100,101.211423
"1187",101.68,102.18,101.5,101.860001,2125500,101.112159
"1188",101.809998,102.440002,101.699997,101.730003,2130900,100.983116
"1189",101.730003,102.370003,101.480003,101.93,2315600,101.181644
"1190",101.379997,101.910004,101.190002,101.5,2767400,100.754801
"1191",101,101.349998,100.300003,100.419998,4511700,99.682728
"1192",100.669998,100.949997,100.32,100.720001,2589300,99.980529
"1193",100.379997,101.220001,100.169998,100.620003,3008500,99.881265
"1194",100.779999,101.459999,100.5,100.550003,3602000,99.811779
"1195",100,100.419998,99.459999,99.470001,3579600,98.739706
"1196",99.510002,99.93,98.699997,98.720001,3079300,97.995213
"1197",99.260002,99.75,99.07,99.669998,1951700,98.938235
"1198",99.459999,99.730003,97.849998,98.529999,3449500,97.806605
"1199",98.709999,100.400002,98.620003,100.260002,2714200,99.523907
"1200",99.769997,100.199997,99.559998,99.599998,1987000,98.868749
"1201",98.910004,100.57,98.400002,100.260002,3016000,99.523907
"1202",100.089996,100.589996,99.879997,99.910004,2128400,99.176478
"1203",100.290001,100.690002,99.959999,100.25,4137400,99.513978
"1204",100.169998,100.470001,99.879997,99.879997,2670900,99.146692
"1205",99.739998,100.080002,99.099998,99.260002,2656000,98.531249
"1206",99.349998,99.529999,97.389999,97.459999,3483600,96.744461
"1207",97.169998,97.190002,96.400002,96.639999,3278700,95.930482
"1208",96.739998,96.879997,96.32,96.589996,2506900,95.880846
"1209",97.080002,97.720001,96.959999,97.269997,2488000,96.555854
"1210",97.089996,97.510002,96.779999,96.940002,2718100,96.228282
"1211",96.489998,97.010002,95.669998,96.540001,3394700,95.831218
"1212",97,97,96.230003,96.470001,3010600,95.761732
"1213",96,97.110001,95.82,96.839996,2513600,96.12901
"1214",97.300003,97.900002,96.559998,96.68,2518300,95.970189
"1215",96.650002,96.760002,96.019997,96.669998,2992000,95.96026
"1216",96.419998,96.959999,95.919998,96.699997,3378400,95.990039
"1217",96.800003,97.120003,96.419998,96.790001,3173700,96.079382
"1218",96.480003,97.139999,96.129997,96.150002,3192000,95.444082
"1219",96.099998,96.800003,95.800003,96.550003,3221200,95.841146
"1220",96.660004,96.919998,96.199997,96.620003,2705000,95.910632
"1221",96.290001,96.739998,96.080002,96.139999,2520800,95.434153
"1222",95.510002,95.860001,94.879997,95.379997,3699300,94.679731
"1223",95.809998,98.029999,95.809998,97.459999,5021400,96.744461
"1224",97.629997,97.980003,97.160004,97.610001,3277600,96.893361
"1225",97.610001,98.269997,97.129997,98.139999,2904900,97.419469
"1226",97.559998,98.599998,97.5,98.220001,2420200,97.498884
"1227",98.489998,98.510002,97.75,98.099998,2253000,97.379762
"1228",98.040001,98.360001,97.239998,97.43,3906300,96.714683
"1229",99.199997,101.769997,98.709999,100.769997,8282700,100.030157
"1230",101.410004,101.980003,100.800003,101.25,5454500,100.506637
"1231",100.940002,101.300003,100.080002,100.529999,4045700,99.791921
"1232",100.949997,101.419998,100.290001,101.379997,2846100,100.635679
"1233",101.32,101.959999,101.129997,101.43,2993000,100.685315
"1234",101.010002,101.339996,99.919998,100.110001,2845200,99.375007
"1235",100.400002,100.660004,98.580002,99.220001,3403200,98.491542
"1236",99.300003,100.230003,99.279999,99.639999,3151700,98.908456
"1237",100.419998,101.349998,100.269997,100.360001,2964400,99.623171
"1238",100.360001,100.870003,100.230003,100.529999,4080400,99.791921
"1239",100.230003,100.370003,99.68,99.970001,2438400,99.236035
"1240",99.629997,100.139999,99.160004,99.43,3205100,98.699999
"1241",99.410004,101.32,99.400002,100.669998,5966400,100.669998
"1242",102.029999,102.57,101.68,102.129997,5347800,102.129997
"1243",101.75,102.239998,101.330002,101.910004,2769300,101.910004
"1244",102.150002,102.839996,101.699997,102.080002,3198300,102.080002
"1245",102.199997,102.5,101.639999,101.959999,2627600,101.959999
"1246",101.919998,102.449997,101.620003,102.050003,2159500,102.050003
"1247",102.269997,102.269997,101.18,101.43,2200500,101.43
"1248",101.400002,101.419998,100.190002,100.519997,2364900,100.519997
"1249",100.519997,101.139999,99.980003,100.919998,2068600,100.919998
"1250",100.599998,100.93,99.760002,99.870003,2722100,99.870003
"1251",99.75,99.760002,98.779999,99.220001,4194200,99.220001
"1252",99.769997,100.120003,98.889999,99.480003,2855500,99.480003
"1253",98.940002,100,98.57,99.43,2317900,99.43
"1254",99.849998,101.400002,99.5,100.599998,3607700,100.599998
"1255",100.050003,100.68,99.900002,100.099998,3118200,100.099998
"1256",100.150002,100.699997,99.769997,100.510002,2687600,100.510002
"1257",100.519997,100.580002,99.209999,99.269997,2783900,99.269997
"1258",99.160004,100.190002,99.019997,99.620003,2326200,99.620003
"1259",99.940002,100.82,99.599998,100.459999,2677200,100.459999
