"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"1",66.220001,67.849998,65.800003,67.830002,5908200,63.429716
"2",67,68.260002,66.459999,68.160004,4285700,63.889014
"3",68.980003,69.849998,67.580002,67.709999,5172000,63.467207
"4",68.370003,70.190002,68.160004,70.129997,4617600,65.735565
"5",68.730003,69.790001,68,69.309998,5474800,64.966948
"6",69.309998,69.849998,68.660004,69.489998,3705700,65.135669
"7",69.459999,70,68.919998,69.919998,3791600,65.538725
"8",70.760002,70.800003,68.419998,69.010002,4086900,64.68575
"9",68.790001,69.269997,67,67.169998,4085200,62.961043
"10",66.730003,66.730003,65.610001,65.959999,4930700,61.826864
"11",65.470001,66.269997,63.68,63.959999,6052200,59.952187
"12",64.040001,64.470001,62.830002,63.650002,7065200,59.661614
"13",63.830002,64.190002,62.720001,62.91,2992800,58.967982
"14",61.389999,61.869999,60.549999,61.029999,5394300,57.205784
"15",61.110001,62.299999,60.73,60.919998,4178000,57.102676
"16",60.919998,61.360001,59.5,60.68,4957200,56.877717
"17",61.049999,61.57,60.279999,60.709999,4904600,56.905836
"18",62.209999,62.630001,60.52,61.130001,3839300,57.29952
"19",61.23,62.490002,60.900002,62.450001,6090500,58.536807
"20",63.689999,63.790001,62.060001,63.25,3768400,59.286677
"21",63.290001,63.439999,62.490002,63.349998,3030000,59.38041
"22",62.77,63.93,62.77,63.5,2972700,59.521012
"23",64.029999,64.129997,63,63.490002,4229800,59.51164
"24",63.060001,64,63,63.68,3836500,59.689733
"25",63.630001,63.630001,62.259998,63.349998,4121700,59.38041
"26",62.91,62.91,60.880001,61.16,4293400,57.327639
"27",61.599998,61.619999,60.66,61.110001,3575800,57.280773
"28",60,63.07,60,62.869999,3206300,58.930487
"29",63.73,63.939999,62.16,62.669998,3733000,58.743019
"30",63.360001,64.169998,62.970001,63.779999,3195700,59.783466
"31",63.75,64.110001,62.93,63.939999,2426900,59.93344
"32",63.93,64.900002,63.810001,64.330002,3534300,60.299005
"33",64.779999,64.980003,62.900002,63.439999,3272600,59.46477
"34",63.439999,63.900002,62.549999,62.650002,2720800,58.724275
"35",63.130001,63.599998,62.23,62.5,3469600,58.583673
"36",61.709999,62.77,61.389999,62.490002,2921400,58.574301
"37",63.790001,64.599998,63.689999,64.400002,3038500,60.364618
"38",64.269997,64.910004,63.669998,64.339996,3423200,60.308373
"39",65.07,66.209999,64.589996,65.68,5603600,61.564411
"40",65.260002,65.849998,65,65.68,2926200,61.564411
"41",65.139999,65.279999,63.73,64.75,3676800,60.692685
"42",65.199997,65.43,64.410004,65.230003,2506500,61.142611
"43",64.480003,65.779999,64.339996,65.57,4025900,61.461303
"44",64.389999,64.730003,63.880001,63.98,4067200,59.970934
"45",62.790001,64.050003,62.790001,63.52,3682900,59.539759
"46",63.290001,64,62.900002,63.700001,4034800,59.70848
"47",63.630001,64.169998,63.200001,63.48,3551000,59.502265
"48",64.050003,64.260002,63.23,63.799999,3999600,59.802213
"49",63.740002,63.830002,62.689999,62.919998,4216500,58.977354
"50",63.119999,63.5,62.77,63,5619700,59.052342
"51",62.5,62.77,61.900002,62.139999,5085300,58.246231
"52",62.389999,62.759998,62.25,62.27,2585500,58.368086
"53",61.16,61.669998,60.84,60.959999,4966000,57.140171
"54",60.509998,60.610001,59.18,60.439999,5804600,56.652754
"55",60.68,60.98,59.59,59.790001,2600900,56.043486
"56",60.060001,61.25,59.07,61.18,3312400,57.346386
"57",60.830002,61.560001,60.459999,60.470001,2293600,56.680877
