"","MJN.Open","MJN.High","MJN.Low","MJN.Close","MJN.Volume","MJN.Adjusted"
"1",50.279999,51.599998,50,51.57,2428300,47.337386
"2",51.240002,52.02,51.02,51.900002,1715000,47.640303
"3",52.599998,53.439999,52.389999,52.75,2861500,48.420537
"4",52.98,53.389999,52.68,53.34,1476400,48.962113
"5",52.82,54.18,52.66,53.93,1856100,49.503689
"6",54.220001,54.220001,53.549999,54.189999,1609000,49.742348
"7",54.189999,54.57,53.689999,54.389999,1599500,49.925934
"8",54.889999,55.240002,53.119999,53.439999,1660800,49.053904
"9",53.52,54.16,52.830002,52.950001,1583900,48.604123
"10",52.810001,53.119999,52.209999,52.549999,1548300,48.442802
"11",52.209999,52.869999,51.759998,51.900002,1119100,47.843606
"12",51.860001,51.98,51.119999,51.41,3155100,47.391902
"13",51.439999,52.43,51.25,52.23,1548300,48.147812
"14",51.66,51.75,50.439999,50.57,2364200,46.617555
"15",50.41,51,49.84,50.119999,2868000,46.202725
"16",50.330002,50.630001,49.549999,50.529999,1607900,46.58068
"17",50.57,51.5,50.43,51.169998,1500100,47.170658
"18",51.75,52.580002,51.200001,51.779999,2333500,47.732983
"19",51.919998,53.790001,51.84,53.73,2828900,49.530576
"20",54.080002,54.200001,52.970001,53.790001,1704700,49.585887
"21",53.900002,54.009998,53.299999,53.880001,951300,49.668853
"22",53.91,54.200001,53.59,53.93,1443800,49.714945
"23",54.27,54.27,53.799999,54.119999,1100000,49.890093
"24",53.939999,54.209999,53.459999,54.07,747100,49.844002
"25",54.02,54.389999,53.509998,54.380001,780600,50.129774
"26",54.049999,54.110001,52.549999,53.02,1640300,48.876068
"27",53.139999,53.66,52.82,53.599998,999100,49.410735
"28",52.970001,53.889999,52.540001,53.84,880300,49.631979
"29",53.939999,53.970001,53.060001,53.200001,1076900,49.042
"30",53.73,54.040001,53.27,53.919998,1285600,49.705724
"31",53.919998,54.650002,53.700001,54.549999,741900,50.286486
"32",54.540001,54.720001,54.02,54.279999,1443200,50.037588
"33",54.59,54.900002,54.220001,54.549999,1259300,50.286486
"34",54.360001,54.549999,52.860001,52.990002,1322100,48.848414
"35",52.099998,53.43,50.959999,52.279999,4496700,48.193904
"36",51.869999,53.830002,51.560001,53.139999,1941600,48.986689
"37",54.259998,54.66,53.599998,53.990002,2155100,49.770256
"38",54,54.029999,53.25,53.299999,1128200,49.134183
"39",53.490002,54.360001,53.27,54.349998,1031600,50.102117
"40",53.799999,53.799999,52.939999,53.099998,1131900,48.949814
"41",52.66,53.470001,52.419998,53.330002,874900,49.161841
"42",53.459999,53.459999,52.91,52.93,668400,48.793103
"43",52.540001,53.330002,52.279999,53.07,1512600,48.92216
"44",51.830002,52.43,51.200001,51.209999,1244200,47.207533
"45",50.529999,51.700001,50.509998,51.560001,842600,47.53018
"46",51.310001,52.860001,51.16,52.580002,1302000,48.470459
"47",52.34,52.580002,52.009998,52.450001,595700,48.350619
"48",52.889999,53.91,52.689999,53.77,1345900,49.56745
"49",53.630001,54.299999,53.389999,53.91,823100,49.696507
"50",53.580002,53.93,52.529999,52.939999,1232500,48.802319
"51",52.470001,53.560001,52.23,53.41,1311500,49.235586
"52",53.549999,53.880001,52.650002,52.68,990400,48.562642
"53",52.310001,52.639999,52.16,52.48,2046800,48.378273
