"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"1",53.970001,54.299999,53.400002,54.080002,3843800,47.937731
"2",53.5,55.25,53.360001,54.959999,1479300,48.717781
"3",55.610001,56.549999,55.110001,55.310001,1519400,49.028031
"4",55.450001,57.419998,55.419998,57.299999,2095500,50.792009
"5",56.669998,57.150002,56.200001,56.82,1284100,50.366527
"6",57.040001,57.139999,55.209999,55.630001,2104700,49.311685
"7",55.860001,56.279999,55.400002,55.990002,1834000,49.630798
"8",57.110001,57.110001,54.959999,55.27,1718500,48.992573
"9",54.779999,55.490002,52.23,52.27,3616500,46.333305
"10",52.09,52.610001,50.740002,52.18,4517500,46.253527
"11",52.040001,52.889999,51.310001,52.16,2235800,46.235798
"12",52.299999,52.400002,51.099998,52.060001,2211700,46.147157
"13",51.959999,52.529999,51.540001,51.75,1274700,45.872365
"14",51.349998,51.349998,49.669998,50.419998,3489600,44.693422
"15",50.310001,51.169998,49.900002,50.52,2882600,44.782066
"16",50.34,50.610001,48.759998,50.119999,3223300,44.427496
"17",50.150002,50.470001,49.299999,49.580002,1528400,43.94883
"18",50.060001,50.75,49.009998,49.619999,1966900,43.984284
"19",49.639999,51.77,49.639999,51.759998,1707000,45.881228
"20",52.400002,52.439999,50.57,51.400002,2091000,45.562119
"21",51.360001,52.16,51.240002,52.099998,845100,46.182612
"22",51.82,52.400002,51.700001,52.27,1319500,46.333305
"23",53,54.349998,52.630001,54.029999,1638000,47.893407
"24",53.709999,53.990002,53.130001,53.720001,1056700,47.618619
"25",53.66,53.66,51.959999,53,2698000,46.980393
"26",52.639999,53.119999,50.77,51.060001,2086400,45.260735
"27",51.25,51.93,51,51.73,1189900,45.854636
"28",50.900002,52.66,50.759998,52.619999,2439300,46.643552
"29",55.400002,56,52.799999,53.630001,4661100,47.53884
"30",54.310001,56.27,54.060001,56.240002,3449600,49.852404
"31",56.119999,57.93,55.509998,57.349998,2931000,50.83633
"32",57.48,58.5,57.18,58.32,1813700,51.696161
"33",58.43,58.610001,56.630001,56.810001,1311800,50.357664
"34",56.610001,57.009998,55.68,56.169998,1349500,49.790351
"35",56.619999,57.580002,56.490002,57.23,2388000,50.72996
"36",54.700001,58.310001,54.700001,58.02,2357800,51.430235
"37",59.049999,59.23,58.419998,59.049999,2043000,52.343249
"38",58.549999,58.98,58.220001,58.48,1234900,51.837988
"39",58.599998,59.400002,58.369999,58.5,1870600,51.855717
"40",58.150002,58.34,57.73,57.939999,1214600,51.359319
"41",57.209999,58.290001,57.009998,57.880001,1390500,51.306136
"42",58.279999,58.57,57.810001,58.07,1276000,51.474555
"43",57.34,58.169998,56.84,57.73,1330600,51.173171
