"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"1",38.869999,40.16,38.57,40.07,6751300,38.127149
"2",39.369999,40.400002,39.32,40.259998,6717300,38.307935
"3",40.75,40.950001,40.07,40.459999,5784900,38.498239
"4",40.709999,42.619999,40.669998,42.529999,8835500,40.467872
"5",42.110001,42.84,41.869999,42.5,6302100,40.439328
"6",42.59,42.599998,41.869999,42.369999,5387200,40.31563
"7",42.490002,42.740002,42.110001,42.639999,4783100,40.572539
"8",43.209999,44.189999,43.130001,43.330002,6816800,41.229086
"9",43.380001,44.779999,43.02,43.650002,7245400,41.53357
"10",43.450001,43.919998,42.779999,43.240002,5154800,41.143449
"11",42.889999,43.669998,42.549999,42.77,6763400,40.696237
"12",43.099998,43.59,42.16,43.439999,6294300,41.333749
"13",43.549999,43.599998,42.650002,42.93,3794100,40.848479
"14",42.23,42.470001,40.52,40.82,7043400,38.840784
"15",40.82,41.529999,40.150002,40.299999,5451800,38.345997
"16",40.25,40.779999,38.66,39.580002,7863600,37.66091
"17",40.02,40.119999,38.599998,39.43,4247100,37.518181
"18",39.919998,40.950001,39.040001,39.57,4988900,37.651392
"19",39.889999,42.18,39.889999,42.09,6920000,40.049207
"20",42.650002,43.200001,41.889999,42.779999,4933200,40.70575
"21",42.740002,43.810001,42.52,43.68,4075800,41.562114
"22",43.34,43.77,43.049999,43.68,2860600,41.562114
"23",44.259998,45.200001,43.93,45,5787000,42.818111
"24",44.610001,44.619999,43.84,44.529999,4540300,42.370899
"25",44.490002,44.5,42.27,43.259998,9129500,41.162476
"26",42.639999,42.720001,41.279999,41.459999,7639100,39.449753
"27",41.610001,41.799999,40.580002,40.990002,4799000,39.002544
"28",40.189999,41.5,40.02,41.459999,7504100,39.449753
"29",41.939999,41.98,39.970001,40.09,5058800,38.14618
"30",40.98,42.599998,40.959999,42.080002,6835300,40.039694
"31",40.849998,40.98,39.599998,40.84,10399600,38.859815
"32",40.720001,41.700001,40.59,41.450001,4338900,39.440239
"33",41.709999,42.189999,40.990002,41.549999,6534000,39.535389
"34",41.43,42,41.16,41.77,4991900,39.744723
"35",41.68,42.759998,41.68,42.419998,6660500,40.363205
"36",41.939999,42.509998,41.669998,42.330002,4535800,40.277572
"37",43.09,43.360001,42.419998,42.779999,5763000,40.70575
"38",42.389999,42.540001,41.650002,41.93,4761000,39.896965
"39",42.18,42.220001,41.23,41.639999,4278200,39.621025
"40",41.209999,41.700001,41.060001,41.169998,3820700,39.173813
"41",40.66,40.919998,39.98,40.919998,4626800,38.935934
"42",41.040001,41.41,40.560001,41.27,2575800,39.317008
"43",40.68,42.040001,40.459999,41.48,4811600,39.517069
"44",40.700001,40.959999,39.84,39.860001,4647900,37.973732
"45",39.41,39.59,38.5,38.610001,8205900,36.782885
"46",38.59,39.380001,38.529999,38.82,4497600,36.982947
"47",38.619999,39.5,38.529999,38.93,4182400,37.087742
"48",39.290001,39.869999,39,39.119999,4545200,37.268749
"49",39.220001,39.32,38.59,39.060001,3997900,37.211591
"50",38.830002,38.889999,37.439999,37.610001,6318500,35.830208
"51",37.41,38,37.299999,37.779999,4155700,35.992161
"52",37.970001,38.43,37.810001,37.880001,4011100,36.087431
"53",37.259998,37.650002,36.950001,37.330002,4863600,35.563459
"54",37.029999,37.369999,36.689999,37.119999,5042800,35.363394
"55",37.650002,38,37.099998,37.209999,4361000,35.449135
"56",37.5,38.450001,36.91,38.209999,5424600,36.401813
"57",38.049999,38.630001,37.619999,37.639999,4818000,35.858787
"58",37.630001,38.419998,37.41,37.869999,3733200,36.077902
"59",38.25,39.049999,38.169998,39.029999,4939000,37.183008
"60",39.150002,39.529999,38.91,39.52,3483800,37.649822
"61",39.98,40.77,39.959999,40.689999,4110900,38.764453
"62",40.279999,40.380001,38.810001,38.849998,4752500,37.011526
"63",39.009998,39.93,38.959999,39.080002,6960400,37.230645
"64",39.889999,40.060001,38.970001,39.400002,3867200,37.535502
"65",39.5,39.610001,38.52,38.889999,3900500,37.049634
"66",39.599998,40.16,39.200001,39.450001,4755000,37.583135
"67",39.189999,39.360001,38.48,38.599998,4452900,36.773356
"68",38.25,39.240002,38.049999,39.09,4263400,37.24017
"69",38.880001,39.73,38.869999,39.509998,4489600,37.640293
"70",39.66,39.73,38.639999,38.669998,7636300,36.840044
"71",38.900002,39.48,38.799999,39.330002,4588400,37.468814
"72",39.299999,39.419998,38.259998,38.330002,4835600,36.516137
"73",38.369999,38.720001,37.599998,37.889999,6654100,36.096956
"74",37.549999,38.41,37.400002,37.669998,5994600,35.887366
"75",38.349998,39.400002,38.07,39.349998,5365300,37.487865
"76",39.380001,39.380001,38.73,38.77,3660600,36.935314
"77",38.860001,39.209999,38.400002,39.150002,3547400,37.297332
"78",38.889999,39.23,38.689999,38.93,2860300,37.087742
"79",39.209999,39.91,38.799999,39.549999,5612100,37.678401
"80",39.93,40.029999,38.720001,39.299999,4673700,37.440232
"81",39.23,39.470001,38.43,38.57,4842900,36.744777
"82",38.939999,40.610001,38.740002,40.389999,6730800,38.47865
"83",40.299999,40.630001,39.950001,40.16,3750800,38.259535
"84",40.459999,40.630001,39.23,39.27,5375500,37.411652
"85",39.41,39.799999,39.209999,39.360001,3405100,37.497394
"86",39.470001,39.860001,39.259998,39.68,2491400,37.80225
"87",39.560001,40.689999,39.48,40.57,3960700,38.650133
"88",40.860001,41.150002,39.91,40.43,6419700,38.516758
"89",40.18,40.41,39.200001,39.889999,7168400,38.002312
"90",40.240002,40.25,36.5,36.860001,18952900,35.115699
"91",36.860001,37.240002,36.099998,37.23,10499300,35.468189
"92",38.25,40.150002,37.709999,38.759998,17154400,36.925785
"93",38.790001,38.889999,37.209999,38.75,11237900,36.91626
"94",38.889999,39.759998,38.75,39.299999,7073800,37.440232
"95",39.240002,39.560001,38.889999,39.119999,2711400,37.268749
"96",39.450001,39.84,38.130001,38.240002,5967300,36.430396
"97",38.139999,38.41,37.619999,37.77,5813400,35.982636
"98",37.5,38.43,37.419998,37.91,5150700,36.11601
"99",38.209999,38.43,37.549999,37.919998,3128000,36.125535
"100",37.66,37.790001,37.080002,37.27,5145000,35.506297
"101",37.41,38,36.880001,37.310001,5018100,35.544405
"102",37.66,37.799999,37.110001,37.369999,3822700,35.601563
"103",37.470001,37.810001,37.16,37.759998,4328200,35.973107
"104",38.299999,39.439999,37.919998,39.299999,6998400,37.440232
"105",39.439999,41,39.099998,40.360001,7910900,38.450071
"106",40.099998,40.619999,39.779999,40.080002,4271500,38.183323
"107",40.259998,40.259998,38.490002,38.73,4980800,36.943292
"108",38.900002,39.700001,38.57,39.66,4972400,37.830389
"109",39.189999,39.639999,38.93,39.509998,3375300,37.687308
