"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"1",43.570007,44.670004,43.530001,44.649999,2083800,33.512333
"2",44.09,45.180004,43.989999,45.139999,1985200,33.880105
"3",45.730005,46.339998,45.250003,45.410005,1759100,34.08276
"4",45.749996,47.010005,45.749996,46.940007,1666600,35.231112
"5",46.300007,46.750002,46.150007,46.399999,1527900,34.825806
"6",46.510003,46.639998,45.449997,45.949999,1976600,34.488056
"7",46.079999,46.210003,45.330004,45.630004,1997700,34.247881
"8",46.35,47.160001,46.060008,46.319998,1471600,34.765761
"9",46.450006,46.530003,44.380007,44.490001,3219200,33.392245
"10",44.479999,44.750001,43.429995,44.350004,2200500,33.28717
"11",44.170001,44.490001,43.189997,43.3,1830600,32.499083
"12",43.509997,44.220009,43.150005,44.140008,2649600,33.129556
"13",44.130005,44.350004,43.259995,43.780003,1223600,32.859352
"14",42.869997,43.010008,41.560008,41.909997,2226900,31.455807
"15",41.909997,42.709999,41.650007,41.790004,1982200,31.365746
"16",41.739996,41.989998,40.500002,41.310006,2206800,31.005481
"17",41.429999,41.7,40.840006,41.109999,1350500,30.855364
"18",41.769999,42.479998,41.230005,41.659995,2145900,31.268167
"19",41.669998,43.189997,41.519998,43.119998,1888800,32.363981
"20",43.580009,43.839999,42.890001,43.589998,1266400,32.716742
"21",43.630003,44.309994,43.380002,44.170001,1198800,33.152068
"22",43.900009,44.030004,43.039997,43.45,1303800,32.611666
"23",44.210007,44.789996,44.120003,44.380007,1505700,33.309688
"24",44.220009,44.910003,43.92,44.490001,1240600,33.392245
"25",44.399998,44.549998,43.250007,44.100003,1754300,33.09953
"26",43.500008,43.77,42.469995,42.580004,1720800,31.958685
"27",42.900004,43.210001,42.229997,43.099998,879500,32.34897
"28",42.350003,43.710004,42.34,43.679997,1442600,32.784291
"29",44.069995,44.860009,43.839999,44.300006,2239400,33.249643
"30",45.000002,46.070006,44.830002,46.040003,2682600,34.555609
"31",48.74,48.749998,46.809998,47.740004,4185300,35.831555
"32",48.009997,48.749998,47.449998,48.540007,1931200,36.432002
"33",48.840002,48.840002,47.299998,47.390002,2902700,35.568859
"34",47.449998,47.880002,47.070002,47.330005,1335600,35.523828
"35",47.740004,48.120001,47.100004,47.730002,2032900,35.824048
"36",46.979998,48.130003,46.790007,47.970005,1884900,36.004184
"37",48.979999,49.340004,48.280003,48.880007,1955500,36.687191
"38",48.600003,49.030007,48.249996,48.560007,1387600,36.447013
